buyonline_label,legal_description,legal_description_numbers,more_link,more_link/_text,more_link/_title,moreoptions_link,moreoptions_link/_text,moreoptions_link/_title,nlpimage_image,nlpimage_image/_alt,price_value,price_value_prices,productdesp_value,productdetails_image,productdetails_image/_alt,productdetails_link,productdetails_link/_text,productdetails_link/_title,productdetails_link_prices,productlink_image,productlink_image/_alt,productlink_link/_text,productlink_link/_title,producttitle_value,regularprice_price,regularprice_price_1,regularprice_price_2,savetolist_label,size_value_1,size_value_1_numbers,size_value_2,size_value_2_numbers,strikeprice_price,strikeprice_value,type,unit_value,unit_value_numbers,unitprice_label,﻿productlink_link
Buy online,"In compliance with California Title 20 regulations, product prices and features may vary in the state of California. Please see your local store for details",20.0,http://info.ikea-usa.com/StoreLocator/StoreLocator.aspx,More information,,,,,,,,,ceiling lamp,,,http://www.ikea.com/us/en/catalog/products/00176042/,ALÄNG ceiling lamp $29.99 Unit price,,29.99,http://www.ikea.com/PIAimages/0120130_PE276557_S3.JPG,"ALÄNG ceiling lamp, white Diameter: 14 "" Height: 6 "" Diameter: 35 cm Height: 15 cm",,,ALÄNG,29.99,,,Save to list,"Diameter: 14 "", Height: 6 """,14; 6,"Diameter: 35 cm, Height: 15 cm",35; 15,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/00176042/
Buy online,,,,,,,,,,,,,"rug, high pile",,,http://www.ikea.com/us/en/catalog/products/20225409/,"EIVOR CIRKEL rug, high pile $149.00 Unit price",,149,http://www.ikea.com/PIAimages/0137766_PE296493_S3.JPG,"EIVOR CIRKEL rug, high pile, red, white Length: 6 ' 7 "" Width: 6 ' 7 "" Area: 43.06 sq feet Length: 200 cm Width: 200 cm Area: 4.00 m²",,,EIVOR CIRKEL,149.0,,,Save to list,"Length: 6 ' 7 "", Width: 6 ' 7 "", Area: 43.06 sq feet",6; 7; 6; 7; 43.06,"Length: 200 cm, Width: 200 cm, Area: 4.00 m²",200; 200; 4,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/20225409/
Buy online,,,,,,,,,,,,,"rug, low pile",,,http://www.ikea.com/us/en/catalog/products/50211670/,"VALBY RUTA rug, low pile $49.99 Unit price",,49.99,http://www.ikea.com/PIAimages/56987_PE160176_S3.JPG,"VALBY RUTA rug, low pile, multicolor Length: 6 ' 5 "" Width: 4 ' 4 "" Area: 27.88 sq feet Length: 195 cm Width: 133 cm Area: 2.59 m²",,,VALBY RUTA,49.99,,,Save to list,"Length: 6 ' 5 "", Width: 4 ' 4 "", Area: 27.88 sq feet",6; 5; 4; 4; 27.88,"Length: 195 cm, Width: 133 cm, Area: 2.59 m²",195; 133; 2.59,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/50211670/
Buy online,,,,,,,,,,,,,post,,,http://www.ikea.com/us/en/catalog/products/00286677/,HEJNE post $5.50 Unit price,,5.5,http://www.ikea.com/PIAimages/0276149_PE414329_S3.JPG,"HEJNE post, softwood Height: 67 3/8 "" Package quantity: 2 pack Height: 171 cm Package quantity: 2 pack",,,HEJNE,,5.5,,Save to list,"Height: 67 3/8 "", Package quantity: 2 pack",67; 2,"Height: 171 cm, Package quantity: 2 pack",171; 2,,,shelf,,,Unit price,http://www.ikea.com/us/en/catalog/products/00286677/
Buy online,,,,,,http://www.ikea.com/us/en/catalog/products/S89046207/,More options,More options for LANDSKRONA 2 chaise lounges + sofa,,,,,2 chaise lounges + sofa,,,http://www.ikea.com/us/en/catalog/products/S89046207/,"LANDSKRONA 2 chaise lounges + sofa $1,999.00 Unit price",,1999.0,http://www.ikea.com/PIAimages/0320810_PE514846_S3.JPG,"LANDSKRONA 2 chaise lounges + sofa, Bomstad dark brown/metal, Grann Width: 141 3/4 "" Min. depth: 35 "" Max. depth: 62 1/4 "" Width: 360 cm Min. depth: 89 cm Max. depth: 158 cm",,,LANDSKRONA,1999.0,,,Save to list,"Width: 141 3/4 "", Min. depth: 35 "", Max. depth: 62 1/4 """,141; 35; 62,"Width: 360 cm, Min. depth: 89 cm, Max. depth: 158 cm",360; 89; 158,,,sofa,,,Unit price,http://www.ikea.com/us/en/catalog/products/S89046207/
Buy online,,,,,,,,,,,,,"rug, flatwoven",,,http://www.ikea.com/us/en/catalog/products/30251742/,"TJÄREBY rug, flatwoven $229.00 Unit price",,229,http://www.ikea.com/PIAimages/0172377_PE326430_S3.JPG,"TJÄREBY rug, flatwoven, blue handmade blue Length: 7 ' 10 "" Width: 5 ' 7 "" Area: 43.92 sq feet Length: 240 cm Width: 170 cm Area: 4.08 m²",,,TJÄREBY,229.0,,,Save to list,"Length: 7 ' 10 "", Width: 5 ' 7 "", Area: 43.92 sq feet",7; 10; 5; 7; 43.92,"Length: 240 cm, Width: 170 cm, Area: 4.08 m²",240; 170; 4.08,,,rug,,,Unit price,http://www.ikea.com/us/en/catalog/products/30251742/
,"In compliance with California Title 20 regulations, product prices and features may vary in the state of California. Please see your local store for details",20.0,http://info.ikea-usa.com/StoreLocator/StoreLocator.aspx,More information,,,,,,,,,ceiling lamp,,,http://www.ikea.com/us/en/catalog/products/20055751/,LOCK ceiling lamp $4.99 Unit price,,4.99,http://www.ikea.com/PIAimages/18922_PE100923_S3.JPG,"LOCK ceiling lamp, white Diameter: 10 "" Height: 4 "" Diameter: 25 cm Height: 9.5 cm",,,LOCK,,,,Save to list,"Diameter: 10 "", Height: 4 """,10; 4,"Diameter: 25 cm, Height: 9.5 cm",25; 9.5,,,light,,,,http://www.ikea.com/us/en/catalog/products/20055751/
,"In compliance with California Title 20 regulations, product prices and features may vary in the state of California. Please see your local store for details",20.0,http://info.ikea-usa.com/StoreLocator/StoreLocator.aspx,More information,,,,,,,,,pendant lamp,,,http://www.ikea.com/us/en/catalog/products/30213477/,SÖDER pendant lamp $34.99 Unit price,,34.99,http://www.ikea.com/PIAimages/0150264_PE308410_S3.JPG,"SÖDER pendant lamp, flowers, pearls Diameter: 6 "" Height: 12 "" Cord length: 5 ' 3 "" Diameter: 14 cm Height: 30 cm Cord length: 1.6 m",,,SÖDER,34.99,,,Save to list,"Diameter: 6 "", Height: 12 "", Cord length: 5 ' 3 """,6; 12; 5; 3,"Diameter: 14 cm, Height: 30 cm, Cord length: 1.6 m",14; 30; 1.6,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/30213477/
Buy online,,,,,,,,,,,,,"ceiling track, 5-spots",,,http://www.ikea.com/us/en/catalog/products/60262923/,"HUSINGE ceiling track, 5-spots $29.99 Unit price",,29.99,http://www.ikea.com/PIAimages/0426964_PE582490_S3.JPG,"HUSINGE ceiling track, 5-spots, nickel plated Length: 63 "" Length: 160 cm",,,HUSINGE,29.99,,,Save to list,"Length: 63 """,63,Length: 160 cm,160,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/60262923/
,,,,,,,,,,,,,pendant lamp,,,http://www.ikea.com/us/en/catalog/products/80237310/,FOTO pendant lamp $14.99 Unit price,,14.99,http://www.ikea.com/PIAimages/0242541_PE381893_S3.JPG,"FOTO pendant lamp, green Diameter: 10 "" Height: 7 7/8 "" Cord length: 63 "" Diameter: 25 cm Height: 20 cm Cord length: 160 cm",,,FOTO,14.99,,,Save to list,"Diameter: 10 "", Height: 7 7/8 "", Cord length: 63 """,10; 7; 63,"Diameter: 25 cm, Height: 20 cm, Cord length: 160 cm",25; 20; 160,,,light,,,Unit price,http://www.ikea.com/us/en/catalog/products/80237310/
