Rank	Country	Cost of Living Index	Rent Index	Cost of Living Plus Rent Index	Groceries Index	Restaurant Price Index	Local Purchasing Power Index
1 	India 	24.02 	6.99 	16.07 	23.56 	16.42 	83.16
2 	Pakistan 	26.33 	5.22 	16.47 	23.76 	20.64 	42.32
3 	Moldova 	26.90 	7.60 	17.89 	20.25 	19.13 	30.09
4 	Ukraine 	26.95 	10.15 	19.11 	20.39 	21.13 	27.50
5 	Kazakhstan 	27.98 	11.23 	20.16 	22.04 	29.30 	48.15
6 	Nepal 	28.00 	3.30 	16.46 	23.97 	15.47 	28.29
7 	Tunisia 	28.97 	6.72 	18.58 	27.03 	18.70 	42.47
8 	Azerbaijan 	29.10 	11.53 	20.90 	23.59 	29.94 	36.69
9 	Syria 	29.82 	7.74 	19.51 	26.52 	24.57 	17.81
10 	Algeria 	30.08 	7.95 	19.75 	29.97 	20.88 	42.24
11 	Georgia 	31.60 	10.96 	21.96 	25.62 	31.59 	33.49
12 	Macedonia 	32.04 	6.46 	20.09 	25.64 	22.38 	42.80
13 	Sri Lanka 	32.12 	8.26 	20.98 	35.00 	19.07 	30.44
14 	Mozambique 	32.22 	18.44 	25.79 	26.90 	31.23 	49.84
15 	Colombia 	32.40 	11.04 	22.42 	26.33 	23.88 	40.77
16 	Egypt 	32.62 	8.14 	21.19 	28.88 	28.14 	37.14
17 	Nigeria 	32.71 	16.93 	25.34 	29.86 	22.98 	35.13
18 	Mexico 	33.07 	10.11 	22.35 	30.42 	28.98 	66.91
19 	Albania 	33.41 	7.42 	21.28 	26.22 	28.48 	39.52
20 	Armenia 	33.85 	11.07 	23.21 	25.77 	31.19 	30.43
21 	Belarus 	34.40 	12.71 	24.27 	27.37 	40.16 	38.61
22 	Serbia 	34.55 	7.67 	22.00 	24.91 	28.82 	44.83
23 	Uganda 	34.60 	7.30 	21.85 	28.50 	20.75 	20.17
24 	Bangladesh 	34.94 	5.76 	21.31 	30.50 	22.93 	41.26
25 	Bosnia And Herzegovina 	35.13 	6.32 	21.68 	29.14 	25.18 	56.20
26 	Philippines 	35.27 	7.78 	22.43 	33.59 	20.51 	38.41
27 	Russia 	35.63 	16.74 	26.81 	28.20 	39.39 	52.60
28 	Morocco 	35.66 	11.26 	24.27 	30.56 	24.72 	43.20
29 	Romania 	35.73 	9.75 	23.60 	28.46 	30.33 	57.12
30 	Bulgaria 	37.00 	9.53 	24.18 	30.23 	30.80 	54.29
31 	Bolivia 	37.60 	10.82 	25.09 	29.42 	28.32 	51.11
32 	Botswana 	37.72 	10.50 	25.01 	31.21 	31.66 	64.46
