LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,CGEXP,DEF,PC,A,2007,18.53,
USA,CGEXP,DEF,PC,A,2008,18.64,
USA,CGEXP,DEF,PC,A,2009,17.69,
USA,CGEXP,DEF,PC,A,2010,17.62,
USA,CGEXP,DEF,PC,A,2011,17.51,
USA,CGEXP,DEF,PC,A,2012,17.28,
USA,CGEXP,DEF,PC,A,2013,16.18,
USA,CGEXP,DEF,PC,A,2014,15.26,
DEU,CGEXP,DEF,PC,A,2007,7.18,
DEU,CGEXP,DEF,PC,A,2008,7.53,
DEU,CGEXP,DEF,PC,A,2009,7.73,
DEU,CGEXP,DEF,PC,A,2010,6.87,
DEU,CGEXP,DEF,PC,A,2011,7.63,
DEU,CGEXP,DEF,PC,A,2012,8.09,
DEU,CGEXP,DEF,PC,A,2013,8.11,
DEU,CGEXP,DEF,PC,A,2014,8.27,
GBR,CGEXP,DEF,PC,A,2007,5.77,
GBR,CGEXP,DEF,PC,A,2008,5.77,
GBR,CGEXP,DEF,PC,A,2009,5.77,
GBR,CGEXP,DEF,PC,A,2010,5.81,
GBR,CGEXP,DEF,PC,A,2011,5.83,
GBR,CGEXP,DEF,PC,A,2012,5.53,
GBR,CGEXP,DEF,PC,A,2013,5.47,
GBR,CGEXP,DEF,PC,A,2014,5.33,
OECD,CGEXP,DEF,PC,A,2007,10.98,
OECD,CGEXP,DEF,PC,A,2008,11.07,
OECD,CGEXP,DEF,PC,A,2009,10.6,
OECD,CGEXP,DEF,PC,A,2010,10.58,
OECD,CGEXP,DEF,PC,A,2011,10.56,
OECD,CGEXP,DEF,PC,A,2012,10.2,
OECD,CGEXP,DEF,PC,A,2013,9.7,
OECD,CGEXP,DEF,PC,A,2014,9.4,
FRA,CGEXP,DEF,PC,A,2007,7.83,
FRA,CGEXP,DEF,PC,A,2008,7.63,
FRA,CGEXP,DEF,PC,A,2009,7.86,
FRA,CGEXP,DEF,PC,A,2010,7.38,
FRA,CGEXP,DEF,PC,A,2011,7.69,
FRA,CGEXP,DEF,PC,A,2012,7.72,
FRA,CGEXP,DEF,PC,A,2013,7.66,
FRA,CGEXP,DEF,PC,A,2014,7.34,
ITA,CGEXP,DEF,PC,A,2007,4.34,
ITA,CGEXP,DEF,PC,A,2008,4.7,
ITA,CGEXP,DEF,PC,A,2009,4.75,
ITA,CGEXP,DEF,PC,A,2010,4.54,
ITA,CGEXP,DEF,PC,A,2011,4.73,
ITA,CGEXP,DEF,PC,A,2012,4.33,
ITA,CGEXP,DEF,PC,A,2013,4.03,
ITA,CGEXP,DEF,PC,A,2014,4.08,
JPN,CGEXP,DEF,PC,A,2007,5.78,
JPN,CGEXP,DEF,PC,A,2008,5.59,
JPN,CGEXP,DEF,PC,A,2009,4.87,
JPN,CGEXP,DEF,PC,A,2010,4.76,
JPN,CGEXP,DEF,PC,A,2011,4.74,
JPN,CGEXP,DEF,PC,A,2012,4.88,
JPN,CGEXP,DEF,PC,A,2013,4.79,
JPN,CGEXP,DEF,PC,A,2014,5.11,
