LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GBR,CGEXP,ECOAFF,PC,A,2007,6.4,
GBR,CGEXP,ECOAFF,PC,A,2008,10.42,
GBR,CGEXP,ECOAFF,PC,A,2009,8.32,
GBR,CGEXP,ECOAFF,PC,A,2010,5.88,
GBR,CGEXP,ECOAFF,PC,A,2011,5.63,
GBR,CGEXP,ECOAFF,PC,A,2012,7.06,
GBR,CGEXP,ECOAFF,PC,A,2013,6.19,
GBR,CGEXP,ECOAFF,PC,A,2014,6.22,
USA,CGEXP,ECOAFF,PC,A,2007,5.8,
USA,CGEXP,ECOAFF,PC,A,2008,6.96,
USA,CGEXP,ECOAFF,PC,A,2009,6.45,
USA,CGEXP,ECOAFF,PC,A,2010,5.97,
USA,CGEXP,ECOAFF,PC,A,2011,5.79,
USA,CGEXP,ECOAFF,PC,A,2012,5.83,
USA,CGEXP,ECOAFF,PC,A,2013,5.69,
USA,CGEXP,ECOAFF,PC,A,2014,5.45,
DEU,CGEXP,ECOAFF,PC,A,2007,9.07,
DEU,CGEXP,ECOAFF,PC,A,2008,10.15,
DEU,CGEXP,ECOAFF,PC,A,2009,11.01,
DEU,CGEXP,ECOAFF,PC,A,2010,17.51,
DEU,CGEXP,ECOAFF,PC,A,2011,10.43,
DEU,CGEXP,ECOAFF,PC,A,2012,9.68,
DEU,CGEXP,ECOAFF,PC,A,2013,9.9,
DEU,CGEXP,ECOAFF,PC,A,2014,8.72,
OECD,CGEXP,ECOAFF,PC,A,2007,9.08,
OECD,CGEXP,ECOAFF,PC,A,2008,10.27,
OECD,CGEXP,ECOAFF,PC,A,2009,9.83,
OECD,CGEXP,ECOAFF,PC,A,2010,9.55,
OECD,CGEXP,ECOAFF,PC,A,2011,9.02,
OECD,CGEXP,ECOAFF,PC,A,2012,9.57,
OECD,CGEXP,ECOAFF,PC,A,2013,9.06,
OECD,CGEXP,ECOAFF,PC,A,2014,8.75,
FRA,CGEXP,ECOAFF,PC,A,2007,11.53,
FRA,CGEXP,ECOAFF,PC,A,2008,11.98,
FRA,CGEXP,ECOAFF,PC,A,2009,12.75,
FRA,CGEXP,ECOAFF,PC,A,2010,12.86,
FRA,CGEXP,ECOAFF,PC,A,2011,12.6,
FRA,CGEXP,ECOAFF,PC,A,2012,13.23,
FRA,CGEXP,ECOAFF,PC,A,2013,12.97,
FRA,CGEXP,ECOAFF,PC,A,2014,13.81,
ITA,CGEXP,ECOAFF,PC,A,2007,11.95,
ITA,CGEXP,ECOAFF,PC,A,2008,10.88,
ITA,CGEXP,ECOAFF,PC,A,2009,11.31,
ITA,CGEXP,ECOAFF,PC,A,2010,10.09,
ITA,CGEXP,ECOAFF,PC,A,2011,10.65,
ITA,CGEXP,ECOAFF,PC,A,2012,11.08,
ITA,CGEXP,ECOAFF,PC,A,2013,12.17,
ITA,CGEXP,ECOAFF,PC,A,2014,11.99,
JPN,CGEXP,ECOAFF,PC,A,2007,14.5,
JPN,CGEXP,ECOAFF,PC,A,2008,17.26,
JPN,CGEXP,ECOAFF,PC,A,2009,15.23,
JPN,CGEXP,ECOAFF,PC,A,2010,12.25,
JPN,CGEXP,ECOAFF,PC,A,2011,12.15,
JPN,CGEXP,ECOAFF,PC,A,2012,12.86,
JPN,CGEXP,ECOAFF,PC,A,2013,12.9,
JPN,CGEXP,ECOAFF,PC,A,2014,12.06,
