LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,CGEXP,EDU,PC,A,2007,2.22,
USA,CGEXP,EDU,PC,A,2008,2.2,
USA,CGEXP,EDU,PC,A,2009,2.79,
USA,CGEXP,EDU,PC,A,2010,3.45,
USA,CGEXP,EDU,PC,A,2011,3.36,
USA,CGEXP,EDU,PC,A,2012,2.95,
USA,CGEXP,EDU,PC,A,2013,2.78,
USA,CGEXP,EDU,PC,A,2014,2.67,
FRA,CGEXP,EDU,PC,A,2007,17.11,
FRA,CGEXP,EDU,PC,A,2008,16.69,
FRA,CGEXP,EDU,PC,A,2009,16.76,
FRA,CGEXP,EDU,PC,A,2010,15.95,
FRA,CGEXP,EDU,PC,A,2011,16.75,
FRA,CGEXP,EDU,PC,A,2012,16.65,
FRA,CGEXP,EDU,PC,A,2013,16.75,
FRA,CGEXP,EDU,PC,A,2014,16.88,
ITA,CGEXP,EDU,PC,A,2007,13.49,
ITA,CGEXP,EDU,PC,A,2008,12.89,
ITA,CGEXP,EDU,PC,A,2009,12.13,
ITA,CGEXP,EDU,PC,A,2010,11.95,
ITA,CGEXP,EDU,PC,A,2011,11.48,
ITA,CGEXP,EDU,PC,A,2012,11.21,
ITA,CGEXP,EDU,PC,A,2013,11.25,
ITA,CGEXP,EDU,PC,A,2014,12.1,
DEU,CGEXP,EDU,PC,A,2007,1.34,
DEU,CGEXP,EDU,PC,A,2008,1.24,
DEU,CGEXP,EDU,PC,A,2009,1.21,
DEU,CGEXP,EDU,PC,A,2010,0.97,
DEU,CGEXP,EDU,PC,A,2011,1.17,
DEU,CGEXP,EDU,PC,A,2012,1.34,
DEU,CGEXP,EDU,PC,A,2013,1.46,
DEU,CGEXP,EDU,PC,A,2014,2.64,
GBR,CGEXP,EDU,PC,A,2007,12.05,
GBR,CGEXP,EDU,PC,A,2008,11.75,
GBR,CGEXP,EDU,PC,A,2009,11.8,
GBR,CGEXP,EDU,PC,A,2010,11.75,
GBR,CGEXP,EDU,PC,A,2011,11.16,
GBR,CGEXP,EDU,PC,A,2012,10.82,
GBR,CGEXP,EDU,PC,A,2013,10.63,
GBR,CGEXP,EDU,PC,A,2014,10.57,
OECD,CGEXP,EDU,PC,A,2007,7.45,
OECD,CGEXP,EDU,PC,A,2008,7.29,
OECD,CGEXP,EDU,PC,A,2009,7.25,
OECD,CGEXP,EDU,PC,A,2010,7.37,
OECD,CGEXP,EDU,PC,A,2011,7.31,
OECD,CGEXP,EDU,PC,A,2012,7.16,
OECD,CGEXP,EDU,PC,A,2013,7.22,
OECD,CGEXP,EDU,PC,A,2014,7.29,
JPN,CGEXP,EDU,PC,A,2007,6.18,
JPN,CGEXP,EDU,PC,A,2008,5.87,
JPN,CGEXP,EDU,PC,A,2009,5.61,
JPN,CGEXP,EDU,PC,A,2010,5.74,
JPN,CGEXP,EDU,PC,A,2011,5.3,
JPN,CGEXP,EDU,PC,A,2012,5.22,
JPN,CGEXP,EDU,PC,A,2013,5.49,
JPN,CGEXP,EDU,PC,A,2014,5.23,
