Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-10-14,575.5009,575.5113,573.0,573.0,0.42874379,246.326603287,574.53101137
2016-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-12,574.9991,575.0,569.9999,570.0,11.18665635,6409.3443512,572.945494227
2016-10-11,556.0,575.0,556.0,570.0,10.24114167,5775.29040519,563.930330356
2016-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-09,550.0,550.0,550.0,550.0,1.3,715.0,550.0
2016-10-08,569.017,569.017,569.017,569.017,0.00522107,2.97087758819,569.017
2016-10-07,549.9999,573.2198,549.9999,573.2198,2.15058259,1192.26500172,554.391636605
2016-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-05,533.2701,542.0,521.0099,542.0,4.02011519,2151.99320862,535.306354896
2016-10-04,544.2401,544.2401,544.24,544.24,0.54499871,296.61009993,544.24000367
2016-10-03,552.4458,552.4459,552.4458,552.4459,0.91500607,505.491343847,552.445891257
2016-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,550.6799,553.665,550.17,552.455,122.44989444,67596.6938062,552.035541683
2016-09-29,549.315,553.05,533.27,553.05,133.32858168,72988.4792115,547.433103179
2016-09-28,539.94,549.7,539.885,549.32,131.81339161,71512.2285005,542.526276178
2016-09-27,539.905,539.98,533.27,539.9349,125.01806413,67470.8387122,539.68871764
2016-09-26,534.905,539.96,534.88,539.96,128.7577342,69196.5461281,537.416618567
2016-09-25,538.415,538.46,534.88,534.955,127.98424491,68827.7390469,537.782905195
2016-09-24,534.96,538.46,534.88,538.385,124.74083691,67004.2167033,537.147403874
2016-09-23,527.95,534.96,524.9,534.92,136.97558111,72778.6036543,531.325387084
2016-09-22,527.96,527.995,527.89,527.91,101.09038385,53369.2091095,527.935566935
2016-09-21,543.26,543.285,527.89,527.94,124.771193,66566.8246313,533.511165765
2016-09-20,553.955,554.48,541.6526,543.255,118.34500653,64828.8979276,547.795803376
2016-09-19,551.175,555.11,550.1799,553.905,121.75321652,67165.0359338,551.648965453
2016-09-18,549.745,560.2421,549.505,551.155,126.47539677,69632.6417104,550.56274571
2016-09-17,548.29,553.035,547.95,549.73,121.40086439,66670.158187,549.173669578
2016-09-16,548.295,559.515,548.23,548.475,128.49352714,70540.7901157,548.983218733
2016-09-15,548.3,548.33,537.6319,548.265,128.7153935,70560.699664,548.191616755
2016-09-14,548.485,549.44,537.6188,548.26,127.9971032,70152.7464177,548.08073514
2016-09-13,547.4349,551.26,538.0015,548.485,121.70413955,66784.5762012,548.745313415
2016-09-12,544.835,556.485,544.825,547.475,120.8994026,66151.3064453,547.159911652
2016-09-11,560.665,562.22,541.55,544.975,129.57706986,72320.8726716,558.130174958
2016-09-10,559.58,562.2,549.0001,560.6799,123.10993235,68989.8213483,560.392001128
2016-09-09,559.63,560.62,549.0,559.98,132.90700073,74028.4977434,556.994720645
2016-09-08,545.35,562.125,545.3,559.63,132.29481878,72865.7701322,550.783249141
2016-09-07,544.615,551.38,538.9002,545.37,117.00848399,63751.5844156,544.845828624
2016-09-06,545.165,545.215,537.325,544.655,128.88059933,70145.6332277,544.268366165
2016-09-05,531.775,545.215,530.88,545.135,124.77550387,66880.4755113,536.006455089
2016-09-04,530.395,550.0,528.925,532.39,115.73215632,61507.7089097,531.466023493
2016-09-03,514.91,531.395,514.9,530.6799,120.18419587,62136.2020144,517.008093823
2016-09-02,517.195,519.315,514.9349,514.97,128.47685738,66441.4717311,517.147392036
2016-09-01,505.7,519.87,505.63,517.1799,71.29711841,36482.9557094,511.703088751
2016-08-31,510.0,510.0,510.0,510.0,0.58,295.8,510.0
2016-08-30,510.0,510.0,510.0,510.0,1.74955353,892.2723003,510.0
2016-08-29,513.0,513.0,504.0,504.0,4.62134017,2330.50454568,504.291928304
2016-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27,513.0,513.0,513.0,513.0,0.05789473,29.69999649,513.0
2016-08-26,513.0,513.0,513.0,513.0,2.988175,1532.933775,513.0
2016-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-22,530.2698,530.2698,530.2698,530.2698,0.23106561,122.527114802,530.2698
2016-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-20,512.79,512.79,509.5802,512.0,20.42686369,10439.6107267,511.07261913
