Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,848162.0,882222.0,846201.0,874439.0,6026.0586964,5213929588.6977,865230.46843413
2018-04-17,866657.0,875000.0,836916.0,848161.0,5696.61335074,4902421743.7718,860585.30602835
2018-04-16,902154.0,908005.0,850216.0,866675.0,6613.92347593,5777190855.6533,873489.21962556
2018-04-15,858995.0,903295.0,858995.0,901873.0,5632.72234994,4969595025.7671,882272.32180547
2018-04-14,845862.0,880000.0,840000.0,859000.0,6140.81285408,5279903475.1214,859805.30600496
2018-04-13,850587.0,888815.0,830000.0,846257.0,9369.39464462,8060076484.8937,860255.842625
2018-04-12,741832.0,861999.0,725500.0,850057.0,10491.3861549,8391079253.839,799806.53937897
2018-04-11,733732.0,744998.0,728934.0,741733.0,4420.52611426,3254007214.2233,736113.10738021
2018-04-10,727430.0,738776.0,715070.0,733696.0,4651.77484442,3387081629.784,728126.73507767
2018-04-09,752314.0,770521.0,708449.0,727258.0,6718.46950971,4954815082.7153,737491.63787292
2018-04-08,737214.0,759399.0,737011.0,752104.0,3504.35383741,2618804099.0211,747300.13592365
2018-04-07,712194.0,751998.0,710112.0,737969.0,5663.86444784,4176542816.8913,737401.61957515
2018-04-06,730995.0,740740.0,703419.0,711801.0,6315.52268981,4535306823.1195,718120.58096746
2018-04-05,730582.0,745984.0,705363.0,730997.0,6412.53087772,4667971663.1792,727945.29214633
2018-04-04,796643.0,797075.0,721253.0,730840.0,6767.68168269,5129916933.2953,758002.10083999
2018-04-03,752919.0,804899.0,747678.0,796500.0,8187.78918639,6423032235.5135,784464.77911156
2018-04-02,728379.0,762836.0,723800.0,752925.0,8055.77500317,6016164325.9878,746813.84765841
2018-04-01,743420.0,755320.0,685074.0,727777.0,9220.65293053,6675736935.0048,723998.28789794
2018-03-31,729001.0,772048.0,728999.0,743673.0,7591.87333623,5691489669.5834,749681.85288635
2018-03-30,748507.0,775913.0,705000.0,729016.0,10777.47829904,7890639838.1136,732141.56588155
2018-03-29,852051.0,853177.0,736000.0,748504.0,9381.10353865,7424781070.317,791461.37122642
2018-03-28,828999.0,859816.0,823454.0,852536.0,4280.43810925,3606645266.427,842587.87871108
2018-03-27,865987.0,872980.0,824468.0,828855.0,6244.58498351,5281673259.1659,845800.5252732
2018-03-26,895201.0,898800.0,835001.0,865633.0,5360.02476364,4650325808.7435,867594.09029026
2018-03-25,902016.0,913623.0,886402.0,895837.0,4662.84740813,4195038742.9978,899673.17731296
2018-03-24,942910.0,946937.0,898181.0,902407.0,5850.93589506,5451648880.5501,931756.72718496
2018-03-23,922800.0,943540.0,874986.0,942177.0,6456.66567909,5819091749.9295,901253.37738559
2018-03-22,950296.0,968873.0,903000.0,922241.0,5355.53192195,5011178154.4701,935701.29494167
2018-03-21,961500.0,984792.0,940000.0,950371.0,6455.80230238,6228518948.8324,964793.94149603
2018-03-20,926459.0,975000.0,897770.0,961500.0,6109.37694915,5685138023.5629,930559.37960317
2018-03-19,869575.0,934608.0,866545.0,925473.0,6974.93428519,6254369684.8035,896692.27394493
2018-03-18,842999.0,883325.0,778410.0,869572.0,9217.86941761,7553312785.3346,819420.6755527
2018-03-17,880763.0,894110.0,827500.0,842999.0,7140.28118837,6156400656.3213,862207.03273546
2018-03-16,887651.0,921250.0,849985.0,880721.0,7533.36395945,6702403335.9732,889695.94089047
2018-03-15,882273.0,902499.0,822311.0,886397.0,10425.18321835,9036904945.8499,866834.16076021
2018-03-14,981540.0,1004999.0,853000.0,882000.0,7787.43519981,7261890417.8019,932513.75215027
2018-03-13,978957.0,1017617.0,955092.0,981471.0,6697.30114393,6588228511.7416,983713.94240093
2018-03-12,1016005.0,1069040.0,942740.0,978962.0,8021.83281288,8090719489.1416,1008587.3986492
2018-03-11,935500.0,1036886.0,900021.0,1016998.0,5470.13827754,5255560053.334,960772.79708138
2018-03-10,980765.0,1006992.0,926408.0,935181.0,5317.56763043,5213961901.0811,980516.33067044
