Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,63509.22,68771.93,59308.33,64480.84,12.7342528,802858.66995912,63047.175407035
2018-04-17,64091.14,66390.25,59906.46,66390.25,21.11808666,1325245.1099024,62754.033129932
2018-04-16,66882.7,66978.26,59771.72,62855.65,21.49056683,1382503.2208472,64330.700617784
2018-04-15,60532.68,69070.98,60532.68,68681.99,9.82378049,621750.25002152,63290.323990283
2018-04-14,60398.93,63673.06,59814.54,59814.54,3.95618954,237381.01990282,60002.438584583
2018-04-13,60616.88,64863.42,58923.52,64714.75,17.38169938,1070334.2714806,61578.229382575
2018-04-12,55860.59,61351.21,50472.24,59535.17,12.49426889,675849.75002328,54092.780936082
2018-04-11,54634.55,56116.42,51635.42,56116.42,16.81671118,907715.00137328,53976.96325146
2018-04-10,54465.84,56538.3,50848.63,56538.3,9.73259975,517589.24940388,53180.985831034
2018-04-09,53187.3,58907.0,50917.81,55384.89,14.8156879,782246.54919589,52798.530481726
2018-04-08,56415.01,57008.37,52512.71,52768.36,8.63257397,470507.77005488,54503.763499739
2018-04-07,51857.01,55859.72,51690.23,55530.8,13.40220759,701006.77962163,52305.321710185
2018-04-06,54938.66,56896.01,49111.16,55348.83,16.45087955,845773.51011492,51412.054142413
2018-04-05,53496.1,54967.24,50169.77,54612.49,3.67033577,190237.34001717,51831.045424264
2018-04-04,55415.48,66508.95,52748.53,52748.53,4.04381272,223803.64986484,55344.711874995
2018-04-03,56919.94,60002.67,52281.25,56132.59,10.60841182,599993.92068957,56558.317198659
2018-04-02,56064.08,56920.28,53316.34,53316.34,4.39492844,242944.50000826,55278.374454774
2018-04-01,56593.56,56593.56,49891.22,51831.1,6.19692295,332183.99032204,53604.666864873
2018-03-31,56689.54,58136.93,53388.18,56241.33,6.40243032,354734.6997383,55406.257000592
2018-03-30,54305.34,59894.08,50596.78,52879.31,14.5032453,792932.1906919,54672.742154606
2018-03-29,63082.43,64031.27,57016.64,60141.3,10.42115198,623827.74010883,59861.687201767
2018-03-28,62128.84,68171.83,59438.01,60143.06,4.44014001,276901.89975735,62363.326186497
2018-03-27,62399.54,67203.14,60023.35,65165.68,11.74434057,729059.92925021,62077.553431356
2018-03-26,64379.69,71588.88,62667.84,62667.84,5.45988474,355503.99909547,65111.99705206
2018-03-25,69102.3,77195.82,64963.42,68360.31,14.93711454,986243.88002261,66026.39869846
2018-03-24,67976.04,71705.05,67366.46,71594.71,7.92164935,539493.5703627,68103.692365871
2018-03-23,69616.44,71496.6,64021.8,71496.6,8.24402392,547547.38997202,66417.491662496
2018-03-22,73064.65,73099.78,68984.42,69795.15,5.09837767,361430.00022599,70891.178257101
2018-03-21,71994.81,75505.02,67781.95,72943.98,9.62390408,674883.0200165,70125.701005168
2018-03-20,64701.75,85584.2,64530.02,67000.25,8.04877181,541419.20945866,67267.30763891
2018-03-19,70239.96,70239.96,62553.5,68948.0,11.57584932,774829.34940979,66934.989216825
2018-03-18,66263.5,66263.5,57762.5,60044.88,4.50004427,273368.46078107,60747.949215414
2018-03-17,61945.6,67581.78,61511.69,63118.14,24.54618145,1622275.5915776,66090.75203335
2018-03-16,67387.02,72658.15,61145.78,72658.15,14.81264428,964859.62013701,65137.567735949
2018-03-15,67409.25,69147.93,59924.98,67800.0,10.92659391,691206.8992792,63259.136833722
2018-03-14,70686.92,74732.94,65989.35,66762.63,12.86107349,889402.98865309,69154.646332177
2018-03-13,75034.61,76858.6,69581.43,70489.22,9.57496928,692719.83866776,72346.951557818
2018-03-12,72181.87,78578.47,69551.05,69551.05,13.9989461,1004948.0105686,71787.404808177
2018-03-11,70254.99,75695.15,65954.18,75695.15,10.27526932,738727.2405105,71893.710763632
2018-03-10,78942.05,103212.67,72853.05,72853.05,5.12681552,390091.07010051,76088.376610927
2018-03-09,75033.73,79663.33,66238.44,73693.63,11.30080413,809186.71933798,71604.348684343
2018-03-08,76298.15,88053.94,72811.54,75154.03,9.33688009,729007.62107936,78078.288898681
2018-03-07,87208.9,92839.48,76892.98,76892.98,5.78345652,476141.77982181,82328.237132111
2018-03-06,89625.09,90838.6,83087.91,85459.68,6.14554835,551485.9187979,89737.463183069
2018-03-05,91647.89,95107.26,86625.37,92491.5,9.27814706,843002.43943798,90858.921936292
2018-03-04,91224.2,91224.2,84980.85,88143.54,2.46756027,212668.10105365,86185.575136387
2018-03-03,84437.03,91495.3,84437.03,91495.3,7.10366669,625810.16046305,88096.779842446
2018-03-02,88041.52,112921.49,80249.91,84021.36,5.02340496,447762.57960013,89135.274413579
2018-03-01,77984.72,105214.19,77697.63,88686.58,5.43847915,462188.91021348,84984.955805793
2018-02-28,85775.95,89161.92,79441.42,84071.34,5.16180651,434449.88023137,84166.246718026
2018-02-27,83326.46,86478.15,77228.87,79411.72,14.96644887,1210606.9705274,80888.057083068
2018-02-26,78325.32,135729.04,73223.33,91687.32,3.49064349,279877.00011204,80179.199312057
2018-02-25,79191.47,80207.17,71195.9,71545.88,4.98970453,369085.07030649,73969.323852226
2018-02-24,78303.56,84642.57,76459.45,79203.38,4.66075486,370702.3391598,79536.974223056
2018-02-23,77679.54,89318.84,73577.91,89318.84,7.87891667,614330.98840343,77971.504730158
2018-02-22,89523.17,89523.17,79365.07,81260.18,5.53851612,468371.03039989,84566.15820049
2018-02-21,88485.69,97925.57,83546.52,85011.87,6.59056587,577380.92063527,87607.184576288
2018-02-20,91405.0,95937.94,86763.45,88014.44,5.21905165,469162.08988398,89894.126624323
2018-02-19,85196.22,90576.1,80665.63,90576.1,2.81888822,234543.12892815,83204.12539386
2018-02-18,91270.24,148551.33,79210.79,85232.89,1.72856788,143668.91994942,83114.421835385
2018-02-17,84897.68,151374.79,80915.46,86834.95,6.04583744,508660.72935074,84134.040056284
2018-02-16,80997.57,137820.78,74391.99,74391.99,0.26415822,20888.000024435,79073.821834638
2018-02-15,75334.2,80652.72,73339.82,73591.6,10.26361536,809392.50043961,78860.369572502
2018-02-14,69731.86,79338.6,65565.73,79338.6,8.85399611,615570.08038388,69524.548321027
