Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,145256.64,167803.25,139098.37,139098.38,5.58973321,816551.00239887,146080.49646056
2018-04-17,149000.06,166087.73,135474.67,146541.05,7.76703897,1132081.2446061,145754.54674281
2018-04-16,154819.97,180375.61,138205.3,148231.42,5.02501568,736837.04991017,146633.78123233
2018-04-15,149414.3,170769.4,144696.77,154819.73,1.88755471,285590.00061564,151301.57504979
2018-04-14,146739.45,178855.68,141657.08,142787.87,2.34288571,346100.1987651,147723.89335419
2018-04-13,145784.21,158000.35,135560.53,147260.66,4.44010605,650092.89944726,146413.82258139
2018-04-12,130620.41,146568.82,124660.05,145784.07,5.94851251,817355.59187627,137405.03873905
2018-04-11,131039.68,154546.36,117000.0,130548.13,4.27459811,548597.91866552,128339.06359106
2018-04-10,129920.07,155326.13,117376.61,136208.53,8.41314824,1076450.249069,127948.56555018
2018-04-09,132999.95,151013.3,115768.47,118544.4,6.44027493,801499.65063347,124451.1545462
2018-04-08,129175.88,141033.78,122635.3,132980.49,1.80453553,232681.37058043,128942.52660153
2018-04-07,123596.03,159441.83,119396.28,129175.77,3.05525476,391528.65716703,128149.2667299
2018-04-06,127998.99,180965.34,114000.0,124922.7,9.65532895,1159788.9199899,120119.04783315
2018-04-05,128993.31,154165.55,115585.56,123631.54,7.96074757,996246.32836627,125144.82083575
2018-04-04,142133.78,155998.94,119810.19,127949.08,5.69797059,757494.8905314,132941.17239931
2018-04-03,135745.62,168761.18,125448.5,142133.78,9.08687385,1236130.3782415,136034.72422383
2018-04-02,133388.47,158137.77,119522.95,136750.93,7.45358929,982866.85499843,131864.90652458
2018-04-01,138448.16,155851.44,120337.68,130421.53,1.22872759,161573.63101585,131496.70629261
2018-03-31,142833.19,192312.36,121724.28,138979.92,1.47894746,201587.11027539,136304.44334743
2018-03-30,138539.08,155302.41,117370.97,142477.11,3.75875257,491894.40949423,130866.39791622
2018-03-29,185000.19,191376.57,128411.8,135772.72,4.52140022,633622.14059096,140138.47696742
2018-03-28,151137.88,185000.19,137514.48,150960.79,5.04942722,752228.53086008,148973.04151263
2018-03-27,157500.16,199390.47,137589.85,143163.67,7.34742024,1106210.8813454,150557.72573387
2018-03-26,154021.38,194530.2,138906.73,160680.0,10.26949534,1532657.6585086,149243.71721937
2018-03-25,165008.12,197400.24,151974.14,163884.18,1.0147172,166920.31921238,164499.34938758
2018-03-24,157814.58,204944.76,156576.77,167667.83,2.61157133,432885.36932948,165756.67084287
2018-03-23,168099.25,210990.49,152075.98,164911.91,4.65685911,760138.52072687,163229.87291898
2018-03-22,172500.04,240878.53,150162.06,168000.03,21.4059874,3488254.1777955,162956.93875796
2018-03-21,172658.19,208494.05,156370.74,170240.97,7.76837052,1314644.4597851,169230.40120196
2018-03-20,164428.39,176051.79,150365.2,173646.68,6.90708079,1163109.8419374,168393.83775869
2018-03-19,152394.89,173900.95,136056.03,169550.44,2.90619065,460115.61943226,158322.58610847
2018-03-18,155899.99,184498.1,134478.43,164199.15,3.41146797,506476.96924834,148463.05863113
2018-03-17,165999.9,185000.19,141952.85,151827.09,2.71944214,414942.77019387,152583.78330266
2018-03-16,147241.25,197889.18,147241.25,159252.66,6.30881195,1032734.2808238,163697.10953642
2018-03-15,160780.88,203476.8,143656.52,163000.25,9.1522661,1453746.7328017,158840.0858233
2018-03-14,178209.92,214151.11,143924.02,158825.83,3.4282494,557048.04807757,162487.60900463
2018-03-13,162292.1,195000.2,161098.9,178210.09,8.66030391,1533166.803423,177033.83384186
2018-03-12,191531.99,209380.23,158455.13,183000.03,9.22158365,1631966.4183773,176972.468105
