Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,10562.45,16211.27,10525.23,10859.83,5.66942929,63724.769885256,11240.067849097
2018-04-17,11721.15,16545.11,10477.02,11640.81,7.25700394,82699.110234947,11395.764825084
2018-04-16,11687.94,16433.18,9850.95,12294.36,10.54202256,120706.45022031,11450.027689972
2018-04-15,11742.72,12082.13,9600.2,11687.94,4.95997837,55274.790328144,11144.159551676
2018-04-14,9970.63,16340.12,9875.41,10255.82,4.87076127,53995.359883501,11085.610008454
2018-04-13,9331.09,14239.2,9242.51,10094.92,13.56409725,143897.15012998,10608.678740488
2018-04-12,11702.18,14600.0,8088.18,10221.31,8.61101758,87433.869817105,10153.72097488
2018-04-11,10004.27,14600.0,8101.52,8972.72,14.57597723,134033.65012859,9195.5172551123
2018-04-10,9775.66,14600.0,8370.28,8683.28,11.93024427,112537.06994878,9432.9225288178
2018-04-09,10045.39,13252.19,8170.01,9428.93,9.09075265,87500.1697232,9625.1843045362
2018-04-08,9209.79,13821.9,8407.0,10387.56,12.14846296,108893.25007645,8963.5413496331
2018-04-07,8785.69,13955.06,8575.07,10176.69,2.90507813,28029.979992546,9648.6148524157
2018-04-06,9300.04,13348.65,8124.93,8272.28,9.89869105,91308.780091082,9224.3287147629
2018-04-05,9055.97,14795.48,8799.54,9339.0,12.92959022,119285.36974239,9225.7656826489
2018-04-04,10461.28,16515.26,8974.51,9221.39,11.5456804,118694.46022431,10280.421431405
2018-04-03,9976.2,14600.01,9574.53,10137.27,9.51353139,99331.51016733,10441.076619744
2018-04-02,9483.31,13383.23,9342.2,10839.69,4.0622248,43599.059669144,10732.803282857
2018-04-01,10875.13,11550.61,8754.35,9430.21,1.65762443,17508.430168457,10562.362530128
2018-03-31,9370.39,15052.95,9340.97,11361.6,3.09208347,32049.059769021,10364.875359921
2018-03-30,11173.84,14734.92,8821.45,10671.71,4.31008129,43359.499965386,10060.019068779
2018-03-29,10909.76,16689.59,8995.33,11080.16,4.57500236,50629.0999661,11066.464229343
2018-03-28,11182.7,18836.11,9535.32,10746.07,7.94431813,88797.560091903,11177.492975335
2018-03-27,10434.58,14600.03,9753.71,11115.74,7.71961924,87249.969640964,11302.366985779
2018-03-26,11373.91,17418.23,10089.9,10838.5,3.46109809,39757.670282362,11487.010552296
2018-03-25,12564.79,18934.45,11203.14,11321.1,7.84088776,98012.800107891,12500.217208554
2018-03-24,12887.66,16600.34,11666.68,12672.08,10.2890778,132276.53999095,12856.015141702
