Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,74890.01,103387.92,64835.45,72236.88,14.54930944,1021172.5729803,70187.013149425
2018-04-17,64321.55,106826.14,62603.88,69455.53,13.22453711,919383.41015156,69521.027655203
2018-04-16,65422.5,108245.64,55000.0,72512.54,13.39188537,951915.13040492,71081.487341384
2018-04-15,70000.0,110155.71,54999.99,72165.19,8.98082522,610620.201206,67991.547129341
2018-04-14,70123.08,101582.86,55000.05,62459.9,10.55183437,683180.34899118,64745.173685965
2018-04-13,70742.27,105497.0,55000.0,70482.65,14.14603544,935814.2494253,66153.817682313
2018-04-12,56666.6,90752.39,54999.99,63712.94,12.13332053,775597.64884438,63922.950599276
2018-04-11,60665.2,90000.0,55000.0,71106.71,24.20704577,1432675.3779294,59184.230555921
2018-04-10,61851.33,89022.28,53694.17,60879.11,32.90998942,1910149.8014955,58041.641311942
2018-04-09,64765.53,93460.15,55000.0,61264.25,12.60354633,756147.51172164,59994.821451308
2018-04-08,62741.78,92299.26,50000.0,62303.6,11.09550506,686790.24938848,61898.061032336
2018-04-07,82499.95,82499.95,54999.94,61160.66,6.33187426,382593.47143147,60423.415835719
2018-04-06,64216.56,88000.01,55000.0,56658.98,11.01380255,663797.77122776,60269.626971636
2018-04-05,57151.71,89023.41,54783.59,62207.78,14.09647887,844686.10807077,59921.780173659
2018-04-04,80658.5,89795.09,55571.32,56752.15,17.4254841,1076605.3785855,61783.384174994
2018-04-03,58523.78,96492.5,58523.78,66969.91,16.97784049,1100215.7758359,64803.045857565
2018-04-02,61774.35,91838.13,57116.07,62631.42,10.7933315,656805.23936314,60852.873773324
2018-04-01,58526.72,89428.96,53541.79,56705.57,9.47527976,562143.41865091,59327.368994845
2018-03-31,63871.53,104203.68,57099.84,62589.19,11.47455811,701218.71064949,61110.737679596
2018-03-30,62489.83,70499.99,55309.71,61690.31,6.4807075,397036.23999214,61264.335721392
2018-03-29,75432.68,75706.98,59249.99,60761.62,16.43444991,1071531.7784615,65200.343444989
2018-03-28,68777.76,97711.27,63100.04,72169.48,17.09484149,1156866.4372369,67673.422881027
2018-03-27,74944.47,103299.38,62914.14,70023.11,15.53437621,1095211.2999777,70502.431843559
2018-03-26,79991.8,102257.98,66034.6,72502.72,11.67408249,850048.58797558,72815.023253753
2018-03-25,74582.69,106504.59,68366.6,74981.25,11.87544096,878760.68564248,73998.152035146
2018-03-24,77045.16,109284.24,68584.14,70320.82,8.54963139,634541.51985707,74218.582171771
2018-03-23,74624.53,107612.09,68133.72,76319.57,12.8926814,948325.30043898,73555.31956595
2018-03-22,69441.8,107226.13,67526.11,75363.63,10.78209467,802710.70253948,74448.493275888
2018-03-21,70000.07,99999.99,69441.84,75565.46,12.31105625,925869.79967196,75206.365795946
2018-03-20,74303.31,120000.0,65310.23,71777.48,9.61202697,702402.69056994,73075.397391435
2018-03-19,74132.1,103340.18,62000.04,74303.3,12.68104565,947689.8209614,74732.782068441
2018-03-18,65000.0,95000.0,59982.55,71528.71,7.31537443,480834.58201102,65729.319341351
2018-03-17,65994.73,94999.92,58944.89,67990.02,7.30545055,496080.8105798,67905.573678793
2018-03-16,73135.59,104934.4,64203.12,70880.97,10.17879764,723431.96852069,71072.438426106
2018-03-15,72127.49,119999.99,63784.54,65000.07,11.10467922,777649.21988165,70028.967471755
2018-03-14,76280.95,104994.96,64670.7,72000.0,10.43935915,780818.81025089,74795.665043375
2018-03-13,81549.25,104994.59,72802.59,82061.92,12.20509303,965593.64976483,79113.993428105
2018-03-12,83996.24,104995.7,71404.35,82104.54,7.85389431,639261.22907273,81394.172602856
2018-03-11,78840.56,99995.0,68101.91,83851.4,8.75020049,706679.59766841,80761.532090154
2018-03-10,78326.32,104273.11,71144.38,78957.7,5.65158789,445712.49138608,78865.002201369
2018-03-09,99995.0,99995.0,65115.11,78373.49,8.9496653,698800.00105818,78081.132381362
2018-03-08,89690.32,109999.99,76000.0,83692.5,9.57930884,792980.60286412,82780.565498933
2018-03-07,91625.31,120901.73,78200.1,99995.0,11.11518847,996808.18050131,89679.82712949
2018-03-06,96341.96,120000.0,84762.8,91049.06,11.92220992,1103758.3199658,92580.010532624
2018-03-05,96599.94,119999.99,85661.56,96349.99,9.96510014,944737.31022579,94804.597741432
2018-03-04,97995.02,120000.19,87152.68,98335.51,9.33217745,877176.78039569,93994.867231729
2018-03-03,95995.09,110000.11,84162.97,97615.26,4.35809746,400191.25922019,91827.055932841
2018-03-02,89880.77,120000.0,82523.49,91086.73,12.55576403,1089579.4421516,86779.222638159
2018-03-01,87065.64,120000.01,79051.02,91591.87,9.45698895,808025.09044957,85442.110033296
2018-02-28,89682.59,120000.0,79647.4,87499.99,13.13268926,1118076.3513358,85136.892315064
2018-02-27,88496.54,120000.48,75999.97,84199.85,14.77994631,1319727.2286057,89291.747136641
2018-02-26,85189.23,103944.57,74828.7,88917.3,16.53442188,1427714.3903214,86348.007851935
2018-02-25,90352.27,105102.86,75052.42,78154.77,10.0776834,828982.56835949,82259.23909849
2018-02-24,82488.34,94057.38,71746.98,88463.75,5.99835642,499242.85979759,83229.942477741
2018-02-23,85207.91,100000.0,79369.38,90318.03,7.59097182,664520.4298757,87540.890103805
2018-02-22,90576.43,107256.43,74750.99,85173.07,7.3291839,628756.78208907,85788.102832168
2018-02-21,91750.37,96425.01,82506.66,90096.58,11.27632914,1006583.3500977,89265.16223503
2018-02-20,91109.95,147611.93,85247.62,91750.48,11.86708162,1095316.8400316,92298.753400808
2018-02-19,86130.28,106994.9,81889.61,91040.33,10.56074753,933637.85758957,88406.417721603
2018-02-18,90730.19,101644.66,73853.5,86600.0,10.86610916,922846.85874246,84928.91477104
2018-02-17,83674.77,103276.34,80741.33,90730.11,7.89693706,681147.22216241,86254.609475437
2018-02-16,89254.99,89255.01,76235.17,84810.63,6.94030675,570147.68913731,82150.214633858
2018-02-15,75348.3,88642.75,73853.88,82111.44,15.0902036,1234612.1613991,81815.474073463
2018-02-14,74070.42,82332.57,69382.57,77000.01,13.54974624,997650.61006726,73628.730191426
2018-02-13,70460.58,83995.0,64579.54,68386.38,18.23706875,1310503.0286921,71859.301878878
2018-02-12,68927.27,96605.29,61934.87,72950.01,12.11113582,878833.22014149,72564.062793368
2018-02-11,75826.08,100000.0,63563.26,69827.83,8.05757564,557466.11901948,69185.341090944
2018-02-10,71329.93,88500.0,67046.34,70105.96,7.62643664,562142.18023933,73709.676848417
2018-02-09,70792.19,87995.25,63711.89,76090.3,14.23329024,1018791.2409955,71578.055658021
2018-02-08,66654.37,96615.87,62085.28,70547.88,11.27180145,797736.57947183,70772.76715798
2018-02-07,78995.18,82955.2,55316.87,73300.17,18.77983244,1298823.7610427,69160.561745815
2018-02-06,64622.43,88057.02,6222.12,67279.21,25.76359957,1433453.5181855,55638.712839437
2018-02-05,71500.0,89999.96,51205.3,54427.28,26.1991682,1586992.8689456,60574.17002062
2018-02-04,71267.57,88499.98,63117.18,73997.66,12.07642885,846161.16877004,70067.167974914
2018-02-03,72833.91,101794.11,64352.76,75217.45,9.00150861,663581.79880999,73718.953962094
2018-02-02,69252.84,111543.65,57451.27,68296.81,31.60021608,2111241.4331364,66810.980905684
2018-02-01,85250.04,112650.42,65852.24,78513.89,21.33561986,1599484.0083404,74967.777774253
2018-01-31,85898.99,118986.43,76691.47,79640.68,10.36993764,859848.30687015,82917.403818654
2018-01-30,91147.73,131525.3,76014.23,85898.99,16.60651963,1419979.0683644,85507.324833985
2018-01-29,95370.89,115594.91,85079.04,91628.59,10.65889441,970104.34801959,91013.59960086
2018-01-28,94098.99,185226.91,85968.06,95099.0,23.6940515,2150788.2495816,90773.342396997
2018-01-27,87100.0,179870.22,83970.35,93547.29,10.16931411,929730.7282255,91425.116597711
2018-01-26,88068.31,180450.51,76181.39,92498.98,13.01997936,1176444.6278709,90356.87348977
2018-01-25,91617.3,177030.62,81159.16,94699.03,11.88198098,1112073.8176306,93593.300603866
2018-01-24,91199.96,178256.51,82659.82,87263.04,9.69883402,875806.48867103,90300.183183362
2018-01-23,92238.92,115595.06,80764.05,88114.46,11.71449137,1040013.609032,88780.090930398
2018-01-22,102547.87,171880.8,80637.01,87417.79,22.84066496,2268982.33179,99339.591722203
2018-01-21,126186.79,126186.79,84036.95,95624.88,8.47374269,825374.85160232,97403.813379459
2018-01-20,96999.98,128499.19,90739.8,99189.36,14.58272539,1427599.6410011,97896.627881371
2018-01-19,102780.28,117046.68,85882.77,98237.62,16.79039601,1568055.0200733,93389.996229954
2018-01-18,108089.12,139924.72,84311.62,100634.58,12.91458986,1307997.4396898,101280.60231638
2018-01-17,110000.0,133740.54,74628.7,118361.4,24.05913878,2245796.8998987,93344.858285852
2018-01-16,121750.01,186098.45,84661.06,110000.0,13.28607819,1428218.4976112,107497.37260211
2018-01-15,119434.97,136189.15,105869.02,127224.3,10.67395503,1261701.1689024,118203.71786805
2018-01-14,111689.77,198994.89,105062.99,121275.92,5.93749417,681713.38753926,114814.99905865
2018-01-13,119750.01,141070.87,109329.36,123323.6,5.84548816,709389.98124598,121356.84169207
2018-01-12,116922.27,140728.52,105674.28,121120.36,9.31370082,1080409.9075117,116002.21312581
2018-01-11,122054.38,198995.03,104277.31,113234.99,9.28391081,1077567.9106395,116068.31783421
2018-01-10,130203.25,204778.79,109839.62,131409.37,15.91205408,1959816.2875172,123165.51198632
2018-01-09,133846.63,207416.04,114431.62,121132.98,17.94743193,2287996.3408952,127483.21597313
2018-01-08,139187.0,206726.54,115428.67,134942.08,17.34227785,2338306.5118393,134832.72105684
