Time,anxbtc,cavirtex,coinbase,kraken,localbitcoins,mtgox,quadrigacx,wallofcoins
2013-05-04 00:00:00 UTC,,1002.6051,,,,91.84529833,,
2013-05-05 00:00:00 UTC,,231.4295,,,2.4258,124.0535814,,
2013-05-06 00:00:00 UTC,,1124.6483,,,29.5413,73.60651512,,
2013-05-07 00:00:00 UTC,,964.3417,,,12.5409,115.12727356,,
2013-05-08 00:00:00 UTC,,611.1381,,,3.1048,80.15493976,,
2013-05-09 00:00:00 UTC,,835.1256,,,6.6324,248.48447289,,
2013-05-10 00:00:00 UTC,,1651.6079,,,3.637,197.89928105,,
2013-05-11 00:00:00 UTC,,305.9351,,,7.4454,57.65323069,,
2013-05-12 00:00:00 UTC,,666.5745,,,,47.03596005,,
2013-05-13 00:00:00 UTC,,551.4826,,,2.6407,28.71655367,,
2013-05-14 00:00:00 UTC,,1520.1861,,,6.3493,120.95221781,,
2013-05-15 00:00:00 UTC,,1565.9906,,,10.0948,221.76819154,,
2013-05-16 00:00:00 UTC,,1236.9683,,,6.6049,48.36752347,,
2013-05-17 00:00:00 UTC,,1150.3289,,,16.2938,192.64642812,,
2013-05-18 00:00:00 UTC,,392.6163,,,1.4159,34.9560932,,
2013-05-19 00:00:00 UTC,,114.4361,,,0.7864,129.53719858,,
2013-05-20 00:00:00 UTC,,377.5284,,,0.9882,135.56359502,,
2013-05-21 00:00:00 UTC,,567.9175,,,4.4898,115.26057372,,
2013-05-22 00:00:00 UTC,,778.6748,,,1.5297,30.10330291,,
2013-05-23 00:00:00 UTC,,624.2822,,,8.0466,232.0706903,,
2013-05-24 00:00:00 UTC,,942.6972,,,3.9613,100.97922377,,
2013-05-25 00:00:00 UTC,,689.0826,,,4.8025,120.33408785,,
2013-05-26 00:00:00 UTC,,326.1773,,,2.976,95.54111217,,
2013-05-27 00:00:00 UTC,,567.9788,,,0.1541,174.42893756,,
2013-05-28 00:00:00 UTC,,970.6609,,,5.7093,95.16399746,,
2013-05-29 00:00:00 UTC,,615.6388,,,0.8831,580.30974448,,
2013-05-30 00:00:00 UTC,,459.4675,,,5.6777,140.86171927,,
2013-05-31 00:00:00 UTC,,535.0716,,,2.722,97.92321861,,
2013-06-01 00:00:00 UTC,,284.1799,,,8.0,139.6170987,,
2013-06-02 00:00:00 UTC,,990.0763,,,15.4714,268.43517129,,
2013-06-03 00:00:00 UTC,,511.3716,,,6.6158,40.61046467,,
2013-06-04 00:00:00 UTC,,344.8329,,,4.76466,84.18462392,,
2013-06-05 00:00:00 UTC,,479.7852,,,,110.78944291,,
2013-06-06 00:00:00 UTC,,624.3198,,,,12.78978916,,
2013-06-07 00:00:00 UTC,,820.0954,,,5.3153,100.28040647,,
2013-06-08 00:00:00 UTC,,848.4849,,,6.0388,65.18432802,,
2013-06-09 00:00:00 UTC,,1965.9398,,,2.0924,413.33348825,,
2013-06-10 00:00:00 UTC,,586.1137,,,2.5414,42.04246412,,
2013-06-11 00:00:00 UTC,,1378.5844,,,3.7677,27.03909316,,
2013-06-12 00:00:00 UTC,,1093.6322,,,2.51,12.36095649,,
2013-06-13 00:00:00 UTC,,861.7565,,,12.259,30.54329187,,
2013-06-14 00:00:00 UTC,,650.227,,,13.265,33.70964518,,
2013-06-15 00:00:00 UTC,,553.4328,,,4.7009,12.08320016,,
2013-06-16 00:00:00 UTC,,65.4707,,,0.1688,86.73517204,,
2013-06-17 00:00:00 UTC,,382.2708,,,6.8719,62.47716344,,
2013-06-18 00:00:00 UTC,,926.3574,,,5.9451,77.04614526,,
2013-06-19 00:00:00 UTC,,346.3435,,,5.112,49.51049781,,
2013-06-20 00:00:00 UTC,,501.4305,,,,63.44927411,,
2013-06-21 00:00:00 UTC,,1007.7779,,,9.9409,31.83628528,,
2013-06-22 00:00:00 UTC,,423.2117,,,2.9,80.63820692,,
2013-06-23 00:00:00 UTC,,143.1065,,,0.2959,76.17672345,,
2013-06-24 00:00:00 UTC,,681.8955,,,,170.51762308,,
2013-06-25 00:00:00 UTC,,303.2945,,,,62.68018306,,
2013-06-26 00:00:00 UTC,,540.5558,,,2.5836,402.50034161,,
2013-06-27 00:00:00 UTC,,880.7102,,,9.4156,327.3337209,,
2013-06-28 00:00:00 UTC,,562.1262,,,16.8488,496.66968103,,
2013-06-29 00:00:00 UTC,,208.827,,,6.7593,156.46991408,,
2013-06-30 00:00:00 UTC,,484.9759,,,9.8,20.25,,
