Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,5548.0,5805.0,5536.0,5700.0,236.7322,1347703.0809,5692.9436760187
2018-04-17,5652.0,5733.0,5530.0,5574.0,363.5766,2055340.5651,5653.115643581
2018-04-16,5891.0,5944.0,5540.0,5665.0,261.7195,1479806.5651,5654.1700755962
2018-04-15,5672.0,5968.0,5672.0,5896.0,158.0621,923553.1399,5842.976525682
2018-04-14,5551.0,5813.0,5535.0,5656.0,99.6736,566097.0742,5679.5086582606
2018-04-13,5601.0,5796.0,5437.0,5575.0,260.3282,1478010.96,5677.490798154
2018-04-12,4925.0,5689.0,4798.0,5520.0,487.1265,2579930.7666,5296.2233970026
2018-04-11,4865.0,4953.0,4821.0,4953.0,99.4572,486734.4772,4893.9089095611
2018-04-10,4851.0,4890.0,4750.0,4844.0,277.0845,1330317.9897,4801.1274167267
2018-04-09,5025.0,5150.0,4750.0,4865.0,223.8345,1091937.9621,4878.3273449803
2018-04-08,4962.0,5080.0,4944.0,5013.0,79.8321,400032.1531,5010.9185791179
2018-04-07,4769.0,5025.0,4765.0,4909.0,118.0311,583264.8671,4941.6201924747
2018-04-06,4840.0,4899.0,4666.0,4745.0,312.6911,1481650.5497,4738.3841423693
2018-04-05,4836.0,4994.0,4680.0,4854.0,526.5435,2552475.9089,4847.6069097805
2018-04-04,5265.0,5288.0,4785.0,4848.0,356.5334,1785574.7336,5008.1555713995
2018-04-03,5026.0,5347.0,5020.0,5276.0,400.1702,2090689.0865,5224.4996916312
2018-04-02,4866.0,5049.0,4832.0,5026.0,217.4312,1078881.2611,4961.9431852466
2018-04-01,4950.0,5004.0,4622.0,4870.0,263.1525,1268215.9551,4819.3194254282
2018-03-31,4909.0,5163.0,4881.0,4932.0,356.961,1788049.886,5009.0903095856
2018-03-30,5065.0,5260.0,4706.0,4915.0,499.5445,2470063.6952,4944.6319501065
2018-03-29,5630.0,5643.0,4956.0,5056.0,516.6672,2700297.0566,5226.3760049022
2018-03-28,5526.0,5770.0,5500.0,5611.0,181.8163,1024540.3271,5635.0301216118
2018-03-27,5745.0,5820.0,5452.0,5535.0,459.6461,2593161.6359,5641.648293981
2018-03-26,6010.0,6046.0,5539.0,5765.0,382.883,2203271.2983,5754.4244542066
