Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,494587.8,4810930.43,176000.0,470999.79,224.82574994,108600494.58743,483042.95489467
2018-04-17,450999.98,4878468.73,428799.98,450217.99,236.32917388,114547395.69621,484694.266965
2018-04-16,507967.47,4956455.47,410000.74,503000.4,248.06441704,121434942.59454,489529.87310128
2018-04-15,499000.03,2390059.65,408000.0,525000.53,215.13141774,108894260.82308,506175.53664191
2018-04-14,508853.2,2305724.15,345338.45,513182.9,242.90257933,120484507.35983,496019.87633135
2018-04-13,485999.01,5512086.63,184500.03,485904.02,321.20430698,158943144.93003,494835.03638053
2018-04-12,430866.02,2231097.03,162000.03,485999.03,310.68600229,140419415.58778,451965.6970471
2018-04-11,415029.03,1971356.19,370000.37,449983.08,276.80582729,119052422.72603,430093.6287779
2018-04-10,408062.88,1917829.92,350000.8,439871.35,313.8232951,128649850.54338,409943.59740688
2018-04-09,390003.0,1825172.78,349585.16,408066.66,270.13922989,107924283.32274,399513.552203
2018-04-08,402000.03,2000000.0,294860.87,418332.73,201.37925099,81447418.350076,404447.91580897
2018-04-07,373502.99,1896453.63,286400.58,416011.08,259.01715349,104346495.10118,402855.53946993
2018-04-06,415000.18,3990009.02,306476.67,373502.0,322.37037271,124749482.73626,386975.6444662
2018-04-05,370297.11,1842675.22,339861.16,398499.52,246.56863238,97722999.903884,396331.84059389
2018-04-04,429989.16,2000000.0,344760.58,407999.11,266.17545118,107209007.98047,402775.71618718
2018-04-03,414058.1,997838.02,309098.24,429989.78,275.22482354,114584259.93273,416329.66990014
2018-04-02,410694.0,801710.32,309099.9,422523.9,289.89432442,116267386.31221,401068.1704267
2018-04-01,439598.85,644999.0,332420.95,410694.0,219.88964717,87395457.906771,397451.44453847
2018-03-31,437000.54,2000000.0,314129.55,400999.98,246.05371417,103877422.37466,422173.76285117
2018-03-30,454694.86,1824846.66,346309.7,435999.62,304.34245463,126283938.60183,414940.26443126
2018-03-29,443759.48,1938660.77,334443.95,459010.37,264.38444712,115883285.90359,438313.55121655
2018-03-28,470400.0,1111111.11,402300.44,456635.02,230.39923725,106322566.10529,461470.99866449
2018-03-27,441000.05,2078199.69,411116.59,486613.83,214.79471625,99231018.133859,461980.7221811
2018-03-26,472052.16,644255.18,387520.98,493988.16,232.49065812,109269077.56051,469993.4115379
2018-03-25,551668.22,1584999.66,428101.06,471001.89,173.08808041,85863846.705016,496070.24644116
2018-03-24,513999.57,2039273.69,430000.0,505062.53,204.09300016,103745655.1193,508325.39596149
2018-03-23,560079.27,1934058.91,412918.82,512999.83,232.7241379,115252885.47614,495233.91306174
2018-03-22,512734.01,5059875.19,437881.63,483100.12,219.21369909,110077309.46321,502146.1246271
