Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,229605.89,286346.7,229605.89,242615.52,9.7463272,2368687.7729848,243033.88593242
2018-04-17,240432.34,283933.62,230755.9,233595.74,15.85669975,3819784.9731213,240894.07211745
2018-04-16,309226.07,309226.07,225000.0,225000.0,6.7145028,1629471.8816372,242679.45522894
2018-04-15,234880.82,299145.94,231587.23,232489.65,6.81433135,1636297.3410171,240125.8842538
2018-04-14,232755.74,297257.21,212987.28,263195.3,3.96512818,935475.39865213,235925.63876513
2018-04-13,229768.85,301156.74,215981.95,230301.64,9.03661697,2093878.4366443,231710.43362749
2018-04-12,222407.33,271905.57,204238.76,231641.12,12.03996173,2612346.0462379,216972.9526406
2018-04-11,240682.77,252230.3,203306.46,204072.6,13.66698307,2862608.5157302,209454.31051377
2018-04-10,204894.94,238830.49,199608.0,204722.1,23.7426552,4877845.3677691,205446.49815616
2018-04-09,212651.31,255961.67,169999.8,204117.65,24.5809426,5275365.3665515,214612.00460846
2018-04-08,211420.52,258541.34,205700.23,211280.77,3.24389788,688419.18737844,212219.74699723
2018-04-07,233941.11,254234.59,203467.47,211902.75,6.12519861,1275081.7295331,208169.85876203
2018-04-06,201776.77,246033.93,179999.96,200568.68,10.90680384,2215440.0165245,203124.58617799
2018-04-05,207915.3,252597.33,203052.48,248503.93,9.42119397,1955658.9884665,207580.80076622
2018-04-04,226394.83,265899.81,208291.74,239895.6,15.83131275,3458560.3283905,218463.26852399
2018-04-03,208213.54,274246.85,203858.15,225654.06,11.33289801,2583513.2502976,227965.80786468
2018-04-02,215167.44,264100.32,205000.0,241890.99,15.30443918,3289028.7019219,214906.84259898
2018-04-01,211926.97,251100.76,201939.97,207679.14,14.81063273,3120390.6565591,210685.84397738
2018-03-31,216441.41,275375.89,210841.3,212069.69,9.01490455,1992049.2632511,220972.86246376
2018-03-30,218736.05,264995.36,206700.69,264178.11,9.28668473,2034085.6705463,219032.48895436
2018-03-29,263307.61,287341.46,222132.77,222132.77,10.68812314,2521105.9928222,235879.20533841
2018-03-28,300945.57,304126.54,234999.99,281888.65,9.02369718,2249025.5430682,249235.48499089
2018-03-27,304202.7,304202.7,238500.0,245024.53,12.1341867,3007289.1038568,247836.06666088
2018-03-26,259381.83,308157.86,238331.24,278854.47,11.15636594,2848167.7900422,255295.30004304
2018-03-25,265925.68,335550.95,254999.98,321980.05,10.47270804,2742373.3107792,261859.04355443
2018-03-24,327490.9,335257.71,259999.99,318080.14,7.21516702,1954491.2236156,270886.48373598
2018-03-23,257999.98,330852.86,251559.67,330852.86,9.9556244,2667123.3364883,267901.1611254
2018-03-22,269137.03,334896.18,244483.23,326074.91,16.7290036,4680155.9025042,279762.98017559
