Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,192948454.33,207331232.38,173275505.01,177062602.25,2.45249636,462615885.04379,188630610.2586
2018-04-17,193088413.26,206217456.31,174071143.09,206217456.31,0.52944088,97673115.509556,184483516.85566
2018-04-16,219963925.92,219963925.92,175749330.18,208899101.73,0.12994763,24253051.670023,186637121.97001
2018-04-15,219283819.05,219283819.05,217632592.66,217632592.66,0.00137155,300000.00000409,218730633.22816
2018-04-14,176394818.06,176394818.06,175134722.39,175134722.39,0.43004574,75368933.491724,175257946.961
2018-04-13,193132964.32,196700999.26,193132964.32,196700999.26,0.355964,70000000.000635,196649099.34891
2018-04-12,166856412.36,172984746.51,153452642.25,172984746.51,0.3198146,49999999.999799,156340579.82281
2018-04-11,164774234.58,175562071.73,153640548.94,175562071.73,1.7761353,299085312.90017,168391063.95789
2018-04-10,174049558.87,174049558.87,147394705.31,148771125.78,6.38017999,947278991.33854,148472142.2943
2018-04-09,171475912.78,171475912.78,156303973.9,170642873.13,0.20093372,33408462.929656,166266084.80476
2018-04-08,174181130.96,174181130.96,168008431.78,168008431.78,0.22001611,36999999.999333,168169503.58468
2018-04-07,154052183.24,154052183.24,154052183.24,154052183.24,0.64913069,100000000.00259,154052183.24
2018-04-06,162957700.03,162957700.03,148913002.0,148913002.0,1.4659206,231604581.21962,157992582.42201
2018-04-05,161413882.3,178932360.7,152364463.66,165328880.48,0.84268024,135763865.00032,161109586.47888
2018-04-04,183795149.28,183795149.28,158554002.72,158554002.72,0.92189077,161000000.00256,174641080.31211
2018-04-03,163524265.0,178331406.75,163524265.0,178331406.75,1.33795847,224894310.72611,168087661.73894
2018-04-02,181995544.75,181995544.75,181995544.75,181995544.75,0.01648392,3000000.0000154,181995544.75
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,175164172.62,175164172.62,154593571.29,157006082.42,0.08283485,13000000.000017,156938776.37271
2018-03-30,184167876.91,187182605.1,156903301.4,174721857.56,0.69103762,110936498.07895,160536119.69627
2018-03-29,176843310.36,176843310.36,169300298.19,169300298.19,0.08462753,14463157.310009,170903691.86019
2018-03-28,176896858.79,200902543.52,173638109.07,173638109.07,0.65076017,125718798.1704,193187604.22968
2018-03-27,201216915.19,201216915.19,173733681.93,173733681.93,0.52096565,97707211.020095,187550198.40578
2018-03-26,201977684.7,205535481.59,180785011.91,195016421.01,1.18562708,230038903.10003,194022983.26387
