Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,98775.87,145918.51,85514.6,98316.62,13.72435679,1351180.5281711,98451.282551588
2018-04-17,95815.98,289905.49,77818.81,96289.86,11.1365742,1104779.3307318,99202.798894099
2018-04-16,97985.8,450000.45,84902.62,95815.98,19.86684797,1958550.8208023,98583.873182087
2018-04-15,95543.36,119999.9,78485.91,109016.96,7.79301316,766072.99950651,98302.541491731
2018-04-14,93629.49,450004.5,78015.03,96419.0,6.99101219,678861.03015598,97104.82712747
2018-04-13,92085.88,1000000.0,75274.66,94111.26,25.73488308,2440959.5904528,94850.230438769
2018-04-12,85527.96,1000000.0,10000.0,91541.97,28.04386999,2397161.3124211,85478.976805836
2018-04-11,80486.97,1000000.0,73450.58,88073.29,20.95238048,1726526.9487268,82402.424410672
2018-04-10,81057.92,1000000.0,73171.56,80558.11,20.65280596,1707264.9206661,82665.034667573
2018-04-09,88453.83,1000000.0,72884.94,81405.91,21.38942291,1805766.7227896,84423.349352983
2018-04-08,83000.0,208861.29,75156.26,81288.0,7.18131036,595153.29018707,82875.305529486
2018-04-07,79426.86,168821.49,65966.76,82047.14,20.49831139,1711751.1213979,83506.933270268
2018-04-06,84949.74,236158.34,65000.07,76865.83,27.88015924,2278532.6088353,81725.953902238
2018-04-05,88885.85,115000.03,72323.79,81623.99,42.52582342,3557247.551226,83649.116352042
2018-04-04,88322.61,1000000.0,65000.01,77868.0,15.39455238,1316585.4990506,85522.817848283
2018-04-03,79278.98,899982.0,64999.97,90995.0,10.78099041,949222.7879923,88045.972762562
2018-04-02,80890.81,247055.92,68534.46,82525.51,12.28646244,1027889.2726916,83660.311315093
2018-04-01,80788.85,118542.68,67127.97,89546.83,9.28819645,725111.39015659,78068.050569342
2018-03-31,81479.34,750656.82,71754.54,78337.98,9.6865724,814548.32798784,84090.459901775
2018-03-30,78205.02,1000000.0,66337.22,80114.1,11.89512382,979375.14096246,82334.16951203
2018-03-29,99800.0,1000000.0,77065.28,93999.1,28.1180753,2621161.686587,93219.8117624
2018-03-28,100466.97,1000000.0,82627.91,95879.9,13.14160205,1277957.0415218,97245.148396639
2018-03-27,97359.98,1000000.0,73272.42,95927.98,13.22976587,1290787.5641169,97566.92422229
2018-03-26,98544.58,1000000.0,82984.54,96500.99,5.35574529,538509.81065476,100548.06222026
2018-03-25,108864.97,208859.83,89527.65,100494.0,4.05200974,421493.8996879,104020.94929019
2018-03-24,101564.09,129999.96,10000.0,109499.84,8.79827239,943951.77781163,107288.31024651
2018-03-23,103032.32,1000000.0,89465.21,106800.0,16.54156443,1690891.8704596,102220.79523464
2018-03-22,1000000.0,1000000.0,91252.23,108999.9,9.6662763,1029996.6509628,106555.68069814
2018-03-21,118257.13,162965.45,95134.9,117088.71,18.20887032,1997624.7004993,109706.13033062
2018-03-20,101093.98,1000000.0,79457.39,107219.98,18.68585807,1965960.6466685,105211.1516262
2018-03-19,96891.03,1000000.0,79198.26,104567.73,35.96021766,3668920.2092962,102027.19694262
2018-03-18,95360.7,208861.29,78460.02,98269.93,4.03284761,379181.85092475,94023.352130767
2018-03-17,119999.0,208859.83,79283.53,86386.8,8.44723467,835728.27853689,98935.13216875
2018-03-16,111000.0,1000000.0,86742.56,106999.08,10.90927105,1117151.5272182,102403.86567517
2018-03-15,93829.65,125000.0,77442.03,107999.14,34.57670503,3318633.2291117,95978.874396284
2018-03-14,124033.57,208860.06,87673.6,99775.05,12.95594862,1357250.4722762,104758.86498817
2018-03-13,109062.68,400000.0,96134.0,115000.0,7.41524102,846518.14010033,114159.22123329
2018-03-12,112728.2,1000000.0,86206.9,107587.95,12.21331323,1431783.1433697,117231.34553306
2018-03-11,91985.31,1000000.0,88374.41,127000.25,4.39542454,482301.12212559,109727.9950404
2018-03-10,101805.91,1000000.0,83653.34,83653.34,11.0797496,1233119.5393355,111294.89238055
2018-03-09,126579.11,144000.09,82077.91,105786.01,23.26586412,2476533.4583923,106444.93776887
2018-03-08,119838.86,165343.64,103410.48,124499.98,10.78294235,1293332.2698277,119942.42645911
2018-03-07,126039.97,156749.55,115098.8,120189.98,8.37442703,1075313.3429835,128404.40774412
2018-03-06,133500.0,201005.03,115665.77,125481.6,16.17564457,2159438.1393806,133499.3563957
2018-03-05,127417.93,206585.96,123232.13,133486.02,12.85326004,1764058.9217246,137246.03067508
2018-03-04,141999.96,203050.84,107977.03,127417.99,2.8229357,369026.97892674,130724.54286746
2018-03-03,128150.75,200000.0,117006.01,133500.22,6.21173954,830993.55701646,133777.91384609
2018-03-02,124575.83,1000000.0,105242.21,127799.97,24.69774257,3177963.8512561,128674.26414576
2018-03-01,121454.98,155514.22,112999.97,127916.02,18.53100621,2368133.4931366,127793.03327084
2018-02-28,124499.97,162078.06,109657.86,122488.0,20.01423004,2528179.9574115,126319.12156294
2018-02-27,115192.99,379996.96,101333.03,124529.75,17.58215425,2186162.7151638,124339.86666701
2018-02-26,108703.14,143412.35,98175.53,108358.41,82.32247855,8857954.0222202,107600.67211582
2018-02-25,123984.65,137000.0,97140.82,109892.17,2.80930774,316907.13974658,112806.13199983
2018-02-24,119000.05,900000.9,56262.58,112770.23,6.0333709,724392.52056297,120064.31107409
2018-02-23,116712.98,144998.99,92697.2,138628.96,14.50320622,1737798.9382954,119821.70783029
2018-02-22,129230.69,1000000.0,109176.25,112944.32,25.22380476,3367836.9513018,133518.19772418
2018-02-21,138062.75,161854.1,117037.36,121859.99,18.59802232,2422668.087944,130264.82312255
2018-02-20,132842.92,152000.0,125157.87,139000.0,11.08098478,1549218.1423693,139808.70591624
2018-02-19,123599.98,150000.04,117368.66,130058.99,20.8331453,2693410.6031597,129284.87582524
2018-02-18,135999.92,150000.0,110176.5,127903.94,4.79592166,601364.20957043,125390.74909961
2018-02-17,127501.55,150043.14,109337.42,126726.01,6.37472483,815688.41803418,127956.64750822
2018-02-16,119286.29,899999.28,97988.85,120357.96,16.95187246,2001561.0172595,118073.15221268
2018-02-15,111507.09,382999.91,107704.98,116712.07,9.27353181,1092332.043929,117790.29460502
2018-02-14,103268.28,144119.8,92150.02,111200.0,13.74601422,1497623.8610034,108949.68076087
2018-02-13,115000.03,1000000.0,94020.31,102704.89,20.05451245,2077366.3084957,103585.97914933
2018-02-12,92084.08,1000000.0,92084.08,105182.68,12.38256467,1282635.8593743,103584.02266066
2018-02-11,112126.29,208860.32,79613.31,115054.28,9.394108,914886.41857728,97389.386898392
2018-02-10,96000.04,132081.47,93965.62,93965.62,7.70972027,824196.5129604,106903.55604308
2018-02-09,96200.0,138578.46,87622.26,100973.36,14.85190248,1538822.7497264,103611.15364167
2018-02-08,86845.19,383002.36,86845.19,98970.12,14.1783648,1457765.6523513,102816.20433065
2018-02-07,87000.0,150589.98,85031.94,150589.98,25.51165579,2472299.6808203,96908.632711694
2018-02-06,81054.38,208861.29,42796.49,87406.98,21.25784173,1801111.890517,84726.940457704
2018-02-05,109696.23,1000000.0,77480.77,120000.0,44.75311632,4190262.4986899,93630.630518065
2018-02-04,105880.85,1000000.0,84463.2,85000.01,4.82809735,532826.32110806,110359.48169273
2018-02-03,102653.93,150589.98,80000.0,105800.0,5.88328198,628172.48003509,106772.45832692
2018-02-02,118200.0,130987.78,80599.48,98656.53,21.51986923,2086666.9946227,96964.668898348
2018-02-01,118520.86,400000.0,93999.32,101680.3,28.11429346,3207842.0184295,114100.04035825
2018-01-31,144195.45,187543.69,111172.87,126799.92,14.10463598,1752220.8524488,124230.13645538
2018-01-30,148000.0,198988.18,100000.0,100000.0,10.75799846,1471980.5287611,136826.61642258
2018-01-29,151302.76,159146.97,114071.26,132000.05,21.49970478,2910850.0547016,135390.23370262
2018-01-28,128708.91,185181.44,100000.0,149999.03,10.10525492,1426109.9348653,141125.57735113
2018-01-27,142000.03,206000.8,100000.0,136972.88,9.01878779,1280768.9790548,142011.21135979
2018-01-26,119999.98,900007.35,118999.98,132861.64,7.98360712,1123654.1916511,140745.1763046
2018-01-25,141100.89,201651.12,79211.94,163498.88,8.36022094,1198819.0784102,143395.62160067
2018-01-24,142599.78,382999.91,128493.74,128493.74,18.07077744,2553861.0386883,141325.46577854
2018-01-23,187542.55,382999.72,74625.75,148999.99,11.49946516,1607816.1995788,139816.60687764
2018-01-22,142299.96,200603.42,125590.01,148018.77,7.01046748,1061706.4161629,151445.87992053
2018-01-21,179900.12,184760.92,139252.64,146508.98,3.53960221,563533.69001684,159208.19814858
2018-01-20,132558.31,900009.0,132558.31,162847.35,5.6373088,920978.62117167,163372.03687896
2018-01-19,141060.68,219926.48,133755.36,163818.6,7.54118509,1195835.2698531,158573.91849974
