Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,172939.47,234723.19,157041.93,178022.58,2.55097527,450603.65004888,176639.75631127
2018-04-17,233492.11,236749.98,163121.95,191404.38,3.01856838,533569.26099296,176762.3567941
2018-04-16,171986.78,237783.02,162045.56,175484.22,3.2820065,573654.86218324,174787.85071975
2018-04-15,168686.16,243284.48,164071.0,171986.79,0.8258337,146751.2807927,177700.76565379
2018-04-14,182107.57,252327.48,158947.07,175604.42,1.02138497,182252.20040165,178436.34452703
2018-04-13,161119.16,254135.14,161119.16,171810.02,3.72140502,648525.85216301,174269.0861859
2018-04-12,153882.14,249775.65,139863.33,168559.87,5.43292905,882307.593118,162399.98442792
2018-04-11,156885.22,214093.34,133507.16,201478.45,6.0319667,912921.02133749,151347.15868665
2018-04-10,152836.26,212168.54,131567.87,197306.9,7.16499814,1084445.4650765,151353.2095734
2018-04-09,191413.84,222741.4,137509.83,148853.59,4.37807506,643485.31817616,146979.0511486
2018-04-08,200205.46,217597.73,145932.71,213651.37,0.92268104,147461.91043702,159818.94505714
2018-04-07,142700.0,214610.61,141487.2,159719.13,1.81486003,284967.4910855,157018.99120314
2018-04-06,153956.29,216127.87,101304.69,141599.97,4.49288371,652261.49945144,145176.58180194
2018-04-05,150784.15,206828.08,140030.46,152168.85,3.39141595,508081.48936988,149813.97058355
2018-04-04,217312.33,231547.71,128911.81,155684.43,5.25439012,812439.95862678,154621.1720242
2018-04-03,162000.01,224223.6,141167.74,163850.01,3.30437232,538054.98883691,162831.22382435
2018-04-02,196784.06,218456.45,144841.37,147300.05,2.22013534,335625.31919307,151173.36008582
2018-04-01,217876.79,217876.79,134955.45,168568.68,0.68312281,102759.33942251,150425.8647468
2018-03-31,165513.28,212220.01,142534.44,171952.78,0.52178335,85513.939196651,163887.82661741
2018-03-30,205508.07,207682.59,135005.74,207682.59,0.71638803,112009.38049785,156352.94813322
2018-03-29,169021.13,224391.76,146198.29,166768.44,1.76290973,295767.54049604,167772.36829706
2018-03-28,203793.62,226354.96,163292.99,168250.05,3.5916576,624372.62146481,173839.68378968
2018-03-27,207137.97,263985.98,164029.62,223502.81,2.58830047,468587.36934217,181040.56108376
2018-03-26,195365.28,230926.15,171000.0,179982.04,2.19704347,405228.50145194,184442.6416615
2018-03-25,183675.75,278213.65,178739.53,200014.59,0.1602274,30977.840225918,193336.72159642
2018-03-24,227183.59,303415.45,183900.12,200941.2,0.75776663,155855.28887009,205677.16061882
2018-03-23,181453.79,269000.8,177270.63,221919.28,3.17930574,602441.86178595,189488.49561916
2018-03-22,183886.52,282837.43,179064.25,230418.73,3.029201,594356.33982543,196208.94745031
2018-03-21,191800.03,318112.53,187953.27,250776.36,3.23642013,668339.5299446,206505.80057559
2018-03-20,186895.0,296846.64,176257.42,179533.55,2.70169526,535339.86777868,198149.61209899
2018-03-19,174698.43,293297.2,174698.43,190525.7,2.66787718,504953.32061819,189271.57681906
2018-03-18,176431.25,268839.92,165900.15,198489.49,0.33846981,65771.6898371,194320.69831309
2018-03-17,189521.11,287576.95,168283.07,175225.01,0.91725756,179467.15057206,195656.22394223
2018-03-16,198155.57,284010.22,184509.54,231905.03,2.65530417,521844.95342776,196529.2561672
2018-03-15,232376.33,298117.88,176558.03,190369.8,1.77648448,340130.11017633,191462.47209339
2018-03-14,255598.26,304267.91,181598.53,196709.73,2.63502536,532889.41212438,202233.12466502
2018-03-13,220000.0,321948.52,183607.12,205999.98,2.33585726,489172.36932646,209418.77643947
2018-03-12,259999.97,259999.97,192982.14,211291.27,2.45035465,513016.34348262,209364.11938681
2018-03-11,201656.27,317020.8,188653.37,224168.88,0.77181252,163684.54053556,212078.11002542
2018-03-10,244999.96,306202.12,199043.17,201559.43,0.64058743,138113.1004789,215603.82550575
2018-03-09,211020.51,302214.8,186602.98,208599.95,3.05888702,647917.2592826,211814.70745611
2018-03-08,302254.06,336532.64,197366.41,215071.52,2.66397633,587892.50083116,220682.32897218
2018-03-07,234526.53,347048.0,195694.72,259203.76,3.55282627,806837.8417768,227097.46564016
2018-03-06,239564.14,374925.01,221804.87,237429.5,2.2120155,526215.35888974,237889.54412378
2018-03-05,234650.57,377315.78,231751.74,286633.15,3.34591187,803808.03991044,240235.86727359
2018-03-04,233501.01,346570.07,228316.65,244306.8,0.58078406,140604.40004533,242094.10989229
2018-03-03,335152.73,394955.19,224297.26,283800.08,0.87342446,215295.18043844,246495.4787715
2018-03-02,238595.15,336471.87,220491.19,239699.8,2.38926856,564052.87736004,236077.6376516
2018-03-01,311532.95,329369.92,214200.0,246838.24,2.26171997,523227.21824922,231340.40694225
2018-02-28,235169.26,324356.47,214000.0,240917.03,1.2856551,298063.29044041,231837.67593689
2018-02-27,229555.76,348609.4,212528.92,348609.4,1.70334501,387873.79944031,227712.99834337
2018-02-26,290444.29,315149.22,202096.51,212739.2,1.88577709,405728.67043662,215151.97771154
2018-02-25,291081.27,334771.13,201027.55,242068.62,0.55717237,117558.48043049,210991.22418882
2018-02-24,308842.15,308843.64,192276.53,284478.83,0.98232208,216595.76929078,220493.63818716
2018-02-23,227452.48,318496.15,202819.64,214800.0,1.80132526,397651.2404829,220754.82385835
2018-02-22,220325.14,334434.45,203134.1,210060.5,1.93586542,420776.33143178,217358.25594311
2018-02-21,231426.71,332804.54,211733.32,242025.06,2.88034849,666878.77035365,231527.11301043
2018-02-20,243790.95,388885.65,224888.62,245735.75,1.83675656,447891.03031527,243848.88017782
2018-02-19,352323.57,376960.19,206034.76,232550.0,1.16396278,278677.37029967,239421.20408667
2018-02-18,240478.15,376955.93,213467.68,245181.62,0.14957986,37257.75033628,249082.66618434
2018-02-17,216049.8,363633.06,205025.03,217010.95,0.78180476,178300.59084666,228062.81052403
2018-02-16,213468.54,339423.43,200997.35,315240.84,3.10887732,669953.40078903,215496.89223151
2018-02-15,193673.65,295611.74,186814.83,253369.28,2.52825248,520612.55038568,205917.94312635
2018-02-14,174723.23,260331.43,174694.6,208715.98,4.51821763,886301.05709481,196161.65702377
2018-02-13,177964.78,293536.91,171828.28,189845.81,0.49506024,92278.930190726,186399.39695162
2018-02-12,190931.01,298270.78,172948.78,182494.56,0.83112797,161235.67068326,193996.20335633
2018-02-11,204936.93,211515.99,169361.67,172420.1,0.22515171,41223.099741936,183090.32492774
2018-02-10,213659.23,297374.78,171118.72,290474.85,1.14020719,213646.71254102,187375.34231916
2018-02-09,172321.72,271327.47,166503.91,216211.83,2.61198939,479934.75876947,183742.99704543
2018-02-08,258263.35,267973.36,157392.46,179999.95,3.27772907,582263.75222181,177642.42857992
2018-02-07,253469.9,275249.05,153240.3,180907.07,5.42278227,974730.04362415,179747.22109286
2018-02-06,224387.49,250000.0,128377.28,184565.86,7.43344606,1183190.5311057,159171.20021527
2018-02-05,192172.91,241324.0,148684.4,226052.56,5.44465598,965282.29965093,177289.86058931
2018-02-04,200414.99,273872.56,162146.28,195599.98,0.41647446,80620.820048343,193579.26545686
2018-02-03,212714.36,273828.56,161570.65,224736.27,0.94513542,189079.78816095,200055.76360788
2018-02-02,216394.95,286163.97,168759.85,227750.22,4.03835735,804184.69227775,199136.58514588
2018-02-01,332915.06,333834.08,183749.98,211850.0,3.27752342,698959.18119646,213258.33308506
2018-01-31,220468.66,322707.88,195956.09,230805.42,1.5600042,350816.2583347,224881.61143073
2018-01-30,269236.98,359809.72,212644.62,215209.96,2.29564355,525397.99975712,228867.41269441
2018-01-29,253303.46,329081.6,228966.38,269240.5,2.70138992,681951.35215932,252444.6201233
2018-01-28,239604.0,289999.65,230242.51,237461.1,0.39756635,100429.46996636,252610.58931763
2018-01-27,226462.61,371518.91,223246.18,235900.12,0.45006097,109119.28959207,242454.46031916
2018-01-26,257690.01,374720.3,212330.62,263118.33,1.79077714,431490.04970155,240951.28314043
2018-01-25,379449.04,379449.04,231374.46,244833.1,1.50619897,373688.95896463,248100.6602764
2018-01-24,270099.45,371712.39,222103.12,266226.86,1.94697708,471100.87000334,241965.28805739
2018-01-23,259416.83,355416.55,198973.95,252501.38,2.44117437,561179.75877247,229881.06284783
2018-01-22,291322.56,333805.73,223682.62,262549.98,1.62857989,395312.78006257,242734.65642669
2018-01-21,426673.67,426673.67,242565.67,285300.38,0.30263927,77624.060037924,256490.37561425
2018-01-20,278935.08,437336.0,263597.67,303159.68,0.36386634,103012.43010139,283105.13718139
2018-01-19,384849.94,407519.39,224667.94,233647.08,3.02509677,792413.75129283,261946.57941235
2018-01-18,277076.75,384222.79,230444.13,280000.0,2.9049989,761504.47825804,262135.89211963
2018-01-17,344354.9,362331.97,197033.86,336548.78,3.22905726,723854.32897164,224168.93560185
2018-01-16,394333.73,394333.73,225546.41,270627.0,2.16685246,563245.24039046,259937.05191652
2018-01-15,393344.61,397535.28,263769.66,320687.55,2.72942969,789983.12000078,289431.56986058
2018-01-14,410251.15,410251.15,263015.26,295132.38,0.43823097,125991.30024903,287499.76353573
2018-01-13,306441.14,413091.7,276699.93,314990.39,0.88790878,280210.3605551,315584.62633413
2018-01-12,370289.55,417606.28,261730.09,278500.05,3.04212538,894655.66103048,294089.01648573
2018-01-11,330341.54,428336.08,264253.77,391234.83,1.93550042,590905.86937846,305298.75543941
2018-01-10,426140.69,426140.69,272439.96,421423.04,4.98293699,1467213.3096816,294447.49404339
2018-01-09,437623.36,464345.49,299718.12,302673.62,1.85775713,596319.85980559,320989.13801805
2018-01-08,369999.69,448082.21,291487.2,337176.02,1.79731695,581117.06093531,323324.75412047
2018-01-07,349095.02,388191.22,313538.2,359997.12,0.53556895,177926.05081843,332218.75692837
2018-01-06,361968.49,491506.16,318649.86,352939.68,0.88806462,317406.28027604,357413.49573867
2018-01-05,300763.22,470256.29,283476.23,394528.51,2.54277874,849553.33013858,334104.30753349
2018-01-04,296994.98,434081.61,279912.58,307960.79,3.01010524,927123.36952493,308003.6396086
2018-01-03,308311.21,470416.06,281568.48,337965.72,3.04778711,940604.169286,308618.72412276
2018-01-02,320590.44,425518.64,266872.14,322999.06,2.47565998,766980.57254668,309808.52731912
2018-01-01,281957.8,385806.52,258484.4,311736.25,0.56355134,171025.12958642,303477.46060975
2017-12-31,365361.32,395779.81,258861.26,382429.94,0.57134575,180475.32993227,315877.60989256
2017-12-30,343692.69,424106.2,253611.28,264986.72,0.56537433,173846.11016973,307488.50972723
2017-12-29,327947.23,450640.86,274117.26,417529.56,2.33894997,754916.27084293,322758.62268355
2017-12-28,327162.88,427999.74,240661.96,240661.96,1.69498554,546785.50231878,322590.06900955
2017-12-27,365135.73,469629.09,295519.29,453339.98,2.65572519,907548.3105511,341732.76435696
2017-12-26,438019.6,493266.91,286859.89,324000.0,1.32714706,468342.66939724,352894.32762428
2017-12-25,267288.0,267288.0,267288.0,267288.0,0.00375,1002.33,267288.0
2017-12-24,388625.4,388625.4,248959.12,283710.23,0.38455886,121127.41068112,314977.55813277
2017-12-23,300655.0,485756.54,285255.32,449029.74,0.43618997,155062.58965417,355493.24908634
2017-12-22,398126.58,485001.33,226434.66,309000.11,2.86074396,840501.91893075,293805.36345893
2017-12-21,403908.03,484999.97,304595.09,325177.5,2.38884709,812625.93018394,340174.94614272
2017-12-20,379381.67,475565.45,313875.83,334066.84,2.61785327,921131.02942237,351865.03383453
2017-12-19,419527.39,458622.16,317532.32,389559.8,2.21279641,813619.33842574,367688.29466139
2017-12-18,356448.81,489999.12,343729.05,350364.89,2.40751404,906213.49881458,376410.47310967
2017-12-17,475000.71,478593.8,348576.59,454141.89,1.08229149,407385.889028,376410.50751309
2017-12-16,335507.42,472264.68,320460.14,362899.91,1.44943533,529175.44884123,365090.76182187
2017-12-15,381553.45,420102.17,306398.99,325185.01,3.31168611,1133677.2003586,342326.28416545
2017-12-14,298539.54,410756.9,292081.38,349708.09,2.41575941,789819.28153022,326944.51204899
2017-12-13,375731.36,456379.27,297850.66,391263.86,1.99142256,691305.58062146,347141.58336213
2017-12-12,300420.02,453169.82,300420.02,301838.65,2.88212352,1008383.9296614,349875.33416381
2017-12-11,286999.63,444550.83,276611.76,300429.13,3.30783084,1114779.7013461,337012.3066348
2017-12-10,294999.75,370658.66,234379.76,304037.98,0.62018607,198104.60043516,319427.68471914
2017-12-09,314106.36,399055.57,264314.42,322754.52,0.56932022,175334.28049459,307971.2863432
2017-12-08,334413.18,383918.43,265196.0,339733.62,1.51015601,498478.89004231,330084.36660945
2017-12-07,326208.4,397383.63,246728.5,355741.45,4.36602213,1357934.6919074,311023.31858942
2017-12-06,261292.4,359999.97,215442.37,330009.04,2.63558017,684521.14054499,259723.13357669
2017-12-05,227999.98,292852.35,194834.04,274999.98,3.00743844,710426.499781,236223.122752
2017-12-04,210361.05,275991.5,198126.34,249571.61,4.12842047,926026.199995,224305.205035
2017-12-03,238331.3,285884.18,202031.86,235357.19,1.59266221,356601.811045,223902.977547
2017-12-02,229798.29,269861.83,189999.92,214315.87,0.98485951,207291.310458,210478.051289
2017-12-01,160565.71,263429.25,160565.71,226421.59,2.3917759,497486.740756,207998.893523
2017-11-30,231800.01,244999.86,173205.0,225440.51,2.91038014,570171.231048,195909.53883
2017-11-29,186473.97,267204.64,168282.06,197816.43,5.15493382,1066361.49297,206862.305164
2017-11-28,214450.84,224966.82,164469.09,199664.56,3.26386477,619723.289612,189874.070552
2017-11-27,186361.5,213560.6,168929.14,200479.54,3.16165921,577639.870694,182701.497007
2017-11-26,156590.5,208436.61,156590.5,208436.61,0.89279163,152091.900094,170355.427832
2017-11-25,164635.61,189799.56,148500.0,189192.56,0.62036726,101366.359194,163397.338527
2017-11-24,146657.86,182260.55,144778.23,153001.6,3.70301964,586797.639752,158464.630707
2017-11-23,150773.72,182227.24,144945.57,156764.87,2.01215438,310595.011147,154359.433965
2017-11-22,156430.38,179715.67,145691.55,158697.41,1.9627735,301290.349309,153502.352314
2017-11-21,159140.89,183655.99,147557.34,148999.99,3.54922137,569536.778082,160468.091085
2017-11-20,145283.46,176176.62,141675.42,151417.88,1.18545716,181878.921167,153425.131927
