Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,172076.98,179648.68,151054.55,151054.55,0.50917292,84786.259770781,166517.61403725
2018-04-17,213389.29,213389.29,150642.68,173751.96,0.66078857,113814.69939729,172240.72050352
2018-04-16,182721.56,182721.56,147737.87,147737.87,0.29657887,48014.960008761,161896.09195274
2018-04-15,183449.89,183449.89,151168.09,155411.87,0.14192573,22801.450141959,160657.62101036
2018-04-14,180143.7,182047.56,149052.57,156432.38,0.13187087,20360.660069786,154398.46624039
2018-04-13,156133.58,201487.79,150613.02,183685.54,1.45744312,222673.96997028,152783.98649978
2018-04-12,154130.53,172302.58,129085.66,148495.37,0.74678067,113015.74032732,151337.25987754
2018-04-11,154194.16,177564.38,128709.07,157568.26,0.17011342,24814.160279474,145868.32878602
2018-04-10,153018.44,154831.06,126331.62,133946.46,1.18067449,154368.29985413,130745.85854238
2018-04-09,133263.24,155547.76,125796.93,130961.7,0.77873468,104333.32965842,133978.01887855
2018-04-08,157281.34,162212.68,132302.26,132948.87,0.18017208,25544.0903448,141776.07509887
2018-04-07,157828.28,160312.8,128528.66,160312.8,0.25119061,35624.209822094,141821.42326934
2018-04-06,127486.58,178772.87,123294.6,152264.94,0.7826013,100583.13920805,128524.11465206
2018-04-05,157266.42,179117.66,125276.23,156130.46,0.39421978,55399.9996506,140530.74569368
2018-04-04,170283.97,192610.84,128024.45,134529.04,0.26834172,41151.239662813,153353.86410586
2018-04-03,160933.01,173180.76,155505.3,155505.3,0.20124229,33450.000144611,166217.54872999
2018-04-02,183744.4,183744.4,131978.61,131978.61,0.13104424,19199.999958559,146515.40547344
2018-04-01,125089.15,144398.91,124918.4,144398.91,0.08811739,11149.420062159,126529.16821706
2018-03-31,132390.54,132390.54,132390.54,132390.54,0.04004999,5302.2398030946,132390.54
2018-03-30,133546.85,135969.18,131951.16,135969.18,1.92228688,256739.1198154,133559.21141978
2018-03-29,140395.84,140395.84,139956.57,139956.57,0.06129997,8588.6899889102,140109.2037877
2018-03-28,146656.4,175302.85,146656.4,175302.85,0.18241893,30223.699611377,165682.91246625
2018-03-27,177271.72,177271.72,163959.12,163959.12,0.07399854,13071.449792257,176644.69856104
2018-03-26,156350.92,176920.38,146781.58,176795.89,0.32262105,50778.420059845,157393.38787672
2018-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-24,163691.97,166698.84,163691.97,166698.84,0.21899996,36016.919512115,164460.84972853
2018-03-23,166471.38,227465.11,160251.45,165220.35,0.78872662,129047.61173563,163615.13414576
2018-03-22,168115.5,211164.92,167146.43,171449.96,1.13471661,192233.68970085,169411.18866749
2018-03-21,235759.44,235759.44,166618.71,186054.98,1.66825093,287716.19925065,172465.7808227
2018-03-20,197622.27,197622.27,156154.58,167000.0,1.31997881,221261.14954231,167624.77387217
2018-03-19,195712.46,195712.46,155389.77,161213.75,0.97064493,159556.30106142,164381.73850186
2018-03-18,143923.14,143923.14,143923.14,143923.14,0.06948153,9999.9999696042,143923.14
2018-03-17,149015.1,203967.68,149015.1,203967.68,0.0408312,6299.9998108702,154293.77071627
2018-03-16,193976.29,194349.48,159025.86,165041.93,0.94631008,159875.50030411,168946.20873542
2018-03-15,144258.57,214671.36,144258.57,187632.79,1.22235944,197754.54972805,161781.01404285
2018-03-14,236390.26,236390.26,161577.28,189615.25,0.52677434,91043.010879993,172831.14223064
