Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,37000.0,37000.0,29755.46,29755.46,0.1052642,3700.0000015772,35149.652033428
2018-04-17,29917.94,37000.0,29917.94,37000.0,0.16334898,5844.1001522896,35776.777744738
2018-04-16,30381.93,37000.0,30381.93,37000.0,0.08073329,2900.0000734396,35920.746862163
2018-04-15,30000.0,30931.7,30000.0,30931.7,0.05394076,1625.000069653,30125.64282841
2018-04-14,27035.91,27035.91,27035.91,27035.91,0.00377091,101.9499833781,27035.91
2018-04-13,29875.25,37963.85,29875.25,37963.85,0.2136813,7435.300176939,34796.213692724
2018-04-12,27737.4,27737.4,27737.4,27737.4,0.02523668,699.999887832,27737.4
2018-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-10,24054.75,24129.9,18000.0,18000.0,0.48772212,11594.990086155,23773.762990604
2018-04-09,26242.0,26242.0,24434.03,24434.03,0.09258431,2399.9998912583,25922.317628746
2018-04-08,25903.89,25903.89,25903.89,25903.89,0.46325089,12000.000096962,25903.89
2018-04-07,37095.43,37095.43,25952.27,25952.27,0.05818223,1540.0001157321,26468.564641336
2018-04-06,30514.21,30514.21,24742.55,24742.55,0.0588494,1504.1100609548,25558.630350603
2018-04-05,31565.77,35690.44,25705.16,25705.16,0.05492546,1830.0000474304,33317.882953195
2018-04-04,27079.72,37536.88,27079.72,27286.19,0.05235036,1700.0001641207,32473.514300966
2018-04-03,28299.65,28299.65,21802.21,21802.21,0.09533601,2308.1300950893,24210.475087947
2018-04-02,26011.05,26011.05,26011.05,26011.05,0.00384452,100.000001946,26011.05
2018-04-01,25309.28,25309.28,24840.99,24840.99,0.04420716,1099.9998894732,24882.844531818
2018-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30,36969.52,36969.52,36969.52,36969.52,0.02704931,1000.0000070312,36969.52
2018-03-29,39527.11,39527.11,32735.05,34485.02,0.10887378,3796.9996989757,34875.244516868
2018-03-28,40000.0,40000.0,40000.0,40000.0,0.0025,100.0,40000.0
2018-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-26,38860.74,38860.74,30435.89,30435.89,0.05803701,2199.9998659159,37906.843683296
2018-03-25,39020.08,44633.48,39020.08,44633.48,0.02763594,1151.9199721392,41681.953721827
2018-03-24,32837.9,32837.9,32788.28,32788.28,0.00502929,164.9999875416,32807.809361083
2018-03-23,32316.44,32316.44,32316.44,32316.44,0.00293968,94.9999923392,32316.44
2018-03-22,40000.0,45400.98,32182.54,32182.54,0.20197516,6690.000121429,33122.885613404
2018-03-21,47165.16,47165.16,32569.79,32569.79,0.02547849,973.0699924743,38191.823474401
2018-03-20,31801.64,31801.64,31801.64,31801.64,0.00550286,174.9999726904,31801.64
2018-03-19,43015.67,43015.67,30049.32,30928.82,0.03266931,1065.7199500417,32621.440429617
2018-03-18,30077.9,30077.9,30077.9,30077.9,0.00831175,249.999985325,30077.9
2018-03-17,30190.26,30190.26,30190.26,30190.26,0.00162304,48.9999995904,30190.26
2018-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-15,30034.41,30034.41,30034.41,30034.41,0.00481015,144.4700172615,30034.41
2018-03-14,33398.24,33398.24,28655.4,28655.4,0.03241957,1000.000092392,30845.569277816
2018-03-13,33333.06,33333.06,33333.06,33333.06,1.5000123,49999.999996638,33333.06
2018-03-12,35818.03,65613.78,35212.62,65613.78,0.04962102,1797.0000934434,36214.493241844
2018-03-11,64000.0,64000.0,27001.0,27001.0,0.02008033,599.99992783,29879.983438021
2018-03-10,29001.0,64289.66,29001.0,64289.66,0.28775249,8400.0000615736,29191.75455814
2018-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-08,50648.3,50648.3,20237.51,20237.51,0.0243859,1034.0599800298,42404.011335641
2018-03-07,35912.87,50000.0,35912.87,50000.0,0.12599984,6271.8199939408,49776.412366403
2018-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-05,40881.5,42782.58,40881.5,42782.58,0.2278374,9321.000044688,40910.754971256
2018-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-03,40609.07,40609.07,39056.47,39056.47,0.04712258,1849.9998413686,39259.307138289
2018-03-02,38599.61,42000.32,38599.61,42000.32,0.01320002,549.9999543079,41666.600073932
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
