Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,519948.34,825085.13,443051.4,507050.02,18.35663128,9513750.9930842,518273.25220885
2018-04-17,494623.55,772047.91,482918.57,482918.57,23.55995434,12202608.878618,517938.56229597
2018-04-16,495220.14,898122.92,474500.2,496604.75,15.42845054,7920779.0129881,513387.84749982
2018-04-15,480700.05,766855.89,430000.26,564499.74,10.37890437,5305354.5637784,511167.11115611
2018-04-14,560211.54,630000.19,472499.98,539985.96,12.92907484,6565018.9393385,507771.74860398
2018-04-13,466578.08,1424663.78,426248.37,488000.01,22.76742535,11555015.940264,507524.05081515
2018-04-12,433503.0,645253.95,415001.01,454561.59,17.49704449,8029277.3676499,458893.35037348
2018-04-11,428608.85,635344.98,349998.52,462662.02,20.90903768,9249297.8076394,442358.84736515
2018-04-10,425760.88,667690.46,413137.78,429675.24,20.96473936,9299586.2976931,443582.25199004
2018-04-09,455106.06,623915.24,350000.0,454037.35,16.90782934,7567092.9806347,447549.64274052
2018-04-08,477146.81,529999.99,373001.09,449157.6,12.19923996,5200131.1468156,426266.8136594
2018-04-07,425339.69,627939.54,349999.74,408288.59,21.19175525,8953705.838012,422508.93011857
2018-04-06,385000.0,620963.74,335591.66,377568.47,26.47024403,10662332.819939,402804.4776563
2018-04-05,463050.0,637371.28,300000.08,383596.08,23.33392082,10352615.184988,443672.33714597
2018-04-04,513669.08,669463.54,444210.0,491689.95,30.40270483,15010348.973861,493717.55104664
2018-04-03,507800.23,671930.87,449999.83,496525.02,22.14593727,11118461.751386,502054.24208655
2018-04-02,504999.96,643731.79,439499.74,458909.37,15.44817477,7458392.5483418,482800.89132768
2018-04-01,451055.16,710499.77,432577.92,452703.31,10.09152101,4900746.4847938,485630.11263986
2018-03-31,543999.2,625195.37,440000.11,486916.5,18.86505823,9335007.1029739,494830.54805148
2018-03-30,460265.87,710499.77,425599.83,518699.91,20.10159515,9940733.372874,494524.60357973
2018-03-29,517522.56,679999.84,470189.96,532132.84,15.99724308,8321571.8379199,520187.87214177
2018-03-28,593999.24,810000.26,501241.17,535599.97,30.38003242,16457998.200687,541737.34817519
2018-03-27,677667.82,766518.47,514659.56,571881.17,15.31166049,8472167.9642561,553314.77404356
2018-03-26,555943.83,810005.18,520500.0,580180.05,15.89920364,8949379.5864712,562882.25430083
2018-03-25,650635.69,785237.53,534935.4,542936.9,6.66553158,3863216.0045851,579581.08190151
2018-03-24,612300.89,808229.24,563008.91,569999.99,14.23883899,8407767.7640808,590481.27238363
2018-03-23,657008.93,1686192.78,535995.44,560999.75,16.36675337,9459510.7866996,577971.12065235
2018-03-22,578000.03,786236.4,522862.15,564999.97,9.7172878,5794325.334151,596290.39022092
2018-03-21,608696.58,963759.05,571869.26,609400.0,15.1028605,9204227.3554983,609436.03071076
2018-03-20,644999.0,1660302.64,422000.04,669999.69,12.73009651,7400358.8883452,581327.79139042
2018-03-19,594522.54,758527.49,522152.31,588037.67,22.65865489,12811999.398846,565435.12671181
2018-03-18,532000.0,705410.44,469999.91,634500.05,9.22543525,4977604.9115368,539552.31126215
2018-03-17,608084.3,760502.54,462000.46,530000.0,13.44857523,7639086.917621,568022.02366987
2018-03-16,618400.89,1605136.44,525072.2,573352.87,14.70808911,8396311.4905787,570863.51787671
2018-03-15,629128.66,1598772.14,461999.75,554000.0,10.93228689,6279756.0425096,574422.90946955
2018-03-14,643165.99,844938.56,520057.76,597201.04,10.7430156,6579665.9769182,612459.87364276
2018-03-13,607300.23,1005999.78,575392.2,724000.25,22.13870118,13865369.920284,626295.54496224
2018-03-12,668000.89,931270.38,589026.07,589026.07,12.62494637,8202930.3006623,649739.81356107
2018-03-11,670505.53,797149.88,562261.04,757997.65,5.82747833,3678683.0423888,631264.98874322
2018-03-10,598596.5,879739.6,559998.6,644246.88,7.78862658,4984913.7913976,640024.75150087
2018-03-09,728000.73,847113.76,547857.73,674372.5,14.10449289,8744416.2084819,619973.81094655
2018-03-08,707000.01,1912646.42,584973.21,636340.18,16.10468619,10853535.323014,673936.46761981
2018-03-07,652685.74,1185266.66,619999.66,741986.55,9.8917028,6880065.1206456,695539.00473491
2018-03-06,729639.41,959540.03,619999.7,734899.92,13.32742725,9601527.944695,720433.71646955
2018-03-05,681096.65,1029134.81,619999.96,755084.55,16.89479572,12355407.490286,731314.4056344
2018-03-04,710031.27,2171052.92,622490.58,736632.51,6.41701552,4593253.2931487,715792.76672042
2018-03-03,730253.76,2218022.77,559999.37,725123.01,14.78883168,10646608.529498,719908.69595845
2018-03-02,684499.99,988616.78,622499.63,733889.3,9.04953976,6459084.5519122,713747.29800758
2018-03-01,705649.07,2000000.0,300003.0,784559.86,10.8223997,7585882.7357727,700942.76186941
2018-02-28,680106.01,974279.03,614002.25,614002.25,14.17062925,9891992.9692953,698063.07079096
2018-02-27,697729.88,1041036.83,560001.34,749001.95,21.17641817,14677666.604373,693113.74976373
2018-02-26,646999.62,1586582.05,561555.79,698994.15,16.93939478,11462576.522128,676681.58579441
2018-02-25,683729.52,1530690.34,556207.27,753814.84,6.17734954,4109893.5162345,665316.65233152
2018-02-24,832094.9,954699.51,596165.13,697600.0,6.82931001,4710304.3019569,689718.91670749
2018-02-23,708000.01,1006001.01,599999.18,703132.72,11.40720329,7818391.3012966,685390.72220712
2018-02-22,643096.55,888662.7,608479.77,677999.71,12.77409878,8871924.7490975,694524.51416674
2018-02-21,679393.98,973425.48,637091.12,713247.43,9.54347093,6831003.5390548,715777.68603889
2018-02-20,786002.86,2000000.0,704217.64,714000.33,18.14175194,13505945.086586,744467.52062613
2018-02-19,810005.18,6820305.41,661200.74,756750.21,17.8344864,12828740.970796,719322.14267721
2018-02-18,707460.57,2000000.0,647900.76,647900.76,9.14223222,6576160.4825326,719316.71874908
2018-02-17,701373.02,2000000.0,650000.98,754791.94,12.21230357,8402936.5872723,688071.3813825
2018-02-16,689899.73,872998.82,604421.82,657904.55,14.4974779,9228398.4804103,636551.99504807
2018-02-15,621023.06,2000000.0,574739.99,688803.43,18.29445237,11282135.856691,616697.10732591
2018-02-14,539999.96,896649.36,526069.42,609839.76,14.96916614,8578428.0960819,573073.21034797
2018-02-13,560200.07,753640.08,400000.0,540001.01,14.84780508,8423389.4996268,567315.46880105
2018-02-12,630999.23,763991.26,510000.0,589792.0,14.81825102,8302053.5650983,560258.66709189
2018-02-11,610797.11,1006002.48,498922.32,520000.01,8.44587968,4623697.7393912,547450.10757615
2018-02-10,567497.6,900001.64,400000.0,588978.72,10.59755424,6079139.7384577,573636.10516022
2018-02-09,518903.66,2000000.0,505189.05,556735.28,18.51092934,10388875.182069,561229.26036024
2018-02-08,583167.91,2000000.0,515507.78,598899.94,29.56289165,16643972.506884,563002.18205764
2018-02-07,559249.99,2000000.0,459495.47,575049.74,22.13552599,12415875.660259,560902.67138302
2018-02-06,590346.65,2000000.0,400000.0,540275.46,40.55045936,18478721.257615,455696.96494839
2018-02-05,675000.11,2000000.0,450203.98,523404.91,23.43992417,12938016.132869,551964.93124444
2018-02-04,659999.97,2000000.0,560889.66,680000.0,11.81458668,7488783.1496823,633859.08898188
2018-02-03,649605.85,2000000.0,400000.0,615000.03,17.51858187,10709013.001321,611294.51463535
2018-02-02,547500.01,2000000.0,482183.33,657598.82,24.98238735,14224132.663316,569366.42859778
2018-02-01,709990.05,2000000.0,400000.0,548871.74,21.48576374,13337639.52478,620766.36819518
2018-01-31,708207.77,2000000.0,620897.86,790201.5,19.45059245,13535316.590468,695881.9699329
2018-01-30,793965.38,2000000.0,678999.59,710151.62,14.71514458,10959540.00186,744779.63449678
2018-01-29,752349.97,2000000.0,600000.24,735949.91,13.7961303,10568959.908212,766081.47925453
2018-01-28,789330.77,2000000.0,599998.59,756169.97,10.45154082,8112229.9111525,776175.49898757
2018-01-27,745037.12,1045988.63,706663.84,745453.64,7.52946682,5810886.1763233,771752.67721325
2018-01-26,884599.13,1185677.02,674657.61,739500.43,11.01392118,8590056.4670322,779927.17821794
2018-01-25,755000.0,1098234.92,700010.5,750000.02,18.50916294,14474854.499805,782037.22916738
2018-01-24,805000.04,1344510.7,703187.9,809800.0,12.00669454,9284733.3981638,773296.37788585
2018-01-23,899895.61,1080000.25,647865.02,749356.07,12.23141157,9440953.0116543,771861.28171912
2018-01-22,971026.77,1131999.99,720951.94,950661.44,14.33635424,11891928.817282,829494.62730922
2018-01-21,1057007.96,1338688.09,750009.42,783899.99,12.39362723,10740406.944223,866607.22844919
2018-01-20,832488.12,1402098.24,807337.08,859075.58,14.38563257,12830744.236539,891913.80178138
2018-01-19,842157.89,1329044.95,756580.74,867166.56,15.59258575,13133502.689209,842291.51596677
2018-01-18,848557.88,1369262.79,655021.83,881577.67,18.29309687,15051796.167778,822812.90449306
2018-01-17,842728.28,1086895.48,613316.98,729207.29,22.78983751,17289833.044147,758664.16496214
2018-01-16,956500.0,1500037.5,649000.12,809467.27,16.1255427,14694000.749155,911225.19238716
2018-01-15,1015999.97,1792960.27,873757.35,1006452.62,13.86682345,13573677.242985,978859.88755307
2018-01-14,957999.39,1542303.17,844849.44,1045399.61,7.46376685,7331064.2706931,982220.42810637
2018-01-13,1068752.87,1590204.34,749994.64,750000.0,14.81536055,14584154.088469,984394.1387217
2018-01-12,903310.1,2000000.0,850800.58,1041523.46,13.27161498,13081121.934367,985646.58137538
2018-01-11,1089999.94,2000000.0,812711.72,1005793.88,15.22898265,15162274.288298,995619.64425105
