Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-07-25,2289.55616,2314.8006,2222.5,2226.85317,269.7397427,615244.150375,2280.88061558
2017-07-24,2287.23511,2320.0,2229.99,2289.55616,556.32677537,1269817.96153,2282.50376891
2017-07-23,2315.0,2342.9,2236.92239,2287.0,339.97852814,780247.874205,2294.99162336
2017-07-22,2229.75076,2350.0,2229.75076,2317.88396,301.46440761,693004.36747,2298.79332344
2017-07-21,2362.94041,2410.986,2180.0,2229.75076,454.85485539,1026729.18209,2257.2677194
2017-07-20,1970.00001,2410.0,1970.0,2359.87131,476.54101545,1041853.86292,2186.28371775
2017-07-19,2002.26021,2073.9102,1944.34174,1970.0,329.33030994,662561.526353,2011.84496645
2017-07-18,1926.76777,2078.68721,1880.14671,1996.2714,355.87412657,707178.863465,1987.16009585
2017-07-17,1667.64336,1938.07877,1662.82616,1921.96238,418.24875711,760258.730735,1817.71904354
2017-07-16,1765.61,1813.0,1590.17483,1659.67245,458.73556531,766005.458152,1669.81920757
2017-07-15,1921.96238,1940.48901,1761.0,1761.0,272.88878909,496264.342071,1818.55892184
2017-07-14,2053.88,2064.33399,1877.0,1929.20426,256.41476438,502737.363516,1960.64124752
2017-07-13,2084.82076,2115.0,2035.0,2053.88,102.61735153,213009.399982,2075.76396005
2017-07-12,2039.56384,2119.99999,1983.14687,2078.585,179.61780533,372323.193515,2072.86350499
2017-07-11,2072.40607,2117.36418,2010.0,2049.55689,223.91740339,462970.244677,2067.59384339
2017-07-10,2215.649,2221.72055,2007.55,2066.20745,148.74196871,318229.680064,2139.47470794
2017-07-09,2237.48661,2254.80165,2207.36925,2215.75358,36.72495137,82219.9934904,2238.80469336
2017-07-08,2213.103,2248.668,2181.66586,2230.79423,63.71694782,140937.55066,2211.93191893
2017-07-07,2249.20511,2275.0,2179.61878,2213.169,110.72773772,245276.779096,2215.13402284
2017-07-06,2273.801,2290.0,2233.51617,2262.68,90.72576861,205627.419411,2266.47205707
2017-07-05,2274.23,2290.0,2225.81877,2266.72,106.86281289,241769.681023,2262.43044221
2017-07-04,2236.97999,2327.30261,2227.398,2269.20297,137.64350276,314418.005132,2284.29238451
2017-07-03,2172.75526,2272.913,2156.80021,2225.74,189.42509447,421728.795325,2226.36180547
2017-07-02,2118.05732,2195.31877,2074.62,2176.77707,91.43918423,194774.545777,2130.0993378
2017-07-01,2166.04584,2206.0,2100.0,2129.49589,98.97762916,213711.773677,2159.19269324
2017-06-30,2216.50613,2236.2486,2152.08499,2156.3394,149.15924381,327651.133932,2196.65322485
2017-06-29,2246.31339,2267.717,2191.71877,2216.50613,108.95820189,243751.864887,2237.11350462
2017-06-28,2225.51877,2270.0,2154.56757,2248.38819,186.94849882,413766.029497,2213.26211287
2017-06-27,2158.339,2225.47,2050.0,2225.47,206.82158926,438621.76606,2120.7735983
2017-06-26,2263.58,2277.61877,2059.66998,2160.38065,272.99309686,590081.581363,2161.52565083
2017-06-25,2285.05554,2365.91465,2223.59683,2263.58,176.00161757,399993.11086,2272.66724239
2017-06-24,2398.20948,2420.0,2250.1,2286.56137,173.06654555,403793.662921,2333.16994707
2017-06-23,2396.16497,2420.0,2375.47898,2398.20948,117.21481623,281031.811039,2397.57924875
2017-06-22,2356.67791,2402.0,2321.0,2381.51,126.25121906,299940.129091,2375.74045878
2017-06-21,2394.17066,2428.0,2319.06022,2348.4583,192.91342789,458196.276105,2375.13936234
2017-06-20,2215.34,2460.0,2205.41148,2407.58549,202.43517076,472146.966721,2332.33664362
2017-06-19,2175.71993,2255.12168,2158.20084,2199.85248,78.57516462,173788.565594,2211.74930317
2017-06-18,2324.0,2351.0,2136.67047,2175.71993,154.12531167,340890.194499,2211.77294505
2017-06-17,2208.88133,2336.03702,2159.37778,2324.0,220.65435714,497164.08459,2253.13513422
2017-06-16,2161.4811,2247.1387,2090.11877,2220.0,235.17308728,516124.917043,2194.65978447
2017-06-15,2132.87406,2178.27152,1885.15844,2161.48109,390.53314505,806268.542612,2064.53294127
2017-06-14,2322.49239,2399.3188,2107.86721,2145.47675,204.55828786,463246.054015,2264.61640279
2017-06-13,2355.13921,2450.0,2200.61877,2305.34,269.7323729,623576.590289,2311.83444384
2017-06-12,2530.0,2550.0,2233.834,2342.67615,166.41809741,397617.325521,2389.26734357
2017-06-11,2489.67991,2530.0,2430.0,2530.0,91.83735626,229009.250449,2493.63940531
2017-06-10,2449.995,2576.9,2428.40701,2480.0,154.61436752,385553.903032,2493.64861246
2017-06-09,2390.11241,2462.02012,2363.08409,2450.0,107.22980817,260375.667774,2428.20230883
2017-06-08,2359.91203,2422.55359,2329.4828,2382.96352,159.34928705,377249.358702,2367.43675285
2017-06-07,2447.77865,2482.255,2320.0,2354.02658,279.85560386,679406.134358,2427.70244721
2017-06-06,2299.0,2534.51622,2299.0,2438.0556,127.08611528,309014.745514,2431.53821197
2017-06-05,2229.93746,2299.999,2211.69071,2299.0,142.03544199,322119.774192,2267.88306974
2017-06-04,2234.599,2250.0,2154.41877,2223.71137,64.97411261,144407.89122,2222.54503246
2017-06-03,2183.0,2240.0,2141.29458,2221.29842,91.58969979,200848.427011,2192.91500542
2017-06-02,2123.87684,2183.0,2101.59958,2183.0,129.58914956,277302.294136,2139.85734977
2017-06-01,2027.54,2170.9,2025.0,2128.34546,155.08394789,327767.16727,2113.48222514
2017-05-31,1933.77703,2070.0,1885.949,2027.54,190.62428106,382039.131241,2004.14726349
2017-05-30,2014.97943,2096.46701,1884.11,1931.10807,199.92159241,406282.919366,2032.21130078
2017-05-29,1926.99999,2082.091,1885.56044,2028.97422,196.66935181,392203.55585,1994.22814099
2017-05-28,1795.52683,2030.0,1795.52683,1928.40501,200.06634495,386858.469746,1933.65090887
2017-05-27,1944.59,2021.41777,1582.11,1795.52683,643.93650099,1139600.84513,1769.74102785
2017-05-26,2006.81484,2299.773,1834.781,1930.00001,457.08640951,944397.076916,2066.12372905
2017-05-25,2152.0623,2460.04944,1964.0,1993.96939,388.50683537,871693.016463,2243.70059186
2017-05-24,1989.99999,2222.221,1987.691,2152.0623,273.96950568,574330.786107,2096.33106678
2017-05-23,1917.42537,2002.16533,1885.599,1989.91999,155.37230056,303881.196135,1955.82607093
2017-05-22,1808.75953,2000.0,1802.81074,1911.11898,543.73946973,1042479.31165,1917.24046108
2017-05-21,1800.02901,1858.142,1780.0,1820.94059,131.41155135,238639.914663,1815.9736508
2017-05-20,1743.3,1816.0629,1725.008,1812.989,91.00591589,161294.052635,1772.34689699
2017-05-19,1665.29322,1764.327,1646.008,1743.3,129.77425119,221180.022902,1704.34443562
2017-05-18,1596.37612,1686.99498,1595.52,1667.265,215.67161212,353648.381125,1639.75396506
2017-05-17,1560.47269,1630.0,1546.77297,1596.37612,216.63596024,348555.918201,1608.94764569
2017-05-16,1544.20176,1596.63,1467.85102,1560.47269,169.25508891,259761.283398,1534.73248616
2017-05-15,1604.70493,1615.993,1519.0,1534.31745,240.96528208,376557.178301,1562.70303776
2017-05-14,1600.01388,1647.85276,1579.66794,1604.70492,84.29352266,136040.367097,1613.88874025
