Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,6383.2,6659.8,6365.9,6597.2,5377.57428359,35134379.051345,6533.4995294365
2018-04-17,6501.9,6601.0,6326.4,6390.5,6170.48433966,40086827.183713,6496.5446757656
2018-04-16,6778.9,6823.0,6375.8,6503.7,7000.69350635,45830886.27098,6546.6208782614
2018-04-15,6502.8,6833.0,6502.7,6780.0,5509.28027197,36942143.292499,6705.4390898305
2018-04-14,6394.7,6625.0,6351.0,6502.5,4971.91649898,32337869.663134,6504.1055435602
2018-04-13,6423.0,6687.8,6287.1,6388.0,12052.47766462,78570290.521039,6519.0156503407
2018-04-12,5607.3,6499.9,5475.0,6423.1,14005.12830207,85490671.880467,6104.2405350783
2018-04-11,5526.9,5637.6,5505.0,5603.8,4258.38252343,23738606.025893,5574.5593298116
2018-04-10,5505.4,5569.9,5405.3,5526.8,4888.08127039,26908152.074063,5504.8495689017
2018-04-09,5721.3,5850.9,5375.0,5500.0,8943.70306955,49812558.599641,5569.5675731046
2018-04-08,5608.2,5789.8,5589.0,5714.6,3610.09258215,20551620.203036,5692.8235870329
2018-04-07,5391.0,5729.5,5381.4,5608.2,5811.15885687,32601331.795948,5610.1257251651
2018-04-06,5521.2,5600.7,5303.0,5394.1,7505.20383854,40608119.887353,5410.6618235772
2018-04-05,5526.8,5668.2,5338.8,5520.7,10103.43251297,55730628.193611,5516.0093485128
2018-04-04,6048.9,6055.4,5450.0,5528.2,11644.21799834,66338354.821726,5697.1069101578
2018-04-03,5733.7,6773.9003,5710.0,6049.0,9853.39934129,59159546.633734,6003.9733075498
2018-04-02,5524.0,5774.2,5379.0,5733.7,9120.98575208,51722286.684023,5670.6904374046
2018-04-01,5616.7,5704.4,5250.0,5523.9,11083.90470861,60485750.618399,5457.0796310991
2018-03-31,5526.0,5842.0,5503.9,5615.0,8518.99353188,48378845.247246,5678.9390749273
2018-03-30,5741.0,5915.0,5250.0,5528.0,19312.92780658,107510720.4305,5566.7748312027
2018-03-29,6445.1,6467.5,5611.0,5741.0,16930.88045159,101477045.4813,5993.6071116593
2018-03-28,6305.1,6562.1,6247.6,6440.7,6607.5433303,42383025.904365,6414.3394580571
2018-03-27,6551.9,6618.6,6227.0,6305.5,8927.51457719,57352976.53759,6424.293798873
2018-03-26,6865.6,6899.7,6325.0,6548.9,9666.38723961,63380320.34433,6556.7743949483
2018-03-25,6924.0,7074.7,6805.0,6868.1,5122.70770485,35512856.825748,6932.4386382861
2018-03-24,7245.0,7322.0,6880.0,6924.0,5394.70805963,38594126.976785,7154.07146229
2018-03-23,7078.7,7247.0,6719.0,7245.1,9796.57876144,67809736.840894,6921.7773359612
2018-03-22,7212.2,7364.7,6901.0,7089.3,9108.65607357,64459437.335807,7076.7231537971
2018-03-21,7295.9,7495.0,7154.1,7213.2,10153.29392343,74320488.467107,7319.8401452364
2018-03-20,6969.8,7428.2,6743.3,7295.5,12358.20790528,87501996.253428,7080.4761437978
2018-03-19,6683.2,7111.4,6535.2,6969.9,14713.84890881,100455995.38762,6827.3091568493
2018-03-18,6386.3,6770.0,5931.0,6680.5,15976.53553801,99835606.239568,6248.8895669557
2018-03-17,6727.0,6876.1,6271.9,6390.8,10512.01450144,68583272.169048,6524.2748818177
2018-03-16,6732.0,7025.2,6441.6,6727.0,13130.11368745,89220275.029042,6795.0877770633
2018-03-15,6624.1,6850.0,6220.0,6732.0,18580.547368,122309162.81271,6582.6458386988
2018-03-14,7406.3,7583.2,6415.0,6624.0,18073.86000437,124830585.74193,6906.6920797077
2018-03-13,7411.1,7698.4,7136.0,7406.3,11681.64854297,86606398.808439,7413.8849914774
2018-03-12,7748.6,8062.0,7103.6,7407.4,15003.03616154,114259838.44061,7615.7810466067
2018-03-11,7140.0,7911.4,6820.0,7743.3,15058.63691017,111512104.19478,7405.192439395
2018-03-10,7520.0,7771.9,7070.1,7139.7,11509.96250746,86395580.290246,7506.1565347628
2018-03-09,7549.0,7642.6,6800.7,7520.0,21332.58507955,153782241.16166,7208.7953985978
2018-03-08,8032.8,8255.7,7371.6,7549.1,14903.13173718,116399007.13632,7810.3722887939
2018-03-07,8622.9,8788.1,7620.0,8030.9,16714.4047778,136943090.09098,8193.1179668971
2018-03-06,9250.0,9254.0,8500.0,8625.0,11169.05946808,98711610.189665,8837.9518859016
2018-03-05,9285.4,9449.9,9062.8,9259.9,7634.95400227,71265981.220062,9334.1729627806
2018-03-04,9229.9,9295.0,8930.0,9283.4,6118.6835623,55721140.112774,9106.7203501252
2018-03-03,8940.3,9297.0,8925.6,9222.3,6204.72719794,56910087.16349,9172.0530730801
2018-03-02,8853.8,9079.0,8750.0,8940.9,7909.01557189,70531886.367799,8917.9096597661
2018-03-01,8429.9,8997.0,8350.2,8853.8,8406.22977331,73585438.940483,8753.6792265801
2018-02-28,8610.1,9035.1,8409.1,8430.0,9488.47234542,82399461.977386,8684.1652668314
2018-02-27,8362.6,8839.3,8217.0,8609.0,9450.73547844,81558587.699289,8629.8667321024
2018-02-26,7778.2,8500.0,7624.0,8362.6,13728.17493833,111703534.82936,8136.8088133458
