Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,10748.94,15727.85,8442.0,11189.0,21.1371848,220436.60952584,10428.85377649
2018-04-17,10351.33,31868.8,8584.0,10418.31,24.00229635,256992.86992437,10707.011786577
2018-04-16,12031.35,27019.48,8632.48,10621.94,22.74823302,243155.17040172,10688.96956471
2018-04-15,11539.22,26796.61,8850.92,11064.56,10.2698292,112045.25046481,10910.137674423
2018-04-14,12845.84,30792.54,9063.22,10373.61,5.52329561,57791.499911498,10463.227752443
2018-04-13,10514.02,31123.95,8794.72,9771.1,27.82685438,286167.7502228,10283.869901891
2018-04-12,9417.57,22444.95,7295.0,9591.57,28.98717849,269168.56015929,9285.7799268787
2018-04-11,10203.23,22132.12,7063.78,9442.53,28.52959095,261058.52890037,9150.4476652993
2018-04-10,9553.63,13199.99,8102.88,9212.24,21.72038946,200759.91026694,9242.9240569859
2018-04-09,10426.43,13862.17,7597.9,9072.19,33.31425763,314274.74065366,9433.6408196186
2018-04-08,10553.92,13691.69,8163.54,10426.43,11.94228595,112496.06014979,9419.9770982531
2018-04-07,9128.8,26799.38,7766.0,9708.78,6.40436832,59930.149669356,9357.6987885288
2018-04-06,9322.95,25802.79,8277.0,9347.95,19.03084945,174621.7201796,9175.7186476824
2018-04-05,9344.14,26805.05,8145.6,9988.15,24.80234542,228399.78948113,9208.7980234704
2018-04-04,9345.0,18234.6,7835.01,9163.37,26.75602301,262139.21959903,9797.3910211192
2018-04-03,9558.11,28972.74,8460.53,10084.0,30.62310545,294820.31012421,9627.3812140177
2018-04-02,9304.39,13786.5,7805.96,9503.03,16.68238398,155124.45998472,9298.6985655464
2018-04-01,9517.46,13680.26,7270.99,8670.8,4.67566676,42844.520198045,9163.2963590512
2018-03-31,8714.49,17611.31,8355.28,9674.41,11.18501557,104109.80030387,9307.970977091
2018-03-30,9567.3,13750.67,8273.0,9236.59,9.36944103,86890.119929636,9273.7784091306
2018-03-29,12167.93,32328.14,7502.49,11414.93,18.58254618,193731.84076362,10425.473392453
2018-03-28,10757.95,16950.0,9663.0,10896.96,19.43472442,207254.50016879,10664.133727335
2018-03-27,12052.37,19597.43,9251.45,10721.85,28.45729102,307137.17994989,10792.916997406
2018-03-26,11512.7,32863.93,9632.58,11035.42,33.23020343,383599.32956219,11543.694891012
2018-03-25,10771.72,32817.98,10179.18,11466.79,13.62945901,157145.76041881,11529.860451799
2018-03-24,11826.98,21876.33,10092.0,10376.76,9.11549295,109598.86962872,12023.361789636
2018-03-23,11801.67,20782.76,9538.0,13338.23,17.93581543,207823.09964085,11587.044952149
2018-03-22,12374.48,33707.26,10079.0,11846.58,12.64626051,152007.55059046,12019.960404126
2018-03-21,11600.0,29005.52,2918.68,13998.58,19.68950965,237738.94997739,12074.396681452
2018-03-20,11954.12,27538.73,9357.62,12306.57,18.17580718,209802.61918647,11542.960216773
2018-03-19,10539.78,20204.54,9450.0,11541.55,31.51284693,346628.07044466,10999.579670305
2018-03-18,11751.42,19744.12,9455.59,11181.25,13.65039395,144905.05950591,10615.448904748
2018-03-17,11384.66,26379.93,10157.99,10928.87,12.80384476,139761.95953879,10915.624342417
2018-03-16,11096.05,18950.0,9463.49,10919.51,19.05262205,207460.41025618,10888.811509079
2018-03-15,11028.9,29663.42,8430.85,10405.86,20.78046908,224064.78985213,10782.470260394
2018-03-14,12139.01,20202.02,9372.11,9614.21,21.54154829,255742.84111346,11872.073338024
2018-03-13,12346.29,37141.77,9729.1,13435.62,24.75969713,301943.26957883,12194.950042946
2018-03-12,12736.68,36506.34,10331.81,12422.9,18.06622745,227827.25003479,12610.670969649
2018-03-11,12360.88,35436.56,9306.0,12896.24,7.7492294,88691.650014806,11445.221897136
2018-03-10,13051.99,19677.96,10181.0,11743.56,8.17407545,99647.890117831,12190.723064323
2018-03-09,12387.53,18339.34,10048.0,11883.86,22.07379913,262138.500111,11875.549766815
2018-03-08,14192.89,19003.37,10720.0,12333.39,21.72848428,274503.56989098,12633.351059082
2018-03-07,14022.8,42061.17,11142.65,13371.74,29.03511934,401695.65040551,13834.820022665
2018-03-06,15530.55,21843.76,12375.01,14086.5,33.04597921,478696.89952727,14485.783474148
2018-03-05,15394.7,22139.63,12507.24,15616.22,18.73963085,278011.79981825,14835.500338484
2018-03-04,14308.71,27656.12,12200.22,15124.57,11.48177701,169729.66964614,14782.526215089
2018-03-03,14389.95,45564.73,11919.57,15179.81,6.58753648,96343.200738058,14625.072822072
2018-03-02,13726.96,42708.58,13010.9,14449.99,11.0643949,159198.07983155,14388.322296012
2018-03-01,13893.05,42668.49,12186.43,12975.0,15.3089939,209028.540239,13653.969790856
2018-02-28,14328.44,42198.99,11683.0,15025.89,28.7364052,396392.05078095,13794.07229339
2018-02-27,12323.0,20788.42,11442.0,14388.07,25.05574202,338781.86990141,13521.126998793
2018-02-26,11889.83,17326.74,11303.0,13624.98,23.0680989,297774.23146458,12908.485989913
2018-02-25,17133.79,20910.09,10098.56,13777.34,12.1392813,155979.39971983,12849.146161547
2018-02-24,13623.26,19931.83,10946.68,11703.94,5.64951073,75483.780581717,13361.118190445
2018-02-23,13280.18,18538.64,10380.56,12573.79,24.91939298,318001.85049619,12761.219775755
2018-02-22,13979.97,22060.93,11814.37,13404.55,23.59936386,331328.15122183,14039.706883092
2018-02-21,14867.08,20382.58,11299.31,14113.96,26.68796133,381705.43956846,14302.532698119
2018-02-20,14466.08,20837.12,12446.0,14949.69,23.20650552,337666.57916613,14550.513814978
2018-02-19,14107.83,35024.06,11796.15,16339.5,25.95000829,353502.1803759,13622.430344738
2018-02-18,14403.0,20447.35,11666.11,13682.79,9.72543819,137350.62939629,14122.821688129
2018-02-17,12422.5,40957.59,11204.33,20368.84,8.13386697,110368.35974393,13568.990020491
2018-02-16,13507.22,40426.19,10546.13,14569.53,20.23936049,260429.30071759,12867.466877042
2018-02-15,12510.34,19454.71,10546.13,12314.88,39.58472938,488490.80971893,12340.385228596
2018-02-14,11239.25,16855.0,10137.33,10786.36,21.12799341,243310.74985437,11516.036811106
2018-02-13,11798.25,34681.6,10003.14,11714.61,23.34005213,266766.43087178,11429.555914697
2018-02-12,14350.0,36529.59,9767.0,11778.69,26.63700005,300266.23029184,11272.52429809
2018-02-11,12137.71,15654.25,9009.02,11122.03,7.94031369,88590.210135592,11157.01640946
