Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,11482.22,46171.89,7844.98,9602.45,235.44056339,1997351.3697559,8483.4632613725
2018-04-17,14139.37,35703.7,8452.5,9793.22,158.69595063,1358538.349883,8560.6365158643
2018-04-16,12626.11,15227.75,8270.57,9734.77,212.47780659,1882793.9501185,8861.132276989
2018-04-15,10540.61,18864.37,8151.23,10952.32,30.55809253,262048.99050679,8575.4367766747
2018-04-14,10468.81,16886.36,9098.21,10474.59,6.99979361,71055.259770933,10151.050692326
2018-04-13,10610.88,15313.94,7335.04,9762.4,50.75439478,437068.97976747,8611.4509228607
2018-04-12,9050.3,14558.37,7257.05,9498.98,189.64471864,1412192.4804973,7446.5162574762
2018-04-11,8783.24,13000.0,7176.6,8445.26,62.50715838,466786.25976157,7467.7248471901
2018-04-10,9782.26,13687.61,7229.05,8805.85,103.66319595,776251.23985304,7488.2047841497
2018-04-09,8460.98,12932.37,7108.36,8000.0,131.19252052,993688.23045223,7574.2750159354
2018-04-08,9319.01,14310.16,7970.04,8530.0,5.45842256,48854.080226588,8950.2195349617
2018-04-07,12700.55,13035.51,7217.74,8315.36,35.45781351,267320.67017233,7539.1188488524
2018-04-06,8309.26,13099.98,7217.74,9033.03,117.54579776,871389.33953837,7413.1900599079
2018-04-05,9262.66,12836.08,7643.96,8932.5,115.92972396,932022.17015483,8039.5444612325
2018-04-04,9720.0,16562.27,7581.64,9100.0,142.50466295,1122408.8100384,7876.2953211731
2018-04-03,9605.84,17875.98,7478.44,8915.65,421.53166573,3204145.8701137,7601.1985115397
2018-04-02,61544.61,61544.61,7996.15,8643.11,10.8307839,97403.599467118,8993.2178839907
2018-04-01,9622.64,43895.61,6610.02,8603.97,4.24165465,37093.070169669,8744.9529088062
2018-03-31,9599.99,14211.33,8127.56,12778.98,9.25842483,84307.430356492,9106.0230983689
2018-03-30,9068.39,44727.27,8030.65,9598.79,5.47458614,51296.669635384,9369.9630115573
2018-03-29,11607.6,14500.0,8418.87,8905.06,211.47917668,1840950.7896527,8705.1161185404
2018-03-28,11082.44,15230.76,8418.87,11227.5,162.33105001,1386673.6200387,8542.2574421422
2018-03-27,10201.25,16604.36,8379.57,8379.57,263.56299843,2287663.9493593,8679.7614345964
2018-03-26,10178.14,15238.04,7349.6,10002.96,250.57656144,2325529.8897703,9280.715947278
2018-03-25,10609.02,15357.68,9814.81,11416.49,5.50664112,62133.7200468,11283.41555093
2018-03-24,10521.69,16589.53,10299.95,12100.01,5.49780474,67455.88998931,12269.604538431
2018-03-23,10844.59,18358.0,9284.15,11043.61,85.01841169,807470.30059093,9497.5933393719
2018-03-22,10386.57,17440.08,9586.43,10859.26,195.41531493,1906287.7704838,9755.0582008715
2018-03-21,10999.17,17868.63,8465.94,12215.68,89.20884259,871688.42010532,9771.3230527108
2018-03-20,10290.98,17605.04,9446.14,12375.99,84.72426082,824532.77972423,9731.9560152431
2018-03-19,11995.0,16589.71,8231.05,11939.11,65.37406012,565510.67056243,8650.383187527
2018-03-18,11997.68,29155.79,8636.02,9254.02,6.13912333,65837.739321248,10724.290062641
2018-03-17,11851.82,15853.36,9201.17,11376.01,6.68858348,72264.030192441,10804.085858915
2018-03-16,12552.88,32040.81,9054.13,11901.23,65.2404111,613872.91052212,9409.3967246954
2018-03-15,10080.01,31927.7,9225.77,11289.96,58.91688846,598556.40986002,10159.335048157
2018-03-14,10784.78,16875.44,9030.34,11402.67,11.89781128,134372.35083443,11293.871424933
2018-03-13,10819.17,17695.75,10245.38,11787.01,6.56534823,79299.010011667,12078.416442454
2018-03-12,13787.01,34671.54,10563.62,16472.01,6.23086297,75056.599999408,12045.939761601
2018-03-11,13424.24,18811.07,10013.89,11499.59,2.83228908,34880.300098985,12315.233054878
2018-03-10,10724.5,23599.27,10539.14,12414.33,6.05737087,76841.110176024,12685.554810023
2018-03-09,14001.97,17267.61,9620.45,12103.73,54.73915852,597760.66003194,10920.165311155
2018-03-08,11595.6,19255.46,10945.09,11075.39,68.83630436,818396.43019664,11889.023354836
2018-03-07,14720.68,20429.52,10626.73,17764.32,8.27834425,109765.53032194,13259.358031884
2018-03-06,14013.31,21991.07,12630.53,14740.48,49.95364863,643026.85049774,12872.470142482
2018-03-05,15706.95,30000.03,12726.54,13933.2,12.32694196,183987.04032271,14925.602872126
2018-03-04,14891.08,20573.06,12649.33,15684.04,2.84340973,40498.299903803,14242.864641179
2018-03-03,14445.62,21437.28,12340.68,15517.55,4.57649426,66217.850652241,14469.121316508
2018-03-02,14739.32,19911.13,12519.89,13432.69,8.65966289,120513.37020117,13916.635293083
2018-03-01,15080.21,20505.15,11880.51,14672.02,9.65274789,138225.26015802,14319.783520009
2018-02-28,13176.06,26000.03,11841.3,15380.74,9.77837695,134659.7593668,13771.176960692
2018-02-27,12550.75,20805.25,11402.25,13176.06,9.0152515,121948.46943243,13526.907089883
2018-02-26,13185.86,18181.68,10542.02,11701.65,7.19411514,94005.210065785,13066.959346134
2018-02-25,12809.96,17058.66,10605.4,11366.97,4.83553414,60006.720759706,12409.533057232
2018-02-24,17993.44,35769.73,10701.6,12712.36,7.26146395,92976.899559554,12804.153570101
2018-02-23,14167.72,18485.55,10968.95,13638.66,7.57175527,100056.00966199,13214.374487038
2018-02-22,15902.5,20316.28,11500.57,14167.72,8.30863177,110069.45060715,13247.602451775
2018-02-21,13780.09,23611.52,10850.34,12945.14,10.80365038,147884.2901509,13688.363187379
2018-02-20,14689.88,20790.28,12637.44,13149.04,9.17210115,131395.8401187,14325.598679066
2018-02-19,30000.03,30000.03,12235.0,13047.16,5.72394392,78578.240116875,13727.989165358
2018-02-18,14707.17,19965.34,11908.01,12901.92,6.35210951,88075.589483648,13865.565344079
2018-02-17,11882.68,20350.93,11709.77,12567.23,7.33309479,97778.170122226,13333.82056585
2018-02-16,13133.24,37591.45,11269.06,13190.64,9.31144545,119844.31994719,12870.646194592
2018-02-15,11467.07,37828.92,10543.05,12895.2,14.16736723,175809.99990617,12409.503971485
2018-02-14,10013.82,33083.02,10013.82,12290.62,7.8245929,92130.229989143,11774.443880543
2018-02-13,10390.56,32877.87,9599.17,10755.66,9.24952168,102842.61089707,11118.695047706
2018-02-12,10092.4,16031.88,9223.79,11784.89,7.87572215,88546.809766618,11243.008333733
2018-02-11,16037.15,16037.15,9260.72,15293.77,3.41570375,36493.769738017,10684.11443411
2018-02-10,12291.35,25000.0,9458.75,12364.76,5.1357111,57227.139459356,11142.982606509
2018-02-09,11149.16,17146.22,9056.93,12223.47,11.06916027,118265.72055408,10684.254059868
2018-02-08,11448.64,18595.31,8905.74,10084.81,10.2758913,107889.01018723,10499.236225595
2018-02-07,10261.11,19352.03,8505.09,9918.15,7.651689,78935.830256014,10316.131543769
2018-02-06,7906.97,19021.16,6815.6,11372.67,18.00678564,158162.17006976,8783.4760313033
2018-02-05,11781.67,16086.48,7496.42,9745.77,14.72307484,136203.0902282,9250.994898033
2018-02-04,10420.82,16828.39,8971.81,11781.67,7.35387336,79262.100218774,10778.279192283
2018-02-03,10307.25,16725.2,8924.57,12185.55,6.36871293,71311.529741621,11197.165035608
2018-02-02,11982.6,21483.78,5209.85,14600.71,24.90684932,271394.06001417,10896.362543786
2018-02-01,13083.91,37819.19,9569.84,11836.27,12.82122971,154579.32990755,12056.513564139
2018-01-31,11512.55,37405.55,10804.13,12986.2,12.30668077,156595.16002917,12724.402538408
2018-01-30,13772.07,20917.14,11526.4,12233.35,10.16346383,135427.96017287,13324.980778022
2018-01-29,15175.93,24102.77,12483.47,14535.14,8.09528519,115837.94024414,14309.309372724
2018-01-28,14938.23,23378.25,13088.01,15241.07,3.79284265,55415.400308189,14610.519186233
