Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,45455.47,73240.76,45455.47,53677.59,0.84517843,44275.669797997,52386.180511016
2018-04-17,54723.75,54723.75,45684.54,48500.05,0.56326649,26908.4900999,47772.218972053
2018-04-16,54276.56,54468.66,52604.56,53393.08,1.63280613,87084.999835371,53334.562037301
2018-04-15,54943.01,56088.92,49372.64,55368.41,3.00418583,165394.86965865,55054.806532609
2018-04-14,54804.88,54804.88,44692.54,54290.21,0.10542057,4831.0397276467,45826.348004443
2018-04-13,43963.2,55281.4,43954.04,55018.21,0.53983817,26476.780072263,49045.772499308
2018-04-12,46643.9,52752.74,38287.02,39604.88,0.47080286,21096.549852034,44809.731725152
2018-04-11,46182.83,46516.84,41246.25,41246.25,0.27845542,12778.62989243,45891.11568534
2018-04-10,45374.79,46264.86,33027.9,33027.9,0.43338708,18187.49045049,41965.926742649
2018-04-09,49626.09,53156.06,38518.05,45338.09,0.43347642,20662.500179557,47666.953094143
2018-04-08,47297.8,55668.51,39687.76,48764.28,1.93950321,94360.359633333,48651.819263209
2018-04-07,54150.95,54150.95,33371.28,47480.53,1.27170531,60769.340338605,47785.709362655
2018-04-06,44897.78,52289.17,37304.91,52289.17,0.74130414,31590.830270317,42615.208206334
2018-04-05,46244.91,46244.91,38027.54,46086.43,0.3839783,15183.459688255,39542.494167653
2018-04-04,49825.66,63994.47,40813.14,49893.17,2.25986152,111456.99989834,49320.278659525
2018-04-03,66922.98,66922.98,43553.49,58752.63,2.22488218,128814.94008287,57897.420924497
2018-04-02,55378.71,55378.71,41279.03,41645.45,1.54190039,73876.569783438,47912.673388349
2018-04-01,52731.73,59955.2,36648.67,53743.04,0.16695702,8934.7801463816,53515.450541592
2018-03-31,64335.1,64335.1,64335.1,64335.1,0.00202067,130.000006517,64335.1
2018-03-30,44727.36,44874.74,44636.9,44636.9,0.23579235,10544.000035831,44717.311803503
2018-03-29,48974.31,49210.54,43660.9,48891.11,0.25917527,12199.999557529,47072.3906549
2018-03-28,51542.54,71225.46,44010.68,62756.59,0.58192283,32271.00933781,55455.822789785
2018-03-27,50790.3,63027.06,50790.3,50906.13,0.02610913,1346.0700052081,51555.528859372
2018-03-26,54746.76,58134.18,47249.32,58134.18,0.14122882,7219.769791522,51121.079900845
2018-03-25,55161.44,55351.42,47657.92,47657.92,0.07160234,3733.3299911876,52139.7763144
2018-03-24,57573.57,58229.47,57485.42,57885.11,0.10600853,6099.9998114125,57542.537486488
2018-03-23,47128.89,56422.46,47128.89,48225.64,0.46687159,22885.369935561,49018.553336179
2018-03-22,50321.8,68714.68,47299.61,68714.68,1.0308558,56726.509430814,55028.559213437
2018-03-21,51221.97,59729.5,51221.97,58156.95,0.10369551,5715.1198748577,55114.43913876
2018-03-20,54834.78,56840.76,47742.94,49936.9,1.11283741,55531.460049798,49900.784742488
2018-03-19,51774.09,53328.04,46311.77,50141.14,0.32487178,16280.590103106,50113.894482021
2018-03-18,43895.05,48167.51,43895.05,48167.51,0.03276901,1537.1399926183,46908.343969449
2018-03-17,55630.19,55630.19,46410.48,54006.76,0.01223896,613.5399919108,50130.075750783
2018-03-16,36609.02,74837.02,36609.02,57598.71,0.08030646,3879.0000951747,48302.466516077
2018-03-15,42071.14,64713.02,42071.14,64713.02,0.05823751,2799.9997854006,48078.974966488
2018-03-14,58851.22,58851.22,55954.07,55954.07,0.06157365,3499.9997137967,56842.492101681
2018-03-13,69957.32,69957.32,52121.78,52121.78,0.09341353,5747.5401216476,61527.919153121
2018-03-12,58809.21,70811.83,52671.24,66230.61,0.16468033,9686.0398923947,58817.224208834
2018-03-11,58431.69,65471.81,55041.44,64911.91,0.17831976,10114.029803738,56718.502782517
2018-03-10,53767.49,63588.72,53767.49,59284.96,0.06107115,3580.0000973326,58620.152024853
2018-03-09,59389.36,61880.96,51008.44,61880.96,0.1005101,5846.1398944012,58164.700805205
2018-03-08,65000.01,66178.71,55270.91,63612.83,0.25025511,15063.870084793,60194.055916752
2018-03-07,69919.97,69919.97,55995.69,55995.69,0.16575839,10067.609514573,60736.65118594
2018-03-06,70173.87,85824.53,48934.7,69999.58,1.17425942,77014.889809561,65585.924624357
2018-03-05,71528.96,74509.86,55579.81,71943.48,1.37265873,91898.800024532,66949.488620913
2018-03-04,75152.67,75152.67,53762.01,71091.73,1.29579512,90120.430327571,69548.363731738
2018-03-03,61404.17,76010.07,61404.17,75549.62,0.42312187,29660.960704193,70100.277974744
2018-03-02,67027.27,73318.62,52581.85,73318.62,1.3279187,86537.950176303,65168.108692424
2018-03-01,65153.96,72000.46,60995.63,70000.07,0.5314812,33832.999399414,63657.941991954
