Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,64970.81,81919.15,54741.45,65429.44,6.06267423,412004.09980524,67957.48611504
2018-04-17,63932.75,81299.08,55377.12,57075.28,17.98902276,1129306.1195738,62777.513522576
2018-04-16,58965.44,79097.97,57469.66,64936.93,8.57966773,533629.51159084,62196.990417814
2018-04-15,64639.07,100431.33,56397.86,66688.76,1.35526549,91603.241699148,67590.625139542
2018-04-14,64788.46,108332.27,54475.71,60767.82,2.67651583,164179.51139693,61340.758592459
2018-04-13,61943.86,82412.94,56922.93,64487.84,8.78867641,550401.4303983,62626.202709208
2018-04-12,55159.81,64110.35,50696.84,57852.12,5.00205083,281510.83904608,56279.084042431
2018-04-11,54622.54,62634.4,48948.06,51427.43,8.7419577,472792.99943954,54083.194596051
2018-04-10,54508.21,76100.97,48044.19,56605.35,9.23455071,504921.21055518,54677.398653343
2018-04-09,57063.94,64804.08,46425.44,50590.92,11.41611548,606540.39981003,53130.191339833
2018-04-08,52167.46,61321.86,48026.25,52798.13,0.77789156,42183.850365646,54228.445884728
2018-04-07,55655.33,80538.97,51544.96,52628.72,1.23549619,71458.229647563,57837.6770612
2018-04-06,54367.97,64802.85,49332.04,54339.46,9.11739545,489221.50862329,53658.033295385
2018-04-05,58878.25,64071.55,50436.38,56809.15,7.02283517,400400.5098032,57014.083359612
2018-04-04,60962.32,77821.77,51069.0,59003.66,5.61174601,342046.85103154,60951.948007272
2018-04-03,47338.63,78043.85,47338.63,65881.42,27.9207619,1716230.9704206,61467.913252777
2018-04-02,51597.35,69996.51,51597.35,65082.07,1.0930804,60207.189736517,55080.293944084
2018-04-01,67405.57,77434.41,49846.13,51814.14,0.56960148,29573.810100608,51920.177771673
2018-03-31,53114.11,97117.55,50456.33,57703.26,1.38573447,82320.019795732,59405.334555712
2018-03-30,60387.9,78800.14,50124.79,54807.43,3.01028562,160430.35913214,53294.065541908
2018-03-29,61122.2,73842.63,50996.21,58454.0,2.13591123,123476.08901072,57809.560283418
2018-03-28,61833.66,74854.11,55933.93,58399.23,2.88788673,179604.9596007,62192.522211804
2018-03-27,64162.01,72696.04,56235.98,62222.33,7.13889032,447061.8886539,62623.442666073
2018-03-26,70279.02,77255.74,57575.95,62132.96,5.0590205,330315.41031362,65292.364463362
2018-03-25,78346.49,78395.51,62160.56,64054.83,0.7751449,52112.259908159,67229.05602315
2018-03-24,62527.68,119428.8,62527.68,70279.0,1.15985486,87324.35243791,75289.034386518
