Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,26157.0,28519.55,25900.0,25998.0,1.87870391,49306.449673895,26244.928437869
2018-04-17,25978.65,34799.55,25899.98,26100.0,2.38976374,65194.79067352,27280.851902758
2018-04-16,26536.4,40281.74,24937.48,28850.0,3.27923724,86789.20959561,26466.27957775
2018-04-15,26416.11,29229.0,26416.11,29229.0,1.53269025,41211.479262853,26888.328716682
2018-04-14,26449.99,26466.0,25492.33,25953.98,2.53336537,65649.99943352,25914.145748949
2018-04-13,27489.65,36142.7,24372.65,26510.93,3.11846685,84784.599479281,27187.911097814
2018-04-12,22521.09,31449.21,22129.0,22521.09,4.98698772,117881.91922473,23637.900440775
2018-04-11,23892.82,28204.89,21898.09,28099.83,1.16748367,26491.000444834,22690.681784726
2018-04-10,22484.79,34412.27,21924.0,21924.0,2.66191201,59257.5997483,22261.291705243
2018-04-09,23390.81,27908.15,22030.0,22030.0,4.32574951,102952.22020007,23799.8571027
2018-04-08,23189.21,24697.99,21833.89,22848.0,0.90059323,20850.000044954,23151.406595577
2018-04-07,21712.78,28140.06,21595.02,22534.99,0.7629969,16909.999938074,22162.606346204
2018-04-06,22008.3,34097.5,21595.02,23741.34,2.73351305,60905.749707136,22281.12637221
2018-04-05,23532.21,34743.7,21896.11,24122.97,2.15138,49775.079892875,23136.349642032
2018-04-04,26014.96,35643.73,22319.66,22319.66,2.22626727,53397.66957164,23985.291564584
2018-04-03,24359.98,31314.75,23561.66,24983.46,3.74095916,91350.000379174,24418.871330093
2018-04-02,23299.0,24862.83,23150.01,23150.59,0.77703959,18389.999954625,23666.74773241
2018-04-01,24527.51,30700.23,21631.0,21631.0,0.55976857,12615.00027546,22536.09965179
2018-03-31,23394.0,31377.88,23394.0,27654.1,0.16495737,3981.8899629859,24138.90305711
2018-03-30,26811.4,26811.4,22590.99,22590.99,1.5306295,35803.240293739,23391.186628599
2018-03-29,26623.69,38425.69,24418.45,24588.09,1.87825178,47008.229915762,25027.650933871
2018-03-28,27649.38,31802.15,25860.0,27856.32,1.30361282,36015.389871362,27627.367051639
2018-03-27,27248.6,28356.89,25347.9,26102.16,1.51287234,40350.000025809,26671.120198951
2018-03-26,30467.05,38317.08,26055.96,26564.53,2.6296967,71949.889509898,27360.52774067
2018-03-25,29393.08,38322.53,28012.84,28390.0,1.25786604,36460.499284977,28985.995428398
2018-03-24,31425.79,31443.95,28729.11,28729.11,0.71832286,20950.000344088,29165.158887033
2018-03-23,28799.02,30533.67,27505.46,28010.0,2.03481006,57900.929463662,28455.201102978
2018-03-22,32008.81,32008.81,26462.03,28306.0,1.71595399,49750.000210484,28992.618974874
2018-03-21,30294.0,33494.98,27396.15,29502.0,3.28236382,99649.000062129,30358.913736177
2018-03-20,27396.16,31162.99,27153.01,28323.74,2.81783805,80436.639851917,28545.515542285
2018-03-19,26189.03,30816.07,26189.03,27811.94,2.67002803,73160.630127963,27400.697410642
2018-03-18,34195.61,34195.61,24500.0,28330.84,2.21538388,56300.001267028,25413.203452139
2018-03-17,29694.54,29694.54,25800.0,25800.0,0.25075078,6920.6302050369,27599.635801878
2018-03-16,28750.01,30427.69,26891.6,30340.46,0.55025722,15497.960173017,28164.937432384
2018-03-15,27846.12,41857.77,26348.46,28624.61,1.28714297,35131.379904066,27294.077443523
2018-03-14,32642.19,36842.21,26755.63,36842.21,2.59170277,81620.589870244,31493.036475878
2018-03-13,30065.99,39902.19,29259.96,30344.87,1.66807367,52189.509544027,31287.292931149
2018-03-12,34677.9,35409.29,29858.54,30195.0,3.00431649,99117.119608515,32991.570607967
2018-03-11,30519.66,34512.84,28490.67,31270.0,1.78596918,55280.000032971,30952.381850717
2018-03-10,36361.91,41876.57,29171.8,30798.34,1.63881889,50950.000491293,31089.463760876
2018-03-09,36683.45,38865.49,27190.34,29664.96,2.39236628,69780.769465372,29168.096059844
2018-03-08,38158.99,38158.99,30251.0,30251.0,1.23944007,42459.669307122,34257.137827666
2018-03-07,37957.87,43991.62,31551.0,43876.61,1.47607544,50357.12980533,34115.55293226
2018-03-06,41436.18,41571.13,34516.47,38160.89,2.94128763,108132.3998589,36763.626500175
2018-03-05,39449.86,41340.08,31033.62,37845.0,1.43305445,53813.510045148,37551.615742967
2018-03-04,37431.81,49587.19,36241.86,36600.0,2.55027329,93539.609110378,36678.268747573
2018-03-03,36500.0,37603.0,36500.0,37603.0,2.15343882,79451.060624378,36894.969983117
2018-03-02,35797.96,48341.25,35509.65,35574.99,1.84270777,67085.37978546,36405.870142643
2018-03-01,34580.0,64766.84,34400.81,34747.88,2.09257177,72997.409211854,34884.064794516
2018-02-28,33280.09,64765.19,31033.62,64764.44,2.34061796,81091.879171806,34645.499845607
2018-02-27,36728.21,44905.27,30350.03,34822.99,2.29011841,80289.998796631,35059.322018477
2018-02-26,37448.79,64764.74,30801.0,33783.96,2.15566177,73958.789902743,34309.088249379
2018-02-25,31528.81,31918.33,31390.0,31679.86,0.53011291,16749.999983653,31597.042191735
2018-02-24,33599.98,33599.98,31348.99,31977.01,1.36277959,43650.00038652,32030.124832234
2018-02-23,32504.05,33788.01,32504.05,33069.45,1.89928282,63200.000800039,33275.718673662
2018-02-22,34485.0,34485.0,32103.0,32813.0,1.70528131,56500.001206428,33132.364071021
2018-02-21,36500.0,64765.16,33720.01,64765.16,2.37745168,83700.001611492,35205.763513769
2018-02-20,64764.44,64764.44,36740.0,37022.88,2.43756382,93035.000208983,38167.205898627
2018-02-19,35038.31,64764.44,34077.93,35841.03,1.5132516,53679.000511728,35472.62101803
2018-02-18,33280.98,35250.0,33280.98,34400.0,1.25595362,43500.000446733,34635.03727688
2018-02-17,34696.18,64764.44,33980.0,34963.5,1.59018577,54885.479961557,34515.13716008
2018-02-16,64765.16,64765.16,31178.84,31885.0,2.94701966,93884.001494185,31857.270166357
2018-02-15,64765.01,64766.84,28482.82,30555.64,2.21470744,68409.999606882,30888.955521314
2018-02-14,28396.02,64765.16,28219.0,29813.0,1.13929842,32800.000077582,28789.647647876
2018-02-13,31035.25,64765.16,27018.29,27018.29,2.58910303,73018.67036749,28202.303856363
2018-02-12,31680.99,31680.99,28022.4,28130.2,1.68868396,48200.00042455,28542.937320581
2018-02-11,26455.11,64764.74,26272.01,64764.74,0.7567491,20239.999927172,26745.984801531
2018-02-10,27450.0,28822.0,27299.0,27299.0,1.21608758,34150.000182429,28081.859188488
2018-02-09,25336.84,64765.04,25336.84,27380.0,1.38051441,37299.709836146,27018.703728088
2018-02-08,27339.34,64764.9,26141.21,26141.21,1.24946675,33740.350468983,27003.80019635
2018-02-07,31637.65,64764.98,22349.99,64764.98,1.98230612,52078.569956076,26271.709213144
2018-02-06,20175.06,26637.88,20108.0,26637.88,1.53780516,34299.999465954,22304.515785312
2018-02-05,25086.35,64765.16,22836.59,22836.59,3.19560646,78846.62980184,24673.447994544
2018-02-04,29695.75,29695.75,24218.79,24218.79,0.37578848,10400.000080317,27675.14342195
2018-02-03,28161.21,29341.89,27510.0,29092.46,1.65558659,46893.689678742,28324.516495837
2018-02-02,26400.0,74765.24,23949.0,27947.89,2.26624612,59400.00008054,26210.745406832
2018-02-01,31014.39,74765.0,28668.1,29635.44,3.095502,93069.920461552,30066.180044966
2018-01-31,31054.85,36106.14,31054.85,32100.0,1.67022768,53999.999932516,32330.921454083
2018-01-30,36218.0,74765.24,32297.0,34158.65,1.34583947,46750.000183845,34736.683851192
2018-01-29,36204.01,74765.24,35815.0,37029.0,1.06539468,38908.000268658,36519.79965646
2018-01-28,37150.91,37639.99,36838.23,36945.25,0.35744265,13299.999743473,37208.765499788
2018-01-27,35095.07,36680.0,35095.07,36680.0,0.47258375,16950.000295962,35866.659181494
2018-01-26,35896.48,74764.96,32079.36,35100.0,0.81045828,28300.480214223,34919.108006673
2018-01-25,40168.87,74765.24,35526.98,42970.0,1.52269601,57909.999406028,38031.228180619
2018-01-24,36651.0,74765.24,33360.64,35670.15,1.03218816,37672.11010464,36497.32826294
2018-01-23,39399.96,74765.24,32846.93,74765.24,0.97005992,33599.999991307,34637.035608385
2018-01-22,74765.24,81177.0,32570.63,32570.63,1.21608511,48406.48957879,39805.18236819
2018-01-21,39400.0,40900.0,39344.0,40199.78,0.50049775,19999.999785183,39960.21917218
2018-01-20,40505.22,40856.55,39850.58,40856.55,0.83945726,33999.999905293,40502.359709526
2018-01-19,46893.59,74765.24,37674.59,74765.24,2.14440826,86234.36945277,40213.596944814
2018-01-18,37405.61,58765.03,37405.61,38051.24,0.31437616,12195.000107099,38791.109691966
2018-01-17,50482.44,54591.98,32457.37,32457.37,1.29682048,53826.000178199,41506.130577302
2018-01-16,52209.98,62655.93,39027.74,62655.93,0.56228645,23349.00012588,41525.098330007
2018-01-15,44770.44,65567.97,44614.78,52647.0,0.81158462,38143.950003982,46999.350485451
2018-01-14,63005.45,63005.45,41694.73,41694.73,0.29331407,12927.239998699,44073.030655158
2018-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,44975.31,61165.07,44520.56,44520.56,0.6644881,29804.159569555,44852.811614768
2018-01-11,51709.38,65714.54,44931.31,44931.31,0.37703018,19100.000456277,50659.075770213
2018-01-10,44423.25,64425.77,44423.25,64425.77,0.03793013,1848.9999114721,48747.523709307
2018-01-09,54607.0,66861.46,48383.2,48493.77,0.80053758,40364.739521917,50422.042050689
2018-01-08,54740.81,64881.33,45578.25,64881.33,0.99478625,50896.21978075,51162.970719338
2018-01-07,70199.86,81177.0,56976.14,81177.0,0.12143815,7200.0000494994,59289.441164077
2018-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,64369.53,68803.71,48623.7,56480.61,0.46918662,24873.439874745,53013.95822998
2018-01-04,73197.87,73197.87,48357.57,48540.08,1.07905307,53530.000227948,49608.310949848
2018-01-03,55231.15,62567.63,48387.24,55493.82,0.94415854,49193.349850132,52102.849008951
2018-01-02,58497.0,67207.91,40411.39,53539.2,0.36974047,19124.560615534,51724.282753072
2018-01-01,55598.8,55598.8,52000.0,52000.0,0.02462657,1300.00004504,52788.514398879
2017-12-31,44500.05,44500.05,44500.05,44500.05,0.04494377,2000.0000121885,44500.05
2017-12-30,52646.75,52646.75,44500.05,44500.05,1.32426687,62950.00037712,47535.736038703
2017-12-29,60242.66,67806.72,48770.36,48963.15,0.62350722,31130.909951112,49928.708044651
2017-12-28,47089.22,67805.34,47089.22,67805.34,1.46385382,73000.000171217,49868.367437957
2017-12-27,70116.98,71181.47,52690.0,58038.0,0.70874891,40200.980534664,56721.047422372
2017-12-26,56023.1,66205.44,56023.1,66205.44,0.03157434,1915.0000184245,60650.516160417
2017-12-25,47611.5,47611.5,42936.29,42936.29,0.02823779,1289.9999701014,45683.460713512
2017-12-24,61269.04,61269.04,61269.04,61269.04,0.01142502,700.0000073808,61269.04
2017-12-23,49196.07,62500.0,49196.07,56500.0,0.25045654,13500.000195427,53901.567894483
2017-12-22,45241.19,59813.0,43989.0,52690.0,0.41648062,22500.000728822,54024.124168904
2017-12-21,70485.18,70485.18,53812.66,58158.53,2.7382696,159550.0023898,58266.725230343
2017-12-20,62800.78,86076.85,57590.89,57949.82,2.75658328,170009.91769041,61674.145281186
2017-12-19,70203.89,70709.16,61033.46,63578.96,1.96723394,127206.43837971,64662.588314084
2017-12-18,66708.0,95023.64,60452.96,62141.96,1.64775782,104651.01122193,63511.160409441
2017-12-17,64550.0,91686.85,59690.02,59690.02,0.78051142,50549.510089195,64764.600227368
2017-12-16,57660.0,71112.78,57660.0,65019.03,2.26429791,138043.22786846,60965.135046414
2017-12-15,56049.99,82897.73,54330.6,58998.49,1.72439631,100447.44063308,58250.786116027
2017-12-14,57889.0,82435.7,55137.28,66340.71,2.0486939,116427.50221117,56830.111228999
