Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,9989.34,10910.48,9960.0,10798.53,3.46919178,34776.239977107,10024.306000491
2018-04-17,9989.19,11191.16,9989.19,10231.54,7.78362464,81360.650125016,10452.797236252
2018-04-16,11315.13,11351.77,10365.53,10365.53,6.4974031,72366.750133159,11137.795980853
2018-04-15,10958.79,11445.48,10298.44,11360.74,2.66687292,28875.709998379,10827.553792244
2018-04-14,10847.94,10959.32,10107.24,10754.15,2.94788678,30732.85011051,10425.383470972
2018-04-13,10713.0,10988.89,9924.19,10576.8,6.17928536,65495.860124239,10599.261291315
2018-04-12,9344.65,10375.4,9164.93,10267.9,9.46841824,91609.28003722,9675.2464577674
2018-04-11,9279.75,9338.0,8836.25,8998.0,2.2251507,20532.599929653,9227.5098174935
2018-04-10,8670.55,9309.12,8670.55,9231.19,0.40476849,3715.9901054583,9180.5320751581
2018-04-09,9655.73,9868.31,8736.13,9135.24,1.51452817,14007.039951262,9248.4512528161
2018-04-08,9502.83,9715.0,8702.92,8702.92,3.39281665,32280.000030006,9514.2188216997
2018-04-07,9352.45,9366.39,8571.59,8571.59,0.23089829,2060.000049254,8921.6773725522
2018-04-06,9280.56,9567.24,8380.47,8380.47,6.19607253,56550.469977325,9126.8250498232
2018-04-05,9035.82,9315.27,8749.0,8818.23,3.25122471,29873.079984002,9188.2544728821
2018-04-04,9575.66,9984.37,8708.23,8971.62,1.00125052,9522.0000581981,9510.107478594
2018-04-03,9682.9,10119.0,9438.06,9544.27,8.67121965,84917.920094722,9793.0768129858
2018-04-02,8800.56,9681.63,8533.0,9512.87,6.03021367,56343.510018345,9343.5345912618
2018-04-01,8894.49,9578.45,8552.04,9548.38,3.6250181,32899.630074197,9075.7147044857
2018-03-31,9014.31,9938.5,8989.52,9915.26,3.93318772,37057.599915845,9421.7725046301
2018-03-30,8697.0,9809.08,8412.24,8807.71,20.33101139,180383.7300951,8872.3441561704
2018-03-29,10802.34,10911.8,9721.77,10138.79,8.03775864,82044.089786376,10207.334340457
2018-03-28,10169.7,10975.49,10169.7,10765.64,1.97118447,21001.640117605,10654.325070654
2018-03-27,10462.0,11159.43,9493.35,10734.79,9.36123019,99357.140142514,10613.684112655
2018-03-26,10972.44,12269.0,10767.03,11117.0,4.80484376,53352.000066499,11103.794989267
2018-03-25,12070.82,12248.35,10278.83,11485.55,5.82416544,67532.449835224,11595.214890603
2018-03-24,12617.34,12635.0,10971.36,12273.37,1.22150795,14247.999992219,11664.271192193
2018-03-23,12306.0,12306.0,10232.9,11428.41,8.84441765,102101.91002264,11544.220780058
2018-03-22,12387.96,12387.96,11670.26,11861.44,1.15222555,13856.260027769,12025.648995346
2018-03-21,12259.99,12814.01,10924.21,10924.21,8.35966709,101926.47020795,12192.647040919
2018-03-20,12096.98,12203.0,10980.89,12203.0,3.999868,47333.709893901,11833.817989469
2018-03-19,10292.43,11752.37,10182.6,11524.33,4.68589077,53679.92985894,11455.651122431
2018-03-18,10680.78,10922.0,9544.91,10322.7,12.83598599,133069.98996449,10366.947273716
2018-03-17,10245.0,11536.0,10245.0,10445.83,3.71208601,38459.34992337,10360.576188096
2018-03-16,11422.42,11916.0,10478.42,11916.0,2.29416331,25367.510056894,11057.412498195
2018-03-15,11072.0,11348.01,10129.75,10769.11,12.35585786,133572.07004972,10810.424623137
2018-03-14,12649.63,12649.63,10608.25,11324.0,2.00399853,23748.609990438,11850.612480458
2018-03-13,12798.0,12798.0,11321.0,11761.21,2.14723518,26188.070120176,12196.181565997
2018-03-12,13545.99,13561.0,10989.45,10989.45,9.83741162,126654.74012075,12874.803354091
2018-03-11,12272.71,12911.99,11397.74,11930.35,5.93665123,72736.050013219,12252.033544713
2018-03-10,12685.17,13097.56,12096.68,12096.68,1.71088186,21729.37993559,12700.689886086
2018-03-09,12379.42,12650.0,11151.0,12498.0,9.00000382,109618.81983065,12179.863700397
2018-03-08,12548.72,14134.0,11269.0,12728.0,7.61414531,99585.180281148,13078.970288413
2018-03-07,14583.0,14821.67,12483.19,12664.0,7.21070089,98846.050098555,13708.244400435
2018-03-06,14891.43,15197.38,13537.08,13835.08,23.02267989,326912.9600723,14199.604982315
2018-03-05,15242.98,15818.0,14180.0,15818.0,4.00963033,58671.810029492,14632.723019504
2018-03-04,15435.43,15850.83,13820.0,15850.83,2.87704121,44047.729907647,15310.079589596
2018-03-03,15038.57,15886.31,13969.11,15084.36,4.03332253,60570.430159294,15017.502247531
2018-03-02,14948.69,15269.18,13574.0,14170.8,4.06281036,58464.860038381,14390.250801266
2018-03-01,12872.0,15029.01,12872.0,14799.0,3.14482194,42758.239929592,13596.394563945
2018-02-28,14969.62,14969.62,13186.0,14156.37,2.58643177,36758.770056137,14212.155326308
2018-02-27,14214.0,14637.0,12343.79,14571.99,3.36904263,46953.460269843,13936.736760687
2018-02-26,13279.0,14273.44,11686.0,14040.31,4.98418846,65486.36032952,13138.821064868
