Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-18,11198.33,55000.31,5538.4,8594.12,183.87647492,1537857.1407675,8363.5339509123
2018-04-17,11487.73,95002.85,6053.81,10299.87,188.51440252,1550836.2596976,8226.6194994467
2018-04-16,11829.81,54999.45,5689.84,14063.81,147.58745837,1230434.4394629,8336.9850870268
2018-04-15,11999.59,89998.2,5835.7,10446.97,31.44871136,277139.68973269,8812.4338883148
2018-04-14,10271.12,95000.14,6259.77,8025.95,102.52471351,824505.45825035,8042.0167003922
2018-04-13,9571.92,81499.59,6064.78,9719.96,211.18056067,1743845.2501036,8257.6030888972
2018-04-12,7183.35,77170.02,5372.06,11472.57,196.47637343,1522068.7285841,7746.828292952
2018-04-11,7991.95,69167.77,1000.0,8413.0,213.75287525,1508270.6805206,7056.1421864225
2018-04-10,8771.22,55000.31,5389.9,9832.05,174.1243198,1235710.3989799,7096.7134309514
2018-04-09,9306.81,55000.31,5158.35,6527.61,196.13024658,1376750.8996557,7019.5746125987
2018-04-08,11513.22,90000.0,5306.75,7452.44,37.93447049,302764.40812577,7981.2477731984
2018-04-07,9586.74,94998.34,5223.21,9897.14,134.37709263,1016580.720228,7565.1340591742
2018-04-06,10189.61,90000.0,3643.84,6813.03,151.66786799,1079542.5086071,7117.8063152984
2018-04-05,10124.0,54999.45,5205.51,10189.61,168.59259219,1214322.9608976,7202.7065075856
2018-04-04,7400.0,55000.46,5399.57,10669.63,155.58356022,1166598.2195149,7498.2100799421
2018-04-03,7428.18,54999.45,5136.39,10431.73,184.61925819,1419777.6102069,7690.3006984554
2018-04-02,9515.94,54999.45,5340.03,8024.58,179.94329836,1344555.6084399,7472.1071620572
2018-04-01,10974.92,69998.6,5152.79,8220.95,29.64661338,241283.91960938,8138.6671899649
2018-03-31,10820.31,54999.45,5428.13,10889.26,62.98561975,510101.87955264,8098.7038244176
2018-03-30,8576.52,69999.83,3624.26,10788.79,158.02822303,1203864.0288982,7618.0318035321
2018-03-29,11419.63,75124.71,3879.28,8925.0,134.29333337,1089516.8007196,8112.9626719278
2018-03-28,10500.37,69999.83,6174.21,11877.75,162.20353095,1360861.0618704,8389.8362378428
2018-03-27,9398.72,54999.45,4100.04,8000.0,145.15640444,1245840.7878985,8582.7476417925
2018-03-26,9981.56,89999.28,5534.58,7615.42,138.27206267,1205860.5989941,8720.9272481314
2018-03-25,55000.31,100000.0,6630.6,11329.24,36.89915473,352164.39953225,9543.9692889749
2018-03-24,11652.13,100000.0,5598.45,10693.56,98.79980203,933649.05754583,9449.908181621
2018-03-23,9370.68,58961.22,7625.7,10123.22,168.14957259,1518482.6695955,9030.5473050353
2018-03-22,9429.36,54999.45,4527.41,8753.1,132.46335736,1231073.6703505,9293.6921944742
2018-03-21,9402.85,55000.31,6221.59,9822.91,161.77819064,1512785.5098374,9350.9854687632
2018-03-20,9269.39,55000.31,5992.42,12102.33,177.94847524,1616443.3595209,9083.771902742
2018-03-19,11456.12,54999.45,5822.46,10297.0,208.38802817,1840774.2181801,8833.3971694308
2018-03-18,11479.0,55000.46,5314.44,9485.34,37.17830556,329585.24997384,8864.9884659737
2018-03-17,11477.87,55000.31,6555.71,54999.45,88.60613522,801311.89091703,9043.5260371921
2018-03-16,12817.88,90000.9,5822.53,5822.53,157.6308781,1434224.4994923,9098.626593848
2018-03-15,10375.41,115942.03,5677.1,12774.75,156.83900045,1412065.7313819,9003.2818835266
