rounded_hour,SA_int,count
2018-01-01,-1,12
2018-01-01,0,50
2018-01-01,1,38
2018-01-02,-1,10
2018-01-02,0,50
2018-01-02,1,40
2018-01-03,-1,13
2018-01-03,0,47
2018-01-03,1,40
2018-01-04,-1,12
2018-01-04,0,43
2018-01-04,1,45
2018-01-05,-1,19
2018-01-05,0,49
2018-01-05,1,32
2018-01-06,-1,8
2018-01-06,0,67
2018-01-06,1,25
2018-01-07,-1,12
2018-01-07,0,53
2018-01-07,1,35
2018-01-08,-1,9
2018-01-08,0,64
2018-01-08,1,27
2018-01-09,-1,5
2018-01-09,0,70
2018-01-09,1,25
2018-01-10,-1,13
2018-01-10,0,56
2018-01-10,1,31
2018-01-11,-1,14
2018-01-11,0,50
2018-01-11,1,36
2018-01-12,-1,13
2018-01-12,0,48
2018-01-12,1,39
2018-01-13,-1,11
2018-01-13,0,59
2018-01-13,1,30
2018-01-14,-1,9
2018-01-14,0,53
2018-01-14,1,38
2018-01-15,-1,12
2018-01-15,0,42
2018-01-15,1,46
2018-01-16,-1,8
2018-01-16,0,62
2018-01-16,1,30
2018-01-17,-1,6
2018-01-17,0,65
2018-01-17,1,29
2018-01-18,-1,9
2018-01-18,0,50
2018-01-18,1,41
2018-01-19,-1,11
2018-01-19,0,57
2018-01-19,1,32
2018-01-20,-1,10
2018-01-20,0,57
2018-01-20,1,33
2018-01-21,-1,15
2018-01-21,0,47
2018-01-21,1,38
2018-01-22,-1,17
2018-01-22,0,61
2018-01-22,1,22
2018-01-23,-1,12
2018-01-23,0,54
2018-01-23,1,34
2018-01-24,-1,13
2018-01-24,0,50
2018-01-24,1,37
2018-01-25,-1,8
2018-01-25,0,73
2018-01-25,1,19
2018-01-26,-1,5
2018-01-26,0,62
2018-01-26,1,33
2018-01-27,-1,13
2018-01-27,0,50
2018-01-27,1,37
2018-01-28,-1,9
2018-01-28,0,57
2018-01-28,1,34
2018-01-29,-1,12
2018-01-29,0,55
2018-01-29,1,33
2018-01-30,-1,10
2018-01-30,0,47
2018-01-30,1,43
2018-01-31,-1,16
2018-01-31,0,47
2018-01-31,1,37
2018-02-01,-1,9
2018-02-01,0,57
2018-02-01,1,34
2018-02-02,-1,14
2018-02-02,0,54
2018-02-02,1,32
2018-02-03,-1,10
2018-02-03,0,51
2018-02-03,1,39
2018-02-04,-1,7
2018-02-04,0,63
2018-02-04,1,30
2018-02-05,-1,12
2018-02-05,0,44
2018-02-05,1,44
2018-02-06,-1,13
2018-02-06,0,52
2018-02-06,1,35
2018-02-07,-1,10
2018-02-07,0,62
2018-02-07,1,28
2018-02-08,-1,7
2018-02-08,0,59
2018-02-08,1,34
2018-02-09,-1,12
2018-02-09,0,60
2018-02-09,1,28
2018-02-10,-1,7
2018-02-10,0,48
2018-02-10,1,45
2018-02-11,-1,12
2018-02-11,0,54
2018-02-11,1,34
2018-02-12,-1,14
2018-02-12,0,46
2018-02-12,1,40
2018-02-13,-1,11
2018-02-13,0,49
2018-02-13,1,40
2018-02-14,-1,9
2018-02-14,0,56
2018-02-14,1,35
2018-02-15,-1,10
2018-02-15,0,53
2018-02-15,1,37
2018-02-16,-1,5
2018-02-16,0,57
2018-02-16,1,38
2018-02-17,-1,6
2018-02-17,0,49
2018-02-17,1,45
2018-02-18,-1,6
2018-02-18,0,56
2018-02-18,1,38
2018-02-19,-1,12
2018-02-19,0,49
2018-02-19,1,39
2018-02-20,-1,12
2018-02-20,0,64
2018-02-20,1,24
2018-02-21,-1,10
2018-02-21,0,57
2018-02-21,1,33
2018-02-22,-1,8
2018-02-22,0,55
2018-02-22,1,37
2018-02-23,-1,17
2018-02-23,0,62
2018-02-23,1,21
2018-02-24,-1,11
2018-02-24,0,64
2018-02-24,1,25
2018-02-25,-1,5
2018-02-25,0,56
2018-02-25,1,39
2018-02-26,-1,12
2018-02-26,0,51
2018-02-26,1,37
2018-02-27,-1,5
2018-02-27,0,52
2018-02-27,1,43
2018-02-28,-1,15
2018-02-28,0,54
2018-02-28,1,31
2018-03-01,-1,3
2018-03-01,0,71
2018-03-01,1,26
2018-03-02,-1,8
2018-03-02,0,40
2018-03-02,1,52
2018-03-03,-1,12
2018-03-03,0,50
2018-03-03,1,38
2018-03-04,-1,7
2018-03-04,0,48
2018-03-04,1,45
2018-03-05,-1,10
2018-03-05,0,54
2018-03-05,1,36
2018-03-06,-1,15
2018-03-06,0,42
2018-03-06,1,43
2018-03-07,-1,7
2018-03-07,0,54
2018-03-07,1,39
2018-03-08,-1,18
2018-03-08,0,56
2018-03-08,1,26
2018-03-09,-1,15
2018-03-09,0,56
2018-03-09,1,29
2018-03-10,-1,13
2018-03-10,0,56
2018-03-10,1,31
2018-03-11,-1,11
2018-03-11,0,54
2018-03-11,1,35
2018-03-12,-1,10
2018-03-12,0,54
2018-03-12,1,36
2018-03-13,-1,14
2018-03-13,0,53
2018-03-13,1,33
2018-03-14,-1,8
2018-03-14,0,59
2018-03-14,1,33
2018-03-15,-1,15
2018-03-15,0,61
2018-03-15,1,24
2018-03-16,-1,6
2018-03-16,0,52
2018-03-16,1,42
2018-03-17,-1,5
2018-03-17,0,50
2018-03-17,1,45
2018-03-18,-1,7
2018-03-18,0,58
2018-03-18,1,35
2018-03-19,-1,10
2018-03-19,0,57
2018-03-19,1,33
2018-03-20,-1,13
2018-03-20,0,50
2018-03-20,1,37
2018-03-21,-1,12
2018-03-21,0,47
2018-03-21,1,41
2018-03-22,-1,13
2018-03-22,0,53
2018-03-22,1,34
2018-03-23,-1,8
2018-03-23,0,59
2018-03-23,1,33
2018-03-24,-1,8
2018-03-24,0,50
2018-03-24,1,42
2018-03-25,-1,5
2018-03-25,0,66
2018-03-25,1,29
2018-03-26,-1,8
2018-03-26,0,46
2018-03-26,1,46
2018-03-27,-1,3
2018-03-27,0,58
2018-03-27,1,39
2018-03-28,-1,6
2018-03-28,0,59
2018-03-28,1,35
2018-03-29,-1,7
2018-03-29,0,52
2018-03-29,1,41
2018-03-30,-1,9
2018-03-30,0,44
2018-03-30,1,47
2018-03-31,-1,5
2018-03-31,0,60
2018-03-31,1,35
2018-04-01,-1,4
2018-04-01,0,54
2018-04-01,1,42
2018-04-02,-1,7
2018-04-02,0,56
2018-04-02,1,37
2018-04-03,-1,15
2018-04-03,0,53
2018-04-03,1,32
2018-04-04,-1,9
2018-04-04,0,55
2018-04-04,1,36
2018-04-05,-1,10
2018-04-05,0,49
2018-04-05,1,41
2018-04-06,-1,4
2018-04-06,0,72
2018-04-06,1,24
2018-04-07,-1,10
2018-04-07,0,56
2018-04-07,1,34
2018-04-08,-1,3
2018-04-08,0,65
2018-04-08,1,32
2018-04-09,-1,5
2018-04-09,0,70
2018-04-09,1,25
2018-04-10,-1,7
2018-04-10,0,65
2018-04-10,1,28
2018-04-11,-1,8
2018-04-11,0,60
2018-04-11,1,32
2018-04-12,-1,9
2018-04-12,0,61
2018-04-12,1,30
2018-04-13,-1,12
2018-04-13,0,51
2018-04-13,1,37
2018-04-14,-1,3
2018-04-14,0,68
2018-04-14,1,29
2018-04-15,-1,3
2018-04-15,0,70
2018-04-15,1,27
2018-04-16,-1,5
2018-04-16,0,65
2018-04-16,1,30
2018-04-17,-1,12
2018-04-17,0,63
2018-04-17,1,25
2018-04-18,-1,6
2018-04-18,0,59
2018-04-18,1,35
2018-04-19,-1,9
2018-04-19,0,66
2018-04-19,1,25
2018-04-20,-1,12
2018-04-20,0,63
2018-04-20,1,25
2018-04-21,-1,9
2018-04-21,0,62
2018-04-21,1,29
2018-04-22,-1,5
2018-04-22,0,58
2018-04-22,1,37
2018-04-23,-1,4
2018-04-23,0,58
2018-04-23,1,38
2018-04-24,-1,7
2018-04-24,0,58
2018-04-24,1,35
2018-04-25,-1,6
2018-04-25,0,50
2018-04-25,1,44
2018-04-26,-1,9
2018-04-26,0,70
2018-04-26,1,21
2018-04-27,-1,9
2018-04-27,0,48
2018-04-27,1,43
2018-04-28,-1,13
2018-04-28,0,53
2018-04-28,1,34
2018-04-29,-1,9
2018-04-29,0,56
2018-04-29,1,35
2018-04-30,-1,7
2018-04-30,0,61
2018-04-30,1,32
2018-05-01,-1,11
2018-05-01,0,65
2018-05-01,1,24
2018-05-02,-1,9
2018-05-02,0,66
2018-05-02,1,25
2018-05-03,-1,9
2018-05-03,0,61
2018-05-03,1,30
2018-05-04,-1,4
2018-05-04,0,67
2018-05-04,1,29
2018-05-05,-1,10
2018-05-05,0,57
2018-05-05,1,33
2018-05-06,-1,7
2018-05-06,0,51
2018-05-06,1,42
2018-05-07,-1,11
2018-05-07,0,55
2018-05-07,1,34
2018-05-08,-1,14
2018-05-08,0,50
2018-05-08,1,36
2018-05-09,-1,12
2018-05-09,0,60
2018-05-09,1,28
2018-05-10,-1,9
2018-05-10,0,52
2018-05-10,1,39
2018-05-11,-1,18
2018-05-11,0,56
2018-05-11,1,26
2018-05-12,-1,5
2018-05-12,0,62
2018-05-12,1,33
2018-05-13,-1,4
2018-05-13,0,62
2018-05-13,1,34
2018-05-14,-1,7
2018-05-14,0,59
2018-05-14,1,34
2018-05-15,-1,9
2018-05-15,0,61
2018-05-15,1,30
2018-05-16,-1,9
2018-05-16,0,53
2018-05-16,1,38
2018-05-17,-1,5
2018-05-17,0,66
2018-05-17,1,29
2018-05-18,-1,10
2018-05-18,0,56
2018-05-18,1,34
2018-05-19,-1,12
2018-05-19,0,52
2018-05-19,1,36
2018-05-20,-1,8
2018-05-20,0,59
2018-05-20,1,33
2018-05-21,-1,13
2018-05-21,0,56
2018-05-21,1,31
2018-05-22,-1,8
2018-05-22,0,51
2018-05-22,1,41
2018-05-23,-1,4
2018-05-23,0,59
2018-05-23,1,37
2018-05-24,-1,11
2018-05-24,0,62
2018-05-24,1,27
2018-05-25,-1,19
2018-05-25,0,61
2018-05-25,1,20
2018-05-26,-1,2
2018-05-26,0,52
2018-05-26,1,46
2018-05-27,-1,9
2018-05-27,0,47
2018-05-27,1,44
2018-05-28,-1,8
2018-05-28,0,54
2018-05-28,1,38
2018-05-29,-1,13
2018-05-29,0,63
2018-05-29,1,24
2018-05-30,-1,6
2018-05-30,0,56
2018-05-30,1,38
2018-05-31,-1,11
2018-05-31,0,63
2018-05-31,1,26
2018-06-01,-1,4
2018-06-01,0,69
2018-06-01,1,27
2018-06-02,-1,13
2018-06-02,0,61
2018-06-02,1,26
2018-06-03,-1,7
2018-06-03,0,65
2018-06-03,1,28
2018-06-04,-1,7
2018-06-04,0,53
2018-06-04,1,40
2018-06-05,-1,11
2018-06-05,0,58
2018-06-05,1,31
2018-06-06,-1,13
2018-06-06,0,58
2018-06-06,1,29
