tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
RT @UofEBusiness: #Crypto comes to Exeter on 4th May in Forum Building! Tickets now available for discussion panel with @nChainGlobal CEO @…,Tue Apr 17 23:59:57 +0000 2018,Jack Harper,1llus1veman,159,942,False,en-gb,0,0
That would be really bad if this was Popeyes. Niggaz love chicken. Their stock would go down faster than bitcoin,Tue Apr 17 23:59:53 +0000 2018,Martin Luther Stream,Treborray,6735,543,False,en,0,2
"BTC,ETH,ETC,LTC,BCH,MONA
Please please give me a little earlier Christmas present ...　
#Bitcoin #VirtualCurrency",Tue Apr 17 23:59:53 +0000 2018,please,please01417095,40,0,False,ja,0,1
#Taiwanese #bitcoin miner shot by gangsters after #China crackdown on #cryptocurrencies https://t.co/YuhKcZzZd0,Tue Apr 17 23:59:53 +0000 2018,Gwen Wang,GwenythWR,3752,980,False,en,0,1
El Fabuloso Mundo de las #Criptomonedas #Bitcoin #Venezuela https://t.co/DdkmY3dTcO https://t.co/0CWV4kHDUz,Tue Apr 17 23:59:52 +0000 2018,Coincox,coincox,1039,73,False,es,0,0
"Finance: Bitcoin exchange Kraken plans to pull out of Japan  
The news comes as Japanese regulators ramp up oversig… https://t.co/Z8SoLUatRf",Tue Apr 17 23:59:52 +0000 2018,NetworkOfNews Ghana,NofNews_Ghana,732,14,False,en,0,0
New post added at Bitcoin - CryptoCurrency Guide - New York Attorney General’s Office Launches Inquiry Into Cryptoc… https://t.co/ZYiVIrAtLx,Tue Apr 17 23:59:52 +0000 2018,Matthew Okeke,softwarehype,499,654,False,en,0,0
"RT @PhilakoneCrypto: Stop thinking small. Start thinking long, and big. Do you plan to get rich off Bitcoin? I certainly do. https://t.co/O…",Tue Apr 17 23:59:51 +0000 2018,Amar4a,Amar4a,39,106,False,en,0,0
"""Obesity and type 2 diabetes [...] is indicative of a high time preference. A society that has a looser monetary po… https://t.co/quwBDBGM3O",Tue Apr 17 23:59:50 +0000 2018,Guillaume Verbal,doweig,1053,378,False,en,12,17
RT @bitcoin218: All have already forgotten that in 2014 bitcoin all year fell after a rapid growth https://t.co/zScGiqrfyA,Tue Apr 17 23:59:47 +0000 2018,Andrey,sewan2018,10,509,False,ru,0,0
"#BITBOX made an article w/ @FloweeTheHub and https://t.co/Ly0EBLKFuV regarding #BitcoinCash developer tools!

Thank… https://t.co/USf2CWa5Fl",Tue Apr 17 23:59:46 +0000 2018,Gabriel Cardona,cgcardona,2486,217,False,en,13,28
RT @Xentagz: Lightning Network is becoming more distributed over time. https://t.co/cSjdpccvzg,Tue Apr 17 23:59:43 +0000 2018,Bitcoinator ⚡️,roviator,522,342,False,en,0,0
"A girl came up to me today at the mall, and asked me if i had any coins for her. I told her i had bitcoin if she wa… https://t.co/Cbrivkop0Y",Tue Apr 17 23:59:37 +0000 2018,D.Negrodamus,thenameisdame,100,100,False,en,0,1
"@Snugglygope @LesgrossmanCEZM @CNBCFastMoney @tipprbot @Bitcoin Since when did I push people to join Bitcoin?

I'm… https://t.co/pmiraGRsIR",Tue Apr 17 23:59:36 +0000 2018,Statstrader,statstrader2_,31,239,False,en,0,0
"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Tue Apr 17 23:59:34 +0000 2018,Putu Juli Semarajaya,amsHyonk_WTC,346,930,False,en,0,0
Bitcoiner Runs for Mayor of Taiwan’s Capital #bitcoin #cryptocurrency #blockchain #ethereum #ICO https://t.co/4WUkdXt7nA,Tue Apr 17 23:59:34 +0000 2018,Avi Mizrahi ⚡️ ₿itcoin News,avi_mizrahi,1417,292,False,en,1,1
"RT @ExtrabitLtd: With cheap maintenance cost &amp; free electricity, we aim to be among the most profitable crypto mining platforms. Register n…",Tue Apr 17 23:59:29 +0000 2018,Syakila,ANWAR99476698,4224,4694,False,id,0,0
[https://t.co/TT1w9nAP2R] Forget bitcoin. Now is the time to buy bitcoin cash: Crypto trader https://t.co/4M4MLLKyjR #bitcoincash,Tue Apr 17 23:59:26 +0000 2018,TodayOnChain,todayonchain,29,47,False,en,0,0
"RT @ExtrabitLtd: Extrabit ICO is LIVE | Get Your Tokens With 50% Bonus / 18 Days to go!
#Crypto #Bitcoin #Ethereum #presale #ICO #preICO #B…",Tue Apr 17 23:59:26 +0000 2018,Syakila,ANWAR99476698,4224,4694,False,id,0,0
RT @BalmelDirectory: Bitcoin price news: Why is bitcoin falling today? Will it go below $7000 - https://t.co/smg8fP71UT https://t.co/gPaSvF…,Tue Apr 17 23:59:22 +0000 2018,CryptoChiwai,chiwaisan,99,979,False,en,0,0
[https://t.co/TT1w9nAP2R] Suspect in Iceland's 'Big Bitcoin Heist' escapes prison https://t.co/9Ui7nxGgXK #bitcoin,Tue Apr 17 23:59:22 +0000 2018,TodayOnChain,todayonchain,29,47,False,en,0,0
